,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,normal,14,500,128,0.1,1.8955677246145932,1.8960511971729608,1.9887445823862204,"[[55.735645]
 [56.68904 ]
 [55.50107 ]
 [54.16209 ]
 [55.875114]
 [56.3859  ]
 [56.595066]
 [57.812424]
 [57.5881  ]
 [56.028214]
 [55.209465]
 [54.76622 ]
 [61.72905 ]
 [60.210743]
 [58.720985]
 [58.254673]
 [57.861187]
 [58.635006]
 [57.525566]
 [56.534294]
 [56.235447]
 [55.971443]
 [54.386692]
 [53.669575]
 [52.826084]
 [52.52551 ]
 [52.91036 ]
 [52.962147]
 [52.878296]
 [52.84376 ]
 [53.596382]
 [54.735954]
 [53.98495 ]
 [53.113663]
 [53.430473]
 [53.931213]
 [53.94747 ]
 [53.53756 ]
 [54.1928  ]
 [55.74547 ]
 [56.251488]
 [56.64595 ]
 [55.88277 ]
 [55.44296 ]
 [54.957115]
 [54.178585]
 [55.77251 ]
 [56.390835]
 [57.09424 ]
 [56.451218]
 [56.88508 ]
 [57.08472 ]
 [56.762424]
 [56.745712]
 [56.910137]
 [56.68911 ]
 [57.47903 ]
 [57.028114]
 [55.273586]
 [56.449646]
 [58.15197 ]
 [57.962612]
 [57.964924]
 [58.28812 ]
 [58.23272 ]
 [56.359566]
 [56.105873]
 [58.109695]
 [58.55012 ]
 [59.30564 ]
 [59.220604]
 [59.330498]
 [58.933987]
 [59.213623]
 [60.098392]
 [60.375   ]
 [60.997963]
 [61.13817 ]
 [61.45079 ]
 [60.74468 ]
 [60.629417]
 [61.19434 ]
 [61.8105  ]
 [61.99161 ]
 [61.903008]
 [61.393776]
 [61.29721 ]
 [62.879795]
 [63.487392]
 [63.104095]
 [60.282097]
 [59.52644 ]
 [58.996838]
 [58.25221 ]
 [58.341393]
 [57.9581  ]
 [58.48555 ]
 [58.64754 ]
 [58.408672]
 [57.049427]
 [55.657955]
 [54.203968]
 [53.161865]
 [53.29184 ]
 [53.38537 ]
 [52.541824]
 [51.87338 ]
 [50.560482]
 [49.99049 ]]","[[55.71652 ]
 [56.73006 ]
 [55.856934]
 [54.455864]
 [55.70464 ]
 [56.424484]
 [56.761955]
 [57.83247 ]
 [57.779587]
 [56.403786]
 [55.40407 ]
 [54.85037 ]
 [60.806557]
 [60.489304]
 [59.21334 ]
 [58.447628]
 [57.928097]
 [58.678642]
 [57.809616]
 [56.781857]
 [56.350574]
 [56.079826]
 [54.685944]
 [53.8037  ]
 [52.928   ]
 [52.562363]
 [52.88808 ]
 [53.0148  ]
 [52.97016 ]
 [52.917294]
 [53.559574]
 [54.67753 ]
 [54.23924 ]
 [53.34983 ]
 [53.426495]
 [53.919952]
 [54.06089 ]
 [53.709507]
 [54.188305]
 [55.633312]
 [56.34366 ]
 [56.7916  ]
 [56.158127]
 [55.622803]
 [55.11109 ]
 [54.353836]
 [55.646843]
 [56.435207]
 [57.185913]
 [56.731403]
 [56.97483 ]
 [57.196133]
 [56.95584 ]
 [56.901108]
 [57.017826]
 [56.857605]
 [57.524513]
 [57.238388]
 [55.637962]
 [56.386356]
 [58.024796]
 [58.17506 ]
 [58.184387]
 [58.393066]
 [58.377884]
 [56.741634]
 [56.22296 ]
 [57.929657]
 [58.638233]
 [59.42038 ]
 [59.412815]
 [59.465492]
 [59.126606]
 [59.311127]
 [60.122864]
 [60.483242]
 [61.07554 ]
 [61.253002]
 [61.53588 ]
 [60.940636]
 [60.74912 ]
 [61.228134]
 [61.841553]
 [62.086548]
 [62.020935]
 [61.54361 ]
 [61.396473]
 [62.78783 ]
 [63.48638 ]
 [63.229923]
 [60.647865]
 [59.629257]
 [59.079796]
 [58.41316 ]
 [58.446796]
 [58.11209 ]
 [58.5506  ]
 [58.771244]
 [58.592106]
 [57.359253]
 [55.90531 ]
 [54.395725]
 [53.267967]
 [53.26577 ]
 [53.412613]
 [52.72645 ]
 [51.992634]
 [50.690033]
 [49.962242]]","[[58.940475]
 [58.427082]
 [58.120586]
 [57.406708]
 [57.396294]
 [58.26783 ]
 [57.71291 ]
 [57.735954]
 [56.10384 ]
 [56.379673]
 [57.07293 ]
 [57.829624]
 [57.382664]
 [56.7625  ]
 [56.97767 ]
 [57.295906]
 [57.28281 ]
 [57.545025]
 [58.102783]
 [58.43029 ]
 [58.40491 ]
 [59.495792]
 [59.822903]
 [60.01302 ]
 [60.559406]
 [60.562134]
 [61.625313]
 [62.16427 ]
 [61.81974 ]
 [61.908314]
 [62.92231 ]
 [63.743477]
 [64.09103 ]
 [64.44777 ]
 [64.12532 ]
 [64.10144 ]
 [64.127144]
 [63.63944 ]
 [63.776653]
 [64.48939 ]
 [65.70867 ]
 [65.92621 ]
 [66.41933 ]
 [66.00413 ]
 [64.953575]
 [64.86027 ]
 [65.792854]
 [65.73691 ]
 [64.60048 ]
 [63.687424]
 [62.155422]
 [61.37034 ]
 [59.46    ]
 [59.3132  ]
 [59.323864]
 [60.58342 ]
 [61.576447]
 [62.107887]
 [62.19152 ]
 [61.98139 ]
 [62.764866]
 [63.62703 ]
 [64.056175]
 [63.360245]
 [61.821476]
 [61.079967]
 [61.170643]
 [62.407356]
 [62.771942]
 [61.55843 ]
 [60.387695]
 [61.787914]
 [61.58799 ]
 [60.991264]
 [61.007076]
 [61.22494 ]
 [62.300472]
 [62.301727]
 [63.424324]
 [65.11354 ]
 [64.739624]
 [65.857544]
 [65.78435 ]
 [65.46067 ]
 [64.61647 ]
 [64.85325 ]
 [63.44322 ]
 [63.4399  ]
 [63.452843]
 [63.63822 ]
 [62.443943]
 [63.32042 ]
 [65.32064 ]
 [66.90185 ]
 [67.42832 ]
 [67.56953 ]
 [66.5626  ]
 [66.47608 ]
 [68.04913 ]
 [68.3738  ]
 [68.35484 ]
 [67.72107 ]
 [67.53161 ]
 [67.81971 ]
 [68.06556 ]
 [68.07935 ]
 [68.393486]
 [67.45727 ]
 [67.684105]
 [68.21683 ]
 [69.336426]
 [70.400665]
 [69.09187 ]
 [70.31123 ]
 [70.81228 ]
 [70.38628 ]
 [70.4435  ]
 [70.59727 ]
 [70.75346 ]
 [70.814384]
 [70.608116]
 [71.254135]
 [71.33958 ]
 [71.128784]
 [70.27248 ]
 [67.945206]
 [66.54537 ]
 [67.50239 ]
 [67.01515 ]
 [66.02887 ]
 [64.91677 ]
 [65.30329 ]
 [64.922844]
 [65.87876 ]
 [65.9765  ]
 [66.21599 ]
 [66.49536 ]
 [66.70846 ]
 [66.981735]
 [65.459724]
 [65.79269 ]
 [65.26001 ]
 [65.85418 ]
 [65.86891 ]
 [68.50945 ]
 [69.88622 ]
 [73.863266]
 [76.153786]
 [73.47952 ]
 [72.58885 ]
 [72.195656]
 [72.460205]
 [71.990944]
 [72.20733 ]
 [72.47489 ]
 [72.66435 ]
 [70.28746 ]
 [69.36903 ]
 [69.88677 ]
 [68.20705 ]
 [67.70921 ]
 [68.22809 ]
 [68.981926]
 [69.95299 ]
 [68.266594]
 [69.84976 ]
 [70.629715]
 [71.085686]
 [68.99045 ]
 [70.04912 ]
 [69.598076]
 [68.648   ]
 [68.57865 ]
 [68.19996 ]
 [68.6392  ]
 [68.924164]
 [67.23218 ]
 [66.683464]
 [67.25915 ]
 [67.23918 ]
 [67.12369 ]
 [65.45263 ]
 [65.3333  ]
 [65.82374 ]
 [66.48561 ]
 [67.348145]
 [67.90128 ]
 [68.96132 ]
 [69.5913  ]
 [69.81701 ]
 [68.674965]
 [69.13443 ]
 [69.7549  ]
 [69.623116]
 [69.53352 ]
 [68.58714 ]
 [67.67855 ]
 [67.467834]
 [67.37454 ]
 [68.79901 ]
 [70.028015]
 [68.904045]
 [68.730774]
 [68.5707  ]
 [69.344696]
 [70.53139 ]
 [70.51868 ]
 [70.39745 ]
 [71.97917 ]
 [72.52463 ]
 [71.702736]
 [71.25874 ]
 [71.77397 ]
 [73.496864]
 [73.853645]
 [74.431274]
 [73.2196  ]
 [72.5599  ]
 [72.50968 ]
 [73.00614 ]
 [72.14603 ]
 [70.323524]
 [70.1676  ]
 [70.6603  ]
 [71.05997 ]
 [69.54756 ]
 [68.29642 ]
 [68.478455]
 [68.7887  ]
 [66.86724 ]
 [66.385185]
 [66.91343 ]
 [67.44532 ]
 [67.193   ]
 [66.37819 ]
 [65.451385]
 [63.91748 ]
 [63.173397]
 [63.113136]
 [62.372032]
 [61.859425]
 [60.918324]
 [60.295094]
 [59.930283]
 [56.180412]
 [55.92057 ]
 [56.270676]
 [56.481003]
 [57.168907]
 [54.04063 ]
 [54.22956 ]
 [51.9091  ]
 [51.383213]
 [50.48683 ]
 [51.46753 ]
 [51.276962]
 [52.89273 ]
 [53.465893]
 [53.033653]
 [51.997215]
 [52.732475]
 [51.61155 ]
 [51.8122  ]
 [51.444965]
 [52.657284]
 [51.84924 ]
 [50.424854]
 [47.33896 ]
 [48.19311 ]
 [47.08271 ]
 [46.630524]
 [47.158016]
 [46.296272]
 [46.50199 ]
 [47.429806]
 [48.053474]
 [48.699123]
 [49.13854 ]
 [50.097675]
 [52.193302]
 [52.82292 ]
 [52.060253]
 [50.879578]
 [51.803116]
 [52.32079 ]
 [52.21153 ]
 [53.55311 ]
 [53.02616 ]
 [52.71197 ]
 [53.05352 ]
 [53.60636 ]
 [52.327835]
 [53.042133]
 [54.1507  ]
 [54.100773]
 [55.239815]
 [54.85398 ]
 [53.970642]
 [53.992176]
 [52.972324]
 [52.85622 ]
 [52.634785]
 [53.187187]
 [53.910675]
 [54.498497]
 [55.56336 ]
 [56.205017]
 [56.946404]
 [57.10476 ]
 [57.13339 ]
 [55.655975]
 [55.39477 ]
 [56.701733]
 [57.26089 ]
 [56.13586 ]
 [56.55224 ]
 [56.60061 ]
 [56.343044]
 [56.627525]
 [55.95982 ]
 [56.69745 ]
 [56.960278]
 [58.180515]
 [58.716095]
 [58.704033]
 [59.163464]
 [59.252132]
 [60.129257]
 [60.188847]
 [59.191925]
 [58.81135 ]
 [59.753387]
 [59.58105 ]
 [59.459724]
 [60.19403 ]
 [61.55273 ]
 [62.66923 ]
 [62.80975 ]
 [62.45391 ]
 [63.155315]
 [64.39317 ]
 [64.40626 ]
 [64.82502 ]
 [63.996876]
 [63.974003]
 [63.637047]
 [64.060875]
 [63.97313 ]
 [64.170044]
 [65.59869 ]
 [66.39846 ]
 [66.30427 ]
 [65.56891 ]
 [63.695663]
 [63.36959 ]
 [63.77899 ]
 [63.72703 ]
 [62.204308]
 [62.026844]
 [62.313217]
 [61.67098 ]
 [62.188076]
 [61.817776]
 [61.797874]
 [61.22015 ]
 [61.82126 ]
 [62.172474]
 [63.021473]
 [63.06606 ]
 [63.314796]
 [63.260696]
 [61.833668]
 [58.19817 ]
 [58.119953]
 [58.709347]
 [58.8997  ]
 [56.92079 ]
 [53.83533 ]
 [53.098095]
 [53.37748 ]
 [51.985893]
 [52.577713]
 [53.87342 ]
 [53.652714]
 [53.532867]
 [51.693676]
 [52.318157]
 [52.648827]
 [52.290222]
 [53.752514]
 [53.97304 ]
 [56.520393]
 [57.481876]
 [57.910988]
 [57.847374]
 [59.07048 ]
 [59.348434]
 [58.517742]
 [58.9177  ]
 [56.443336]
 [56.87431 ]
 [57.29896 ]
 [57.603363]
 [60.024563]
 [60.22248 ]
 [60.250786]
 [59.583355]
 [57.74156 ]
 [56.5697  ]
 [55.16082 ]
 [55.283394]
 [55.80509 ]
 [56.55114 ]
 [56.13629 ]
 [55.97954 ]
 [56.077946]
 [56.79667 ]
 [57.978966]
 [58.632168]
 [54.503853]
 [55.31618 ]
 [54.71268 ]
 [53.77965 ]
 [51.63442 ]
 [52.413364]
 [54.21751 ]
 [55.07991 ]
 [56.9178  ]
 [55.68243 ]
 [54.72951 ]
 [54.808453]
 [56.052547]
 [56.32084 ]
 [55.882824]
 [55.468006]
 [54.304737]
 [53.644566]
 [54.799664]]"
1,adam,normal,14,500,128,0.3,1.891350603598619,1.9021088598922113,2.0100928953870465,"[[55.70415 ]
 [56.59585 ]
 [55.43459 ]
 [54.303173]
 [55.98518 ]
 [56.35393 ]
 [56.524437]
 [57.74258 ]
 [57.524433]
 [56.072353]
 [55.38553 ]
 [54.96768 ]
 [61.88062 ]
 [59.936718]
 [58.596085]
 [58.33103 ]
 [58.056404]
 [58.66956 ]
 [57.55709 ]
 [56.659668]
 [56.38765 ]
 [56.10505 ]
 [54.555046]
 [53.91057 ]
 [53.072803]
 [52.740326]
 [53.019314]
 [52.997334]
 [52.90408 ]
 [52.882286]
 [53.61371 ]
 [54.67875 ]
 [53.902317]
 [53.187492]
 [53.54814 ]
 [53.970226]
 [53.929966]
 [53.555428]
 [54.23347 ]
 [55.70955 ]
 [56.13188 ]
 [56.546185]
 [55.855686]
 [55.52278 ]
 [55.06731 ]
 [54.325214]
 [55.842274]
 [56.332092]
 [57.010227]
 [56.388695]
 [56.904167]
 [57.083164]
 [56.774895]
 [56.770786]
 [56.94209 ]
 [56.716278]
 [57.483727]
 [57.019077]
 [55.388752]
 [56.56699 ]
 [58.144375]
 [57.859737]
 [57.894398]
 [58.27615 ]
 [58.2348  ]
 [56.44861 ]
 [56.278336]
 [58.172127]
 [58.48065 ]
 [59.18888 ]
 [59.13078 ]
 [59.302002]
 [58.930473]
 [59.22776 ]
 [60.06654 ]
 [60.30534 ]
 [60.90327 ]
 [61.049644]
 [61.376133]
 [60.709583]
 [60.641228]
 [61.18568 ]
 [61.752193]
 [61.88939 ]
 [61.82046 ]
 [61.36907 ]
 [61.305603]
 [62.820496]
 [63.336998]
 [62.946053]
 [60.34732 ]
 [59.749065]
 [59.214333]
 [58.424885]
 [58.431873]
 [58.037594]
 [58.52216 ]
 [58.638172]
 [58.406586]
 [57.12526 ]
 [55.86974 ]
 [54.510807]
 [53.497814]
 [53.524258]
 [53.493134]
 [52.634537]
 [52.04    ]
 [50.815937]
 [50.29926 ]]","[[55.55324 ]
 [56.384502]
 [55.793137]
 [54.896526]
 [55.86235 ]
 [56.295025]
 [56.55853 ]
 [57.546833]
 [57.633972]
 [56.628727]
 [55.923443]
 [55.411983]
 [60.242985]
 [59.85031 ]
 [59.041008]
 [58.711117]
 [58.39723 ]
 [58.739243]
 [57.976128]
 [57.183655]
 [56.786957]
 [56.450783]
 [55.21903 ]
 [54.46362 ]
 [53.62072 ]
 [53.127483]
 [53.149338]
 [53.11928 ]
 [53.050365]
 [53.024967]
 [53.535725]
 [54.41646 ]
 [54.117355]
 [53.590126]
 [53.705574]
 [53.993366]
 [54.028603]
 [53.796997]
 [54.23418 ]
 [55.37674 ]
 [55.98104 ]
 [56.494972]
 [56.158867]
 [55.867073]
 [55.444633]
 [54.789772]
 [55.69462 ]
 [56.229385]
 [56.894573]
 [56.636246]
 [56.99913 ]
 [57.189095]
 [57.018314]
 [56.986626]
 [57.10157 ]
 [56.95503 ]
 [57.48739 ]
 [57.258923]
 [56.044884]
 [56.627113]
 [57.84077 ]
 [57.917362]
 [58.033596]
 [58.362965]
 [58.397503]
 [57.093258]
 [56.70771 ]
 [57.93933 ]
 [58.402256]
 [59.08758 ]
 [59.228992]
 [59.4188  ]
 [59.178364]
 [59.36187 ]
 [60.013115]
 [60.32461 ]
 [60.86646 ]
 [61.093895]
 [61.405636]
 [60.955826]
 [60.84036 ]
 [61.21903 ]
 [61.711864]
 [61.916046]
 [61.918415]
 [61.577972]
 [61.473732]
 [62.6162  ]
 [63.203262]
 [63.02582 ]
 [60.990765]
 [60.22622 ]
 [59.618477]
 [58.873913]
 [58.707912]
 [58.35384 ]
 [58.630444]
 [58.75681 ]
 [58.62534 ]
 [57.658638]
 [56.538654]
 [55.26181 ]
 [54.179077]
 [53.865517]
 [53.70394 ]
 [53.035225]
 [52.44536 ]
 [51.390327]
 [50.70612 ]]","[[58.85026 ]
 [58.331715]
 [58.10979 ]
 [57.47537 ]
 [57.487812]
 [58.28861 ]
 [57.707687]
 [57.751183]
 [56.2131  ]
 [56.527596]
 [57.122612]
 [57.806328]
 [57.328316]
 [56.798767]
 [57.043278]
 [57.328407]
 [57.281635]
 [57.539093]
 [58.084244]
 [58.390205]
 [58.367203]
 [59.450527]
 [59.747528]
 [59.936806]
 [60.484573]
 [60.505993]
 [61.541603]
 [62.042583]
 [61.716595]
 [61.839012]
 [62.846577]
 [63.59945 ]
 [63.898735]
 [64.26544 ]
 [64.002075]
 [64.019745]
 [64.05819 ]
 [63.598785]
 [63.73356 ]
 [64.40609 ]
 [65.52678 ]
 [65.675835]
 [66.17645 ]
 [65.82913 ]
 [64.90778 ]
 [64.86592 ]
 [65.74562 ]
 [65.602264]
 [64.51644 ]
 [63.728565]
 [62.31733 ]
 [61.551975]
 [59.692825]
 [59.521267]
 [59.44545 ]
 [60.592293]
 [61.46626 ]
 [61.95869 ]
 [62.051113]
 [61.904064]
 [62.689495]
 [63.499992]
 [63.880775]
 [63.22898 ]
 [61.849422]
 [61.208157]
 [61.280144]
 [62.393894]
 [62.654846]
 [61.491493]
 [60.454113]
 [61.839134]
 [61.56812 ]
 [60.956387]
 [61.000164]
 [61.23818 ]
 [62.231026]
 [62.186882]
 [63.282173]
 [64.892204]
 [64.499985]
 [65.6104  ]
 [65.57798 ]
 [65.325386]
 [64.552284]
 [64.84884 ]
 [63.477207]
 [63.48635 ]
 [63.464996]
 [63.614544]
 [62.42832 ]
 [63.30796 ]
 [65.18281 ]
 [66.57584 ]
 [66.99146 ]
 [67.22509 ]
 [66.401924]
 [66.42758 ]
 [67.91165 ]
 [68.102486]
 [68.068565]
 [67.56702 ]
 [67.49691 ]
 [67.749725]
 [67.93793 ]
 [67.91904 ]
 [68.233795]
 [67.36231 ]
 [67.63866 ]
 [68.11152 ]
 [69.10523 ]
 [69.993835]
 [68.816216]
 [70.14403 ]
 [70.557945]
 [70.16028 ]
 [70.27125 ]
 [70.51354 ]
 [70.621414]
 [70.6605  ]
 [70.50516 ]
 [71.136185]
 [71.15586 ]
 [70.9867  ]
 [70.2493  ]
 [68.15535 ]
 [66.90464 ]
 [67.76941 ]
 [67.06628 ]
 [66.027245]
 [65.00769 ]
 [65.41159 ]
 [64.93198 ]
 [65.78592 ]
 [65.816574]
 [66.05846 ]
 [66.31747 ]
 [66.55053 ]
 [66.802895]
 [65.39049 ]
 [65.788376]
 [65.261246]
 [65.80397 ]
 [65.73946 ]
 [68.25221 ]
 [69.3604  ]
 [72.93116 ]
 [74.642   ]
 [72.65045 ]
 [72.53261 ]
 [72.414314]
 [72.582954]
 [71.95774 ]
 [72.25768 ]
 [72.426186]
 [72.55755 ]
 [70.356346]
 [69.73933 ]
 [70.17977 ]
 [68.388504]
 [67.86449 ]
 [68.34313 ]
 [68.92402 ]
 [69.65376 ]
 [68.08854 ]
 [69.75934 ]
 [70.36098 ]
 [70.73367 ]
 [68.81544 ]
 [70.1232  ]
 [69.554115]
 [68.66088 ]
 [68.5934  ]
 [68.27561 ]
 [68.597755]
 [68.786545]
 [67.19543 ]
 [66.76831 ]
 [67.31971 ]
 [67.18693 ]
 [66.99552 ]
 [65.45536 ]
 [65.42395 ]
 [65.838974]
 [66.37544 ]
 [67.099754]
 [67.61754 ]
 [68.62811 ]
 [69.211464]
 [69.467316]
 [68.49222 ]
 [69.08126 ]
 [69.619415]
 [69.43316 ]
 [69.362206]
 [68.55775 ]
 [67.76301 ]
 [67.56386 ]
 [67.419044]
 [68.67438 ]
 [69.68124 ]
 [68.6069  ]
 [68.6122  ]
 [68.548035]
 [69.25536 ]
 [70.226074]
 [70.180534]
 [70.15327 ]
 [71.70661 ]
 [72.09732 ]
 [71.39684 ]
 [71.20233 ]
 [71.78749 ]
 [73.20986 ]
 [73.33359 ]
 [73.965706]
 [73.01114 ]
 [72.68734 ]
 [72.65751 ]
 [73.05395 ]
 [72.12209 ]
 [70.55168 ]
 [70.52763 ]
 [70.85733 ]
 [70.99744 ]
 [69.5103  ]
 [68.49134 ]
 [68.69545 ]
 [68.84314 ]
 [66.889725]
 [66.51574 ]
 [67.00808 ]
 [67.380226]
 [67.01693 ]
 [66.305916]
 [65.49557 ]
 [64.059235]
 [63.342197]
 [63.23126 ]
 [62.450436]
 [61.916927]
 [61.01404 ]
 [60.4166  ]
 [60.03357 ]
 [56.49787 ]
 [56.281857]
 [56.489655]
 [56.56989 ]
 [57.1461  ]
 [54.183018]
 [54.500008]
 [52.234932]
 [51.78149 ]
 [50.77587 ]
 [51.663322]
 [51.273045]
 [52.89774 ]
 [53.320057]
 [52.95355 ]
 [52.05839 ]
 [52.855408]
 [51.676235]
 [51.947857]
 [51.518276]
 [52.71138 ]
 [51.79352 ]
 [50.59342 ]
 [47.903366]
 [48.767242]
 [47.327923]
 [47.00031 ]
 [47.358173]
 [46.43502 ]
 [46.7363  ]
 [47.480843]
 [47.964417]
 [48.591343]
 [49.02602 ]
 [50.00514 ]
 [52.06828 ]
 [52.562607]
 [51.91393 ]
 [50.983517]
 [51.953205]
 [52.29618 ]
 [52.166496]
 [53.52578 ]
 [52.94022 ]
 [52.745464]
 [53.099743]
 [53.613316]
 [52.34482 ]
 [53.146046]
 [54.134373]
 [54.025146]
 [55.184406]
 [54.785965]
 [54.020622]
 [54.09447 ]
 [53.1083  ]
 [53.012264]
 [52.74321 ]
 [53.253845]
 [53.88394 ]
 [54.43462 ]
 [55.484726]
 [56.103046]
 [56.8548  ]
 [57.02339 ]
 [57.098644]
 [55.719257]
 [55.546402]
 [56.766457]
 [57.220592]
 [56.104847]
 [56.599422]
 [56.638702]
 [56.37632 ]
 [56.64593 ]
 [56.006966]
 [56.73958 ]
 [56.948105]
 [58.138134]
 [58.61704 ]
 [58.628418]
 [59.10998 ]
 [59.21845 ]
 [60.075474]
 [60.11441 ]
 [59.184128]
 [58.87143 ]
 [59.791023]
 [59.566753]
 [59.436695]
 [60.164406]
 [61.47508 ]
 [62.50054 ]
 [62.61521 ]
 [62.32993 ]
 [63.06997 ]
 [64.25278 ]
 [64.21352 ]
 [64.63301 ]
 [63.89708 ]
 [63.939316]
 [63.614098]
 [64.020905]
 [63.892582]
 [64.085335]
 [65.43569 ]
 [66.1471  ]
 [66.03632 ]
 [65.41733 ]
 [63.75354 ]
 [63.50187 ]
 [63.844875]
 [63.70487 ]
 [62.21209 ]
 [62.097107]
 [62.362217]
 [61.692276]
 [62.1567  ]
 [61.79816 ]
 [61.782875]
 [61.220497]
 [61.817772]
 [62.11673 ]
 [62.91249 ]
 [62.928047]
 [63.199245]
 [63.165443]
 [61.84222 ]
 [58.479935]
 [58.45293 ]
 [58.902966]
 [58.945522]
 [56.98861 ]
 [54.228775]
 [53.578014]
 [53.665054]
 [52.185658]
 [52.748154]
 [53.887432]
 [53.578896]
 [53.517635]
 [51.834217]
 [52.53265 ]
 [52.691128]
 [52.313717]
 [53.756706]
 [53.880405]
 [56.46691 ]
 [57.29504 ]
 [57.75642 ]
 [57.746346]
 [59.026035]
 [59.264935]
 [58.480186]
 [58.923153]
 [56.59445 ]
 [57.05081 ]
 [57.37527 ]
 [57.62125 ]
 [59.9491  ]
 [60.072437]
 [60.124336]
 [59.5436  ]
 [57.881565]
 [56.80456 ]
 [55.4614  ]
 [55.51473 ]
 [55.89454 ]
 [56.54818 ]
 [56.101593]
 [56.007416]
 [56.120087]
 [56.808666]
 [57.92289 ]
 [58.529896]
 [54.63681 ]
 [55.59033 ]
 [54.892384]
 [53.96381 ]
 [51.91759 ]
 [52.715336]
 [54.245335]
 [54.95662 ]
 [56.790165]
 [55.542408]
 [54.803738]
 [54.933037]
 [56.102615]
 [56.255272]
 [55.84816 ]
 [55.514797]
 [54.44729 ]
 [53.84441 ]
 [54.905315]]"
