,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,glorot_uniform,7,500,128,0.2,1.7224461686464183,1.7154353396138706,2.0415015792478823,"[[55.53383 ]
 [56.022156]
 [55.887646]
 [54.548447]
 [56.474678]
 [56.475704]
 [56.85996 ]
 [58.114243]
 [57.972748]
 [57.05352 ]
 [56.458275]
 [56.280407]
 [59.152035]
 [58.87471 ]
 [58.02868 ]
 [57.97016 ]
 [57.661865]
 [57.82036 ]
 [56.851074]
 [56.446022]
 [56.70045 ]
 [55.644165]
 [54.917248]
 [53.894886]
 [53.19489 ]
 [52.5039  ]
 [52.726948]
 [52.658276]
 [52.064564]
 [52.275723]
 [53.38128 ]
 [54.19666 ]
 [54.586105]
 [53.63825 ]
 [54.00166 ]
 [53.63584 ]
 [54.146496]
 [54.647724]
 [54.570072]
 [55.506855]
 [56.349396]
 [56.59345 ]
 [56.50808 ]
 [56.290737]
 [55.744167]
 [55.14098 ]
 [55.957638]
 [57.02675 ]
 [57.437164]
 [57.232254]
 [57.420208]
 [56.821026]
 [57.33526 ]
 [57.29728 ]
 [57.520874]
 [57.173447]
 [57.72259 ]
 [57.342205]
 [55.939194]
 [56.760727]
 [57.629932]
 [57.781677]
 [58.249844]
 [58.374725]
 [58.61452 ]
 [57.79892 ]
 [56.54079 ]
 [57.29304 ]
 [58.101685]
 [59.03006 ]
 [59.243126]
 [58.972286]
 [59.43391 ]
 [59.91458 ]
 [60.572094]
 [60.979538]
 [61.52744 ]
 [61.063766]
 [61.541702]
 [61.38961 ]
 [61.323483]
 [61.515892]
 [62.239635]
 [62.523403]
 [62.161617]
 [61.84513 ]
 [61.859367]
 [61.525074]
 [62.10864 ]
 [62.427822]
 [60.091183]
 [59.74758 ]
 [59.20988 ]
 [58.985836]
 [59.036335]
 [58.850273]
 [59.291027]
 [59.342903]
 [58.43011 ]
 [57.066685]
 [56.46796 ]
 [55.27902 ]
 [53.32399 ]
 [53.411335]
 [52.962185]
 [52.60209 ]
 [52.04363 ]
 [50.445156]
 [50.107723]]","[[55.468555]
 [55.879356]
 [55.811657]
 [54.40624 ]
 [56.584133]
 [56.309395]
 [56.753365]
 [58.032436]
 [58.05108 ]
 [57.103615]
 [56.574127]
 [56.46201 ]
 [59.49869 ]
 [58.736427]
 [57.770283]
 [57.85379 ]
 [57.549145]
 [57.682926]
 [56.55096 ]
 [56.243652]
 [56.616405]
 [55.392067]
 [54.736027]
 [53.709213]
 [53.086685]
 [52.296238]
 [52.592995]
 [52.441795]
 [51.738323]
 [52.05748 ]
 [53.3156  ]
 [54.002205]
 [54.489014]
 [53.449905]
 [54.035355]
 [53.54884 ]
 [54.174507]
 [54.731964]
 [54.497135]
 [55.422596]
 [56.37335 ]
 [56.61202 ]
 [56.53552 ]
 [56.356606]
 [55.798256]
 [55.184807]
 [55.985798]
 [57.070267]
 [57.348465]
 [57.21966 ]
 [57.5302  ]
 [56.945236]
 [57.482677]
 [57.348125]
 [57.55868 ]
 [57.16639 ]
 [57.80999 ]
 [57.38757 ]
 [55.915424]
 [56.803623]
 [57.63876 ]
 [57.755886]
 [58.271263]
 [58.44401 ]
 [58.698433]
 [57.893833]
 [56.580017]
 [57.418823]
 [58.2236  ]
 [59.11201 ]
 [59.268574]
 [59.00976 ]
 [59.551483]
 [59.987118]
 [60.551815]
 [60.937798]
 [61.51748 ]
 [61.25273 ]
 [61.732735]
 [61.549904]
 [61.458977]
 [61.65418 ]
 [62.21365 ]
 [62.51362 ]
 [62.30721 ]
 [62.026863]
 [62.0263  ]
 [61.896942]
 [62.387486]
 [62.549255]
 [59.810585]
 [59.63314 ]
 [59.16835 ]
 [58.98994 ]
 [59.04933 ]
 [58.906734]
 [59.332058]
 [59.405834]
 [58.51842 ]
 [57.09862 ]
 [56.547054]
 [55.261246]
 [53.131203]
 [53.35673 ]
 [52.788597]
 [52.41997 ]
 [51.81121 ]
 [50.20716 ]
 [50.06    ]]","[[58.82916 ]
 [58.444267]
 [58.624615]
 [58.44912 ]
 [58.358944]
 [58.288628]
 [58.24667 ]
 [58.14911 ]
 [57.02117 ]
 [57.468678]
 [58.00533 ]
 [58.48094 ]
 [58.48507 ]
 [58.004776]
 [57.943207]
 [57.69211 ]
 [58.20893 ]
 [58.1388  ]
 [58.48009 ]
 [58.93736 ]
 [59.245575]
 [59.345604]
 [60.248825]
 [60.512478]
 [60.924404]
 [60.88901 ]
 [61.728657]
 [62.369038]
 [62.469604]
 [62.36485 ]
 [62.84536 ]
 [63.36431 ]
 [63.993053]
 [64.46027 ]
 [64.4844  ]
 [64.58039 ]
 [64.44224 ]
 [64.12588 ]
 [64.21096 ]
 [64.68064 ]
 [65.43874 ]
 [65.69519 ]
 [66.17179 ]
 [66.12987 ]
 [64.990906]
 [64.872444]
 [65.60605 ]
 [65.66804 ]
 [64.6836  ]
 [63.951817]
 [63.227634]
 [61.990513]
 [60.220524]
 [60.2454  ]
 [59.764767]
 [60.43    ]
 [61.261307]
 [62.02126 ]
 [62.172066]
 [62.08021 ]
 [62.721493]
 [63.52872 ]
 [64.13415 ]
 [63.51979 ]
 [62.09612 ]
 [61.36282 ]
 [61.326965]
 [62.11383 ]
 [62.72605 ]
 [62.014866]
 [61.306324]
 [62.120865]
 [61.935883]
 [61.522957]
 [61.14266 ]
 [61.049614]
 [62.027122]
 [62.15129 ]
 [62.856705]
 [64.158264]
 [64.35711 ]
 [65.14032 ]
 [65.59783 ]
 [65.68704 ]
 [64.94655 ]
 [64.9362  ]
 [63.838886]
 [63.61038 ]
 [63.66129 ]
 [63.84047 ]
 [63.127472]
 [63.3362  ]
 [64.580215]
 [65.77819 ]
 [66.53983 ]
 [67.09956 ]
 [66.75787 ]
 [66.59455 ]
 [67.491394]
 [68.02683 ]
 [67.89146 ]
 [67.58193 ]
 [67.63656 ]
 [67.59978 ]
 [67.74225 ]
 [68.14902 ]
 [68.31334 ]
 [67.776924]
 [67.78632 ]
 [67.7835  ]
 [68.5198  ]
 [69.53956 ]
 [68.6992  ]
 [69.64669 ]
 [70.25961 ]
 [70.14191 ]
 [70.22956 ]
 [70.38096 ]
 [70.58788 ]
 [70.67932 ]
 [70.67259 ]
 [71.15808 ]
 [71.16536 ]
 [70.729645]
 [69.956635]
 [68.085526]
 [66.93262 ]
 [67.54876 ]
 [67.277145]
 [66.60668 ]
 [65.62248 ]
 [65.431274]
 [65.24879 ]
 [65.73683 ]
 [65.79974 ]
 [66.09552 ]
 [66.35736 ]
 [66.427765]
 [66.46351 ]
 [65.446846]
 [65.220245]
 [64.640785]
 [65.25373 ]
 [65.47177 ]
 [67.36211 ]
 [68.68569 ]
 [72.04679 ]
 [74.54234 ]
 [73.07603 ]
 [72.73633 ]
 [72.32714 ]
 [72.39946 ]
 [71.90735 ]
 [72.028114]
 [72.35911 ]
 [72.68615 ]
 [70.275375]
 [69.25691 ]
 [69.762505]
 [68.6793  ]
 [68.02844 ]
 [68.16538 ]
 [68.60288 ]
 [69.32868 ]
 [68.449524]
 [69.4108  ]
 [70.1204  ]
 [70.59228 ]
 [69.46907 ]
 [70.04354 ]
 [69.51758 ]
 [68.88556 ]
 [68.67089 ]
 [68.31815 ]
 [68.18184 ]
 [68.48282 ]
 [67.406105]
 [66.80926 ]
 [66.71744 ]
 [66.76664 ]
 [66.8432  ]
 [65.09097 ]
 [65.369774]
 [65.336395]
 [65.68564 ]
 [66.574974]
 [67.16097 ]
 [67.99406 ]
 [68.78491 ]
 [69.30578 ]
 [68.77772 ]
 [68.8084  ]
 [69.24584 ]
 [69.21226 ]
 [68.942566]
 [68.36704 ]
 [67.39679 ]
 [67.197876]
 [67.31191 ]
 [68.26576 ]
 [69.10143 ]
 [68.47209 ]
 [68.58182 ]
 [68.62008 ]
 [69.07506 ]
 [69.8909  ]
 [70.05013 ]
 [70.10273 ]
 [71.313705]
 [71.92266 ]
 [71.52615 ]
 [71.40606 ]
 [71.75339 ]
 [72.93866 ]
 [73.56464 ]
 [74.1151  ]
 [73.402756]
 [72.91975 ]
 [72.69364 ]
 [72.9737  ]
 [72.19952 ]
 [69.782104]
 [69.71079 ]
 [70.11844 ]
 [70.53029 ]
 [69.514465]
 [68.5683  ]
 [68.3103  ]
 [68.23618 ]
 [66.52689 ]
 [66.00075 ]
 [66.49388 ]
 [66.84892 ]
 [66.707504]
 [66.47071 ]
 [65.783394]
 [64.49531 ]
 [63.77137 ]
 [62.852985]
 [62.489254]
 [62.247562]
 [61.098793]
 [60.106598]
 [59.602787]
 [57.20794 ]
 [56.195423]
 [56.600418]
 [56.270508]
 [56.92498 ]
 [54.266945]
 [54.475063]
 [53.483704]
 [52.003178]
 [51.854343]
 [51.575203]
 [51.835148]
 [52.996647]
 [52.183918]
 [52.24804 ]
 [51.531918]
 [52.37978 ]
 [51.640415]
 [51.531944]
 [51.86843 ]
 [52.621223]
 [51.098534]
 [51.104713]
 [48.08726 ]
 [49.091244]
 [47.673   ]
 [47.31867 ]
 [47.942253]
 [47.233067]
 [47.186115]
 [46.405594]
 [47.852856]
 [49.13895 ]
 [50.085987]
 [51.053204]
 [52.51783 ]
 [52.61968 ]
 [52.652702]
 [52.202953]
 [52.531845]
 [53.037712]
 [52.51577 ]
 [53.857502]
 [53.112614]
 [53.10925 ]
 [53.40988 ]
 [53.602974]
 [52.679504]
 [52.875286]
 [54.00986 ]
 [54.846928]
 [55.994396]
 [55.13151 ]
 [55.5251  ]
 [55.01657 ]
 [53.540905]
 [53.167652]
 [52.969925]
 [54.113472]
 [54.759777]
 [54.709366]
 [55.52078 ]
 [56.508614]
 [57.402676]
 [57.588406]
 [58.150436]
 [56.90617 ]
 [56.41706 ]
 [56.857677]
 [57.342598]
 [57.01367 ]
 [57.014214]
 [57.554417]
 [57.301273]
 [56.962387]
 [56.227833]
 [57.00838 ]
 [57.090084]
 [57.75011 ]
 [58.318913]
 [58.668617]
 [59.145008]
 [59.35168 ]
 [59.773983]
 [59.819965]
 [58.965725]
 [58.625443]
 [59.218254]
 [59.15669 ]
 [59.389603]
 [59.96167 ]
 [61.224438]
 [62.10522 ]
 [62.73032 ]
 [62.618023]
 [62.796413]
 [63.79152 ]
 [63.787487]
 [63.97373 ]
 [63.474228]
 [64.08149 ]
 [63.799152]
 [64.0878  ]
 [64.189415]
 [64.040085]
 [64.89582 ]
 [65.61055 ]
 [65.96282 ]
 [65.51059 ]
 [64.07443 ]
 [63.67365 ]
 [63.921406]
 [63.944614]
 [62.423653]
 [62.217583]
 [62.44214 ]
 [61.58986 ]
 [61.596523]
 [60.896267]
 [61.28281 ]
 [60.4391  ]
 [60.80092 ]
 [61.194656]
 [62.30906 ]
 [62.34228 ]
 [62.28691 ]
 [62.73214 ]
 [62.004784]
 [58.80997 ]
 [57.919098]
 [58.447613]
 [58.62911 ]
 [57.13723 ]
 [54.895687]
 [54.092022]
 [53.81204 ]
 [52.4758  ]
 [53.196316]
 [53.99423 ]
 [53.83562 ]
 [53.944   ]
 [52.26891 ]
 [52.15886 ]
 [51.942516]
 [52.27574 ]
 [53.349285]
 [54.052147]
 [55.024673]
 [56.060696]
 [57.236744]
 [57.35795 ]
 [58.439095]
 [58.926525]
 [59.04128 ]
 [59.360046]
 [56.8247  ]
 [57.02097 ]
 [56.822777]
 [57.166897]
 [58.8783  ]
 [59.07522 ]
 [59.26883 ]
 [59.5645  ]
 [58.59146 ]
 [57.18902 ]
 [55.88658 ]
 [55.69769 ]
 [55.61154 ]
 [56.25631 ]
 [56.55967 ]
 [57.05575 ]
 [57.05675 ]
 [57.263912]
 [58.22938 ]
 [58.355217]
 [55.90327 ]
 [55.71578 ]
 [54.957825]
 [53.528893]
 [52.309883]
 [53.094048]
 [53.086407]
 [54.502903]
 [55.52265 ]
 [55.045307]
 [54.675137]
 [54.968327]
 [55.970177]
 [55.768394]
 [55.906197]
 [55.464634]
 [54.74305 ]
 [54.194515]
 [54.621105]]"
1,adam,normal,17,500,128,0.3,1.7279823957475744,1.7273643071242533,2.018547715455675,"[[55.542503]
 [56.049847]
 [55.851433]
 [54.515003]
 [56.54931 ]
 [56.437035]
 [56.8172  ]
 [58.06528 ]
 [57.950264]
 [57.005684]
 [56.447388]
 [56.30211 ]
 [59.72293 ]
 [58.98684 ]
 [58.0104  ]
 [57.99381 ]
 [57.671337]
 [57.92151 ]
 [56.83212 ]
 [56.38535 ]
 [56.637955]
 [55.60132 ]
 [54.80461 ]
 [53.835228]
 [53.15566 ]
 [52.455067]
 [52.717125]
 [52.62958 ]
 [52.055332]
 [52.257843]
 [53.372234]
 [54.160553]
 [54.51654 ]
 [53.602306]
 [54.057705]
 [53.713852]
 [54.21025 ]
 [54.67392 ]
 [54.57318 ]
 [55.524235]
 [56.376633]
 [56.62917 ]
 [56.499474]
 [56.29005 ]
 [55.7525  ]
 [55.14727 ]
 [55.997482]
 [57.043034]
 [57.37684 ]
 [57.170853]
 [57.423946]
 [56.925884]
 [57.38415 ]
 [57.29254 ]
 [57.499565]
 [57.13925 ]
 [57.748226]
 [57.34398 ]
 [55.904377]
 [56.790604]
 [57.69264 ]
 [57.785183]
 [58.227577]
 [58.390755]
 [58.61183 ]
 [57.72716 ]
 [56.534668]
 [57.475113]
 [58.21463 ]
 [59.09047 ]
 [59.23341 ]
 [59.022503]
 [59.447594]
 [59.900814]
 [60.52249 ]
 [60.884396]
 [61.42063 ]
 [61.05394 ]
 [61.5636  ]
 [61.350876]
 [61.269627]
 [61.492203]
 [62.19952 ]
 [62.43514 ]
 [62.100792]
 [61.799225]
 [61.821957]
 [61.882347]
 [62.483707]
 [62.62599 ]
 [59.919758]
 [59.718685]
 [59.197765]
 [58.93774 ]
 [58.98987 ]
 [58.794975]
 [59.245205]
 [59.28012 ]
 [58.4394  ]
 [57.09343 ]
 [56.46224 ]
 [55.21402 ]
 [53.26175 ]
 [53.41014 ]
 [52.97508 ]
 [52.54919 ]
 [51.96615 ]
 [50.395355]
 [50.080017]]","[[55.489197]
 [55.95953 ]
 [55.91224 ]
 [54.658016]
 [56.590546]
 [56.54592 ]
 [56.882984]
 [58.044216]
 [58.02841 ]
 [57.179703]
 [56.61155 ]
 [56.432343]
 [59.095486]
 [58.72292 ]
 [57.938816]
 [57.986572]
 [57.6918  ]
 [57.80349 ]
 [56.78022 ]
 [56.41678 ]
 [56.74307 ]
 [55.650734]
 [54.945045]
 [53.922077]
 [53.221222]
 [52.44582 ]
 [52.625126]
 [52.52847 ]
 [51.872463]
 [52.058586]
 [53.2208  ]
 [54.029617]
 [54.546234]
 [53.72911 ]
 [54.09216 ]
 [53.663364]
 [54.154423]
 [54.7008  ]
 [54.629356]
 [55.47168 ]
 [56.31333 ]
 [56.608906]
 [56.579514]
 [56.402626]
 [55.877083]
 [55.28353 ]
 [56.006367]
 [57.016003]
 [57.410557]
 [57.272305]
 [57.48179 ]
 [56.94512 ]
 [57.430298]
 [57.385227]
 [57.60114 ]
 [57.26742 ]
 [57.790367]
 [57.44156 ]
 [56.09293 ]
 [56.866955]
 [57.675285]
 [57.814167]
 [58.283413]
 [58.469437]
 [58.707726]
 [57.913113]
 [56.701164]
 [57.379562]
 [58.140762]
 [59.056847]
 [59.31078 ]
 [59.094093]
 [59.542305]
 [59.99126 ]
 [60.58029 ]
 [60.92999 ]
 [61.401035]
 [61.15044 ]
 [61.61189 ]
 [61.450745]
 [61.391796]
 [61.605114]
 [62.19478 ]
 [62.456257]
 [62.217342]
 [61.91829 ]
 [61.921215]
 [61.78741 ]
 [62.26545 ]
 [62.497635]
 [60.028107]
 [59.830803]
 [59.318443]
 [59.110332]
 [59.148144]
 [58.957947]
 [59.343697]
 [59.37671 ]
 [58.570156]
 [57.225998]
 [56.62775 ]
 [55.423576]
 [53.388298]
 [53.41438 ]
 [52.87657 ]
 [52.514587]
 [51.96421 ]
 [50.372623]
 [49.99559 ]]","[[58.81588 ]
 [58.434624]
 [58.623363]
 [58.411465]
 [58.320663]
 [58.303497]
 [58.250057]
 [58.15412 ]
 [56.97101 ]
 [57.457348]
 [57.979816]
 [58.40769 ]
 [58.38873 ]
 [57.93578 ]
 [57.9297  ]
 [57.714188]
 [58.221867]
 [58.105312]
 [58.464165]
 [58.91134 ]
 [59.20575 ]
 [59.366116]
 [60.24783 ]
 [60.465046]
 [60.87357 ]
 [60.842667]
 [61.712067]
 [62.323   ]
 [62.37687 ]
 [62.286438]
 [62.85851 ]
 [63.445805]
 [64.02495 ]
 [64.48118 ]
 [64.44858 ]
 [64.519905]
 [64.39609 ]
 [64.06132 ]
 [64.15402 ]
 [64.64061 ]
 [65.496635]
 [65.7349  ]
 [66.19635 ]
 [66.11732 ]
 [64.93686 ]
 [64.865875]
 [65.6543  ]
 [65.74346 ]
 [64.63998 ]
 [63.890774]
 [63.115177]
 [61.905712]
 [60.108234]
 [60.207558]
 [59.741173]
 [60.487335]
 [61.329086]
 [62.05353 ]
 [62.182114]
 [62.083252]
 [62.758217]
 [63.554512]
 [64.12341 ]
 [63.470005]
 [62.013508]
 [61.34087 ]
 [61.357903]
 [62.2379  ]
 [62.80229 ]
 [61.95856 ]
 [61.21413 ]
 [62.08977 ]
 [61.888214]
 [61.459034]
 [61.140167]
 [61.12607 ]
 [62.13117 ]
 [62.213856]
 [63.01304 ]
 [64.43578 ]
 [64.48548 ]
 [65.38378 ]
 [65.71877 ]
 [65.725845]
 [64.89961 ]
 [64.94271 ]
 [63.75454 ]
 [63.605007]
 [63.68115 ]
 [63.863625]
 [63.054836]
 [63.370274]
 [64.76183 ]
 [66.12801 ]
 [66.81263 ]
 [67.23745 ]
 [66.77461 ]
 [66.595345]
 [67.58279 ]
 [68.171265]
 [68.02138 ]
 [67.55054 ]
 [67.60664 ]
 [67.72335 ]
 [67.77455 ]
 [68.24629 ]
 [68.40929 ]
 [67.72404 ]
 [67.78    ]
 [67.93203 ]
 [68.78669 ]
 [69.85726 ]
 [68.695915]
 [69.85563 ]
 [70.50522 ]
 [70.196396]
 [70.264   ]
 [70.41289 ]
 [70.641   ]
 [70.69846 ]
 [70.67594 ]
 [71.28264 ]
 [71.2215  ]
 [70.75105 ]
 [69.78242 ]
 [67.70248 ]
 [66.65078 ]
 [67.51458 ]
 [67.29098 ]
 [66.52142 ]
 [65.48057 ]
 [65.42419 ]
 [65.2261  ]
 [65.813545]
 [65.87944 ]
 [66.14574 ]
 [66.424095]
 [66.52737 ]
 [66.60656 ]
 [65.387985]
 [65.3753  ]
 [64.78759 ]
 [65.51577 ]
 [65.68895 ]
 [67.95421 ]
 [69.28741 ]
 [73.268036]
 [75.693924]
 [72.71812 ]
 [72.33662 ]
 [72.21253 ]
 [72.23678 ]
 [71.78304 ]
 [71.92407 ]
 [72.297424]
 [72.71083 ]
 [69.79531 ]
 [68.917534]
 [69.72446 ]
 [68.473976]
 [67.876144]
 [68.168434]
 [68.7828  ]
 [69.5432  ]
 [68.360954]
 [69.537346]
 [70.346985]
 [70.776665]
 [69.30854 ]
 [70.163795]
 [69.47029 ]
 [68.73765 ]
 [68.6073  ]
 [68.261765]
 [68.329185]
 [68.572556]
 [67.2901  ]
 [66.72728 ]
 [66.90514 ]
 [66.918434]
 [66.969025]
 [65.03203 ]
 [65.39245 ]
 [65.539986]
 [65.987595]
 [66.91871 ]
 [67.48479 ]
 [68.44715 ]
 [69.13977 ]
 [69.53137 ]
 [68.780815]
 [68.913765]
 [69.37972 ]
 [69.32743 ]
 [69.046326]
 [68.30645 ]
 [67.35606 ]
 [67.24112 ]
 [67.3796  ]
 [68.57459 ]
 [69.547554]
 [68.49674 ]
 [68.571556]
 [68.66258 ]
 [69.22493 ]
 [70.17093 ]
 [70.171196]
 [70.172615]
 [71.639404]
 [72.1812  ]
 [71.43159 ]
 [71.29012 ]
 [71.78532 ]
 [73.212   ]
 [73.80887 ]
 [74.20624 ]
 [73.103325]
 [72.58269 ]
 [72.51157 ]
 [72.89835 ]
 [71.91216 ]
 [69.39157 ]
 [69.609116]
 [70.3614  ]
 [70.76487 ]
 [69.3381  ]
 [68.33388 ]
 [68.347   ]
 [68.40437 ]
 [66.37777 ]
 [66.026054]
 [66.71212 ]
 [67.15959 ]
 [66.893105]
 [66.50887 ]
 [65.74618 ]
 [64.37249 ]
 [63.68694 ]
 [62.92255 ]
 [62.522335]
 [62.24973 ]
 [61.07067 ]
 [60.141476]
 [59.680893]
 [56.97734 ]
 [56.115353]
 [56.58206 ]
 [56.264656]
 [56.93444 ]
 [54.113136]
 [54.467346]
 [53.41963 ]
 [51.96678 ]
 [51.874596]
 [51.636707]
 [51.926086]
 [53.03064 ]
 [52.296124]
 [52.331905]
 [51.562664]
 [52.39552 ]
 [51.52744 ]
 [51.472404]
 [51.845676]
 [52.63215 ]
 [51.103916]
 [51.145954]
 [48.11542 ]
 [49.223522]
 [47.781055]
 [47.532055]
 [48.196037]
 [47.5952  ]
 [47.531116]
 [46.664917]
 [48.194942]
 [49.398094]
 [50.288315]
 [51.153976]
 [52.562943]
 [52.71407 ]
 [52.831963]
 [52.388218]
 [52.668766]
 [53.120487]
 [52.58366 ]
 [53.946655]
 [53.181614]
 [53.201996]
 [53.47225 ]
 [53.675705]
 [52.689537]
 [52.94077 ]
 [54.07096 ]
 [54.867496]
 [55.97549 ]
 [55.078594]
 [55.580242]
 [55.064087]
 [53.621372]
 [53.24662 ]
 [53.05952 ]
 [54.182808]
 [54.750862]
 [54.67382 ]
 [55.55039 ]
 [56.572884]
 [57.413445]
 [57.535347]
 [58.106194]
 [56.842598]
 [56.4346  ]
 [56.915833]
 [57.38691 ]
 [56.97593 ]
 [57.00538 ]
 [57.556232]
 [57.26762 ]
 [56.965614]
 [56.260086]
 [57.073906]
 [57.106384]
 [57.798706]
 [58.368732]
 [58.705276]
 [59.172985]
 [59.36299 ]
 [59.848595]
 [59.898514]
 [58.988102]
 [58.667038]
 [59.35091 ]
 [59.229908]
 [59.420864]
 [60.034424]
 [61.315735]
 [62.21068 ]
 [62.759583]
 [62.601406]
 [62.894054]
 [63.961937]
 [63.94546 ]
 [64.20687 ]
 [63.589497]
 [64.1759  ]
 [63.85106 ]
 [64.16234 ]
 [64.21026 ]
 [64.09513 ]
 [65.113945]
 [65.86589 ]
 [66.100975]
 [65.54822 ]
 [63.955975]
 [63.640934]
 [63.95878 ]
 [63.978306]
 [62.34404 ]
 [62.2204  ]
 [62.4829  ]
 [61.61238 ]
 [61.7517  ]
 [61.07212 ]
 [61.447186]
 [60.55568 ]
 [61.077866]
 [61.473846]
 [62.615505]
 [62.56648 ]
 [62.566242]
 [62.954014]
 [62.012554]
 [58.512577]
 [57.93642 ]
 [58.543877]
 [58.6802  ]
 [56.991108]
 [54.67577 ]
 [54.009743]
 [53.779545]
 [52.40836 ]
 [53.198315]
 [53.999626]
 [53.82643 ]
 [53.95238 ]
 [52.324455]
 [52.271774]
 [52.01804 ]
 [52.285892]
 [53.31784 ]
 [54.011436]
 [55.104393]
 [56.21744 ]
 [57.33839 ]
 [57.40342 ]
 [58.528557]
 [58.98447 ]
 [59.01592 ]
 [59.33435 ]
 [56.71694 ]
 [57.05951 ]
 [56.910446]
 [57.230885]
 [59.05184 ]
 [59.236614]
 [59.41165 ]
 [59.5995  ]
 [58.487354]
 [57.075314]
 [55.801037]
 [55.69641 ]
 [55.6337  ]
 [56.27759 ]
 [56.530956]
 [57.032303]
 [56.999844]
 [57.237804]
 [58.225704]
 [58.3979  ]
 [55.78103 ]
 [55.743755]
 [54.9902  ]
 [53.523773]
 [52.215588]
 [53.08463 ]
 [53.103474]
 [54.487892]
 [55.60472 ]
 [55.051052]
 [54.618904]
 [54.958515]
 [55.956688]
 [55.755093]
 [55.8879  ]
 [55.472332]
 [54.725113]
 [54.15747 ]
 [54.64592 ]]"
