,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,glorot_uniform,15,2000,64,0.2,1.2882437238743425,1.3116119211638944,1.1958709596402208,"[[55.71309 ]
 [56.692738]
 [55.367504]
 [53.749924]
 [55.42997 ]
 [56.116806]
 [56.561306]
 [57.675774]
 [57.25096 ]
 [56.042133]
 [55.36013 ]
 [55.031048]
 [62.027355]
 [59.919838]
 [58.700607]
 [58.498405]
 [58.08475 ]
 [58.935055]
 [57.883854]
 [56.797222]
 [56.281277]
 [55.974133]
 [54.591064]
 [54.06617 ]
 [52.845917]
 [52.325314]
 [52.594593]
 [52.7902  ]
 [52.766182]
 [52.97426 ]
 [53.851635]
 [55.041286]
 [54.4209  ]
 [53.29509 ]
 [53.312626]
 [53.897396]
 [53.827065]
 [53.650597]
 [54.09573 ]
 [55.173836]
 [55.79743 ]
 [56.33396 ]
 [55.702145]
 [55.362648]
 [55.030952]
 [54.45642 ]
 [55.863594]
 [56.521908]
 [57.06162 ]
 [56.33182 ]
 [56.611557]
 [56.720573]
 [56.516834]
 [56.635056]
 [56.77654 ]
 [56.441143]
 [57.37881 ]
 [57.00102 ]
 [55.21755 ]
 [56.3386  ]
 [57.677864]
 [57.446728]
 [57.64174 ]
 [58.231518]
 [58.19013 ]
 [56.245102]
 [56.13928 ]
 [57.81568 ]
 [58.131382]
 [58.926212]
 [58.924976]
 [58.974277]
 [58.509003]
 [58.85825 ]
 [59.740032]
 [59.99519 ]
 [60.75653 ]
 [60.709324]
 [60.923187]
 [60.35003 ]
 [60.37334 ]
 [60.863983]
 [61.343414]
 [61.596035]
 [61.494446]
 [60.899944]
 [61.03396 ]
 [62.757557]
 [63.118103]
 [62.672302]
 [60.075417]
 [59.513554]
 [58.955006]
 [58.117043]
 [58.274483]
 [57.94863 ]
 [58.3951  ]
 [58.539707]
 [58.135212]
 [56.84595 ]
 [55.59515 ]
 [54.195793]
 [52.933678]
 [52.506638]
 [52.649666]
 [52.247566]
 [51.524406]
 [50.30863 ]
 [49.655514]
 [50.80965 ]
 [51.14153 ]]","[[55.977406]
 [56.839886]
 [55.488827]
 [53.77039 ]
 [55.312057]
 [56.39463 ]
 [56.75853 ]
 [57.801323]
 [57.368587]
 [56.044937]
 [55.270473]
 [55.12516 ]
 [62.41855 ]
 [59.97023 ]
 [58.621754]
 [58.377777]
 [58.232845]
 [59.16042 ]
 [58.012096]
 [56.802982]
 [56.296986]
 [56.114037]
 [54.734047]
 [54.219868]
 [52.917137]
 [52.44354 ]
 [52.679394]
 [52.89674 ]
 [52.96283 ]
 [53.170677]
 [54.02639 ]
 [55.262894]
 [54.683365]
 [53.44246 ]
 [53.42817 ]
 [53.99031 ]
 [53.885517]
 [53.780365]
 [54.18411 ]
 [55.2988  ]
 [55.775303]
 [56.38919 ]
 [55.755817]
 [55.38456 ]
 [55.050655]
 [54.47528 ]
 [55.93756 ]
 [56.54828 ]
 [57.31282 ]
 [56.378418]
 [56.702362]
 [56.70833 ]
 [56.471268]
 [56.65109 ]
 [56.788254]
 [56.548367]
 [57.307537]
 [57.060352]
 [55.26996 ]
 [56.36551 ]
 [57.735012]
 [57.40125 ]
 [57.739487]
 [58.28085 ]
 [58.260883]
 [56.181286]
 [56.139507]
 [57.842957]
 [58.14706 ]
 [58.94138 ]
 [58.88704 ]
 [58.913254]
 [58.450394]
 [58.73172 ]
 [59.73057 ]
 [59.89425 ]
 [60.830124]
 [60.651875]
 [60.87902 ]
 [60.317055]
 [60.3604  ]
 [60.82854 ]
 [61.049133]
 [61.80268 ]
 [61.520912]
 [60.97229 ]
 [60.92886 ]
 [62.945568]
 [63.096756]
 [62.64871 ]
 [59.96522 ]
 [59.482677]
 [58.976074]
 [58.072166]
 [58.358833]
 [57.95711 ]
 [58.394318]
 [58.507793]
 [58.26711 ]
 [56.79993 ]
 [55.512943]
 [54.098656]
 [52.939457]
 [52.585587]
 [52.890785]
 [52.487633]
 [51.72827 ]
 [50.352955]
 [49.74615 ]
 [50.959553]
 [51.352192]]","[[59.00491 ]
 [58.080173]
 [57.799614]
 [57.323116]
 [57.51792 ]
 [58.325073]
 [57.4686  ]
 [57.54459 ]
 [56.047455]
 [56.538456]
 [57.270157]
 [57.82269 ]
 [57.42179 ]
 [56.899254]
 [57.019817]
 [57.030907]
 [57.104153]
 [57.570503]
 [58.109535]
 [58.345066]
 [58.369503]
 [59.462265]
 [59.33905 ]
 [59.687496]
 [60.204292]
 [60.045086]
 [61.378113]
 [61.8511  ]
 [61.425636]
 [61.67131 ]
 [62.606937]
 [63.233257]
 [63.519093]
 [63.93564 ]
 [63.596676]
 [63.75368 ]
 [63.696182]
 [63.02303 ]
 [63.338654]
 [64.06655 ]
 [65.23651 ]
 [65.25165 ]
 [65.93902 ]
 [65.53468 ]
 [64.541336]
 [64.26082 ]
 [65.19561 ]
 [65.11024 ]
 [64.15149 ]
 [63.04816 ]
 [61.40704 ]
 [61.11577 ]
 [59.343628]
 [59.256577]
 [59.23291 ]
 [60.359764]
 [61.147373]
 [61.78511 ]
 [61.965477]
 [61.762093]
 [62.590244]
 [63.254387]
 [63.539177]
 [62.83041 ]
 [61.445824]
 [60.76397 ]
 [60.773064]
 [62.029114]
 [62.47857 ]
 [61.326637]
 [60.232166]
 [61.755722]
 [61.26612 ]
 [60.787117]
 [60.797134]
 [60.98682 ]
 [62.104183]
 [61.931034]
 [62.94115 ]
 [64.58991 ]
 [64.02695 ]
 [65.35143 ]
 [64.967606]
 [64.83245 ]
 [64.22894 ]
 [64.44175 ]
 [63.033993]
 [63.00138 ]
 [62.93814 ]
 [63.09849 ]
 [62.084705]
 [63.09326 ]
 [65.04465 ]
 [66.54778 ]
 [66.84866 ]
 [66.846016]
 [66.1517  ]
 [66.144745]
 [67.62634 ]
 [67.650314]
 [67.93705 ]
 [67.170074]
 [67.1746  ]
 [67.726364]
 [67.49409 ]
 [67.543846]
 [68.08125 ]
 [66.921005]
 [67.426216]
 [67.91088 ]
 [69.111595]
 [70.14644 ]
 [68.68086 ]
 [70.54634 ]
 [70.63402 ]
 [70.02039 ]
 [70.51747 ]
 [70.696434]
 [70.90019 ]
 [70.87212 ]
 [70.726616]
 [71.621704]
 [71.58081 ]
 [71.59971 ]
 [70.27282 ]
 [67.4803  ]
 [66.56112 ]
 [67.4937  ]
 [66.349075]
 [65.610306]
 [64.61705 ]
 [65.17768 ]
 [64.424484]
 [65.76199 ]
 [65.52365 ]
 [65.58379 ]
 [66.07676 ]
 [66.34837 ]
 [66.70942 ]
 [65.066986]
 [65.59326 ]
 [64.842735]
 [65.51176 ]
 [65.52341 ]
 [68.464745]
 [69.4509  ]
 [74.28314 ]
 [76.38111 ]
 [72.98736 ]
 [73.524345]
 [73.33015 ]
 [72.88289 ]
 [72.7449  ]
 [73.01699 ]
 [72.89826 ]
 [73.22458 ]
 [70.5958  ]
 [70.07953 ]
 [70.04733 ]
 [67.814575]
 [67.96606 ]
 [68.174934]
 [68.73751 ]
 [69.76513 ]
 [67.73442 ]
 [70.100784]
 [70.47693 ]
 [70.75003 ]
 [68.53315 ]
 [70.723816]
 [69.12098 ]
 [68.51704 ]
 [68.53373 ]
 [67.860405]
 [68.64403 ]
 [68.567184]
 [66.756935]
 [66.60105 ]
 [67.292145]
 [66.833916]
 [66.75242 ]
 [65.133064]
 [64.877495]
 [65.45493 ]
 [66.01389 ]
 [66.73318 ]
 [67.41579 ]
 [68.79718 ]
 [69.17228 ]
 [69.56827 ]
 [68.39691 ]
 [69.25364 ]
 [69.44791 ]
 [69.4181  ]
 [69.61045 ]
 [67.99605 ]
 [67.38924 ]
 [67.15744 ]
 [66.90509 ]
 [68.824326]
 [69.83804 ]
 [68.49023 ]
 [68.3949  ]
 [68.4573  ]
 [69.09128 ]
 [70.5179  ]
 [70.109375]
 [70.1734  ]
 [72.62359 ]
 [72.6367  ]
 [71.32308 ]
 [71.93268 ]
 [72.44461 ]
 [74.486664]
 [74.471146]
 [75.65005 ]
 [73.6468  ]
 [73.95543 ]
 [73.50329 ]
 [74.06338 ]
 [72.70703 ]
 [71.1858  ]
 [70.54226 ]
 [71.05362 ]
 [71.18873 ]
 [69.201775]
 [68.63601 ]
 [68.81095 ]
 [68.734726]
 [66.66971 ]
 [66.23874 ]
 [66.54505 ]
 [66.92706 ]
 [66.63479 ]
 [65.65481 ]
 [64.85355 ]
 [63.52375 ]
 [62.937843]
 [62.810562]
 [61.82482 ]
 [61.639038]
 [60.671894]
 [59.67432 ]
 [58.94138 ]
 [55.73881 ]
 [55.830822]
 [56.08638 ]
 [56.09267 ]
 [56.60663 ]
 [53.77278 ]
 [53.781017]
 [52.01052 ]
 [51.26663 ]
 [50.333805]
 [50.95059 ]
 [50.869045]
 [52.90302 ]
 [53.015976]
 [52.475483]
 [51.195198]
 [51.82915 ]
 [51.2322  ]
 [51.468372]
 [51.568302]
 [52.642895]
 [51.50574 ]
 [50.318787]
 [47.58585 ]
 [47.590855]
 [46.23836 ]
 [45.629524]
 [46.44032 ]
 [45.612522]
 [45.502888]
 [46.088478]
 [46.56636 ]
 [47.680317]
 [49.017517]
 [49.99984 ]
 [52.155605]
 [52.198418]
 [51.424984]
 [50.33782 ]
 [50.90727 ]
 [51.80925 ]
 [52.115555]
 [53.491398]
 [52.705654]
 [52.46837 ]
 [52.913074]
 [53.670498]
 [52.328194]
 [52.936302]
 [54.26635 ]
 [54.53712 ]
 [55.629776]
 [54.644382]
 [54.10498 ]
 [53.941864]
 [52.77174 ]
 [52.425926]
 [52.385952]
 [53.40744 ]
 [54.09451 ]
 [54.347103]
 [55.409172]
 [56.146835]
 [56.899414]
 [56.999847]
 [57.015827]
 [55.61609 ]
 [55.558483]
 [56.58384 ]
 [57.039127]
 [55.98569 ]
 [56.447105]
 [56.661213]
 [56.328148]
 [56.612736]
 [55.877956]
 [56.571445]
 [56.819366]
 [58.093536]
 [58.53    ]
 [58.412148]
 [59.12726 ]
 [59.194653]
 [59.914318]
 [59.82111 ]
 [58.897575]
 [58.595646]
 [59.577618]
 [59.25852 ]
 [59.10637 ]
 [59.895386]
 [61.36128 ]
 [62.434776]
 [62.542442]
 [62.108215]
 [62.763668]
 [63.983208]
 [63.94154 ]
 [64.49738 ]
 [63.68565 ]
 [63.565228]
 [63.547672]
 [63.655525]
 [63.53788 ]
 [63.755066]
 [65.05269 ]
 [65.68987 ]
 [65.638794]
 [65.11579 ]
 [63.34398 ]
 [63.0424  ]
 [63.446285]
 [63.334816]
 [62.029877]
 [61.748608]
 [61.82947 ]
 [61.161407]
 [61.49945 ]
 [61.02149 ]
 [61.241226]
 [60.91782 ]
 [61.52212 ]
 [61.818333]
 [62.57618 ]
 [62.580963]
 [62.712337]
 [62.57688 ]
 [61.230564]
 [58.137012]
 [58.007942]
 [58.36473 ]
 [58.494587]
 [56.763348]
 [54.014194]
 [53.079266]
 [52.962276]
 [51.83459 ]
 [52.563362]
 [53.75741 ]
 [53.31868 ]
 [53.24546 ]
 [51.769093]
 [52.40031 ]
 [52.85176 ]
 [52.62913 ]
 [53.948566]
 [53.98844 ]
 [56.335026]
 [57.097157]
 [57.601635]
 [57.543537]
 [58.787876]
 [59.061222]
 [58.30961 ]
 [58.77323 ]
 [56.364807]
 [56.706116]
 [57.010742]
 [57.158974]
 [59.709286]
 [59.760677]
 [59.943428]
 [59.264465]
 [57.622467]
 [56.74489 ]
 [55.269775]
 [55.207607]
 [55.838394]
 [56.738182]
 [56.28686 ]
 [55.993683]
 [55.79878 ]
 [56.44057 ]
 [57.643356]
 [58.205425]
 [54.570015]
 [55.28229 ]
 [54.53385 ]
 [53.51827 ]
 [51.618   ]
 [52.375584]
 [53.57628 ]
 [54.770073]
 [56.805435]
 [55.63818 ]
 [54.525818]
 [54.742504]
 [56.198345]
 [56.286247]
 [55.681156]
 [55.266617]
 [54.198204]
 [53.53845 ]
 [54.53407 ]]"
1,RMSprop,normal,12,2000,64,0.0,1.276968811961742,1.261215783406543,1.1727327906445468,"[[55.442707]
 [56.59146 ]
 [55.18123 ]
 [53.624714]
 [55.686523]
 [56.115044]
 [56.354557]
 [57.671806]
 [57.35144 ]
 [55.826405]
 [55.24638 ]
 [55.036793]
 [61.97917 ]
 [59.9456  ]
 [58.484505]
 [58.257458]
 [58.088043]
 [58.83522 ]
 [57.660168]
 [56.510216]
 [56.271954]
 [55.86167 ]
 [54.40614 ]
 [53.76765 ]
 [52.68314 ]
 [52.145546]
 [52.45834 ]
 [52.75662 ]
 [52.39472 ]
 [52.66754 ]
 [53.63794 ]
 [54.88539 ]
 [54.290863]
 [53.079765]
 [53.31351 ]
 [53.80221 ]
 [53.97436 ]
 [53.538017]
 [54.01421 ]
 [55.22104 ]
 [56.002792]
 [56.428303]
 [55.55652 ]
 [55.263058]
 [54.938557]
 [54.201843]
 [55.80504 ]
 [56.65205 ]
 [57.017418]
 [56.24608 ]
 [56.671196]
 [56.765003]
 [56.616623]
 [56.58901 ]
 [56.7592  ]
 [56.374947]
 [57.436733]
 [56.94834 ]
 [55.03315 ]
 [56.251324]
 [57.871044]
 [57.672997]
 [57.687695]
 [58.14644 ]
 [58.10108 ]
 [56.241108]
 [56.013355]
 [57.949154]
 [58.310257]
 [59.059082]
 [58.925232]
 [59.07845 ]
 [58.58934 ]
 [58.90829 ]
 [59.830204]
 [60.075424]
 [60.82723 ]
 [60.876312]
 [61.13908 ]
 [60.367947]
 [60.35522 ]
 [61.00143 ]
 [61.496384]
 [61.6976  ]
 [61.56503 ]
 [61.05452 ]
 [61.125137]
 [63.074528]
 [63.41281 ]
 [62.857582]
 [59.825714]
 [59.323887]
 [58.886208]
 [58.07264 ]
 [58.249542]
 [57.84966 ]
 [58.44452 ]
 [58.569237]
 [58.141617]
 [56.71309 ]
 [55.487335]
 [54.061253]
 [52.77001 ]
 [52.69273 ]
 [52.91988 ]
 [52.00457 ]
 [51.399853]
 [50.180973]
 [49.841545]
 [50.69862 ]
 [51.01936 ]]","[[55.51658 ]
 [56.553127]
 [55.066914]
 [53.58189 ]
 [55.658634]
 [56.173084]
 [56.432564]
 [57.744007]
 [57.44826 ]
 [55.96256 ]
 [55.300858]
 [55.171955]
 [62.32706 ]
 [59.571026]
 [58.38074 ]
 [58.22142 ]
 [57.985176]
 [58.817905]
 [57.595177]
 [56.441288]
 [56.164585]
 [55.811844]
 [54.347946]
 [53.716507]
 [52.695824]
 [52.24774 ]
 [52.50854 ]
 [52.703598]
 [52.474197]
 [52.761158]
 [53.64783 ]
 [54.95222 ]
 [54.38439 ]
 [53.178978]
 [53.521374]
 [53.8986  ]
 [53.95321 ]
 [53.61323 ]
 [54.14906 ]
 [55.35522 ]
 [55.974976]
 [56.416286]
 [55.63103 ]
 [55.37088 ]
 [55.01216 ]
 [54.23401 ]
 [55.87874 ]
 [56.5879  ]
 [57.11407 ]
 [56.372902]
 [56.8008  ]
 [56.839626]
 [56.590755]
 [56.599064]
 [56.811996]
 [56.475983]
 [57.469288]
 [56.907234]
 [55.103794]
 [56.420834]
 [57.89257 ]
 [57.497192]
 [57.76865 ]
 [58.330498]
 [58.177223]
 [56.22054 ]
 [56.139095]
 [58.103546]
 [58.28622 ]
 [59.09965 ]
 [58.965275]
 [59.08558 ]
 [58.62431 ]
 [59.005077]
 [59.97484 ]
 [60.186325]
 [60.97242 ]
 [60.912975]
 [61.18015 ]
 [60.508545]
 [60.550735]
 [61.113056]
 [61.444836]
 [61.87259 ]
 [61.74351 ]
 [61.200874]
 [61.193386]
 [63.28533 ]
 [63.39994 ]
 [62.76387 ]
 [59.806553]
 [59.48459 ]
 [59.004482]
 [58.059326]
 [58.381424]
 [57.94545 ]
 [58.518772]
 [58.609215]
 [58.30841 ]
 [56.821613]
 [55.498253]
 [54.021976]
 [52.732044]
 [52.662926]
 [52.954144]
 [52.02775 ]
 [51.451725]
 [50.130978]
 [49.863487]
 [50.80468 ]
 [51.184864]]","[[58.969997]
 [58.123837]
 [57.860535]
 [57.26084 ]
 [57.455246]
 [58.324825]
 [57.522114]
 [57.581596]
 [55.896076]
 [56.471104]
 [57.271557]
 [57.821507]
 [57.341805]
 [56.866417]
 [57.06028 ]
 [57.191196]
 [57.23877 ]
 [57.536625]
 [58.10634 ]
 [58.39688 ]
 [58.39991 ]
 [59.50507 ]
 [59.608128]
 [59.72338 ]
 [60.2706  ]
 [60.21055 ]
 [61.514866]
 [61.99272 ]
 [61.432716]
 [61.705757]
 [62.82571 ]
 [63.65864 ]
 [63.76415 ]
 [64.0993  ]
 [63.74564 ]
 [63.83826 ]
 [63.932484]
 [63.181828]
 [63.481617]
 [64.29279 ]
 [65.48881 ]
 [65.437454]
 [66.078415]
 [65.821   ]
 [64.77009 ]
 [64.39473 ]
 [65.40394 ]
 [65.4167  ]
 [64.34565 ]
 [63.14672 ]
 [61.416374]
 [61.14057 ]
 [59.126316]
 [59.17964 ]
 [59.256786]
 [60.451084]
 [61.350735]
 [61.91889 ]
 [62.07432 ]
 [61.866367]
 [62.771282]
 [63.475983]
 [63.66845 ]
 [62.898605]
 [61.460644]
 [60.828087]
 [60.97592 ]
 [62.305172]
 [62.6353  ]
 [61.244877]
 [60.071632]
 [61.76604 ]
 [61.48455 ]
 [60.76139 ]
 [60.89245 ]
 [61.192944]
 [62.281757]
 [62.101063]
 [63.199787]
 [64.96437 ]
 [64.25743 ]
 [65.57923 ]
 [65.18969 ]
 [64.920334]
 [64.33391 ]
 [64.61395 ]
 [63.1577  ]
 [63.085503]
 [63.203835]
 [63.292126]
 [62.07979 ]
 [63.250053]
 [65.42894 ]
 [67.00021 ]
 [67.05532 ]
 [66.84857 ]
 [66.38111 ]
 [66.371506]
 [67.98033 ]
 [68.036896]
 [68.15055 ]
 [67.27747 ]
 [67.296165]
 [68.11293 ]
 [67.68501 ]
 [67.70736 ]
 [68.40296 ]
 [67.18278 ]
 [67.65148 ]
 [68.2948  ]
 [69.45343 ]
 [70.43542 ]
 [68.83186 ]
 [70.633446]
 [70.89456 ]
 [70.11427 ]
 [70.62625 ]
 [70.962906]
 [71.114044]
 [70.992714]
 [70.91116 ]
 [71.805626]
 [71.81378 ]
 [71.76218 ]
 [70.17458 ]
 [67.32147 ]
 [66.560814]
 [67.7549  ]
 [66.60909 ]
 [65.65348 ]
 [64.6398  ]
 [65.4185  ]
 [64.64059 ]
 [66.031815]
 [65.85179 ]
 [65.74284 ]
 [66.30893 ]
 [66.62801 ]
 [67.000946]
 [65.1464  ]
 [65.76779 ]
 [64.96662 ]
 [65.717636]
 [65.757065]
 [68.84442 ]
 [69.92474 ]
 [74.375   ]
 [76.09643 ]
 [72.73723 ]
 [73.40451 ]
 [73.49591 ]
 [72.76675 ]
 [72.66971 ]
 [72.953964]
 [72.86117 ]
 [73.292915]
 [70.583984]
 [70.029335]
 [70.27098 ]
 [67.97191 ]
 [68.072685]
 [68.34412 ]
 [69.03642 ]
 [70.027565]
 [67.85567 ]
 [70.20421 ]
 [70.8644  ]
 [70.79339 ]
 [68.67284 ]
 [71.00141 ]
 [69.45666 ]
 [68.636856]
 [68.624596]
 [68.04414 ]
 [69.05157 ]
 [68.819046]
 [66.8643  ]
 [66.65802 ]
 [67.64328 ]
 [67.00361 ]
 [66.896484]
 [65.141914]
 [64.90657 ]
 [65.794136]
 [66.39012 ]
 [66.96168 ]
 [67.70333 ]
 [69.17342 ]
 [69.3444  ]
 [69.7831  ]
 [68.56425 ]
 [69.41562 ]
 [69.610916]
 [69.68156 ]
 [69.91858 ]
 [68.04286 ]
 [67.47606 ]
 [67.27909 ]
 [67.11156 ]
 [69.22884 ]
 [70.185684]
 [68.53054 ]
 [68.361496]
 [68.730255]
 [69.307045]
 [70.841896]
 [70.28457 ]
 [70.236115]
 [72.923416]
 [72.865074]
 [71.30558 ]
 [71.99795 ]
 [72.66859 ]
 [74.65981 ]
 [74.53815 ]
 [75.49301 ]
 [73.586914]
 [74.027466]
 [73.61141 ]
 [73.93224 ]
 [72.605545]
 [70.94995 ]
 [70.4971  ]
 [71.27946 ]
 [71.29594 ]
 [69.204704]
 [68.72625 ]
 [69.12155 ]
 [69.02123 ]
 [66.54479 ]
 [66.19461 ]
 [66.76757 ]
 [67.298965]
 [66.82002 ]
 [65.70276 ]
 [64.88996 ]
 [63.585205]
 [62.99502 ]
 [63.057194]
 [61.941048]
 [61.635345]
 [60.654636]
 [59.818855]
 [59.24018 ]
 [55.545925]
 [55.593216]
 [56.035633]
 [56.181107]
 [56.596924]
 [53.471115]
 [53.92876 ]
 [51.808716]
 [51.0326  ]
 [50.309017]
 [51.07656 ]
 [50.8653  ]
 [52.849636]
 [52.644764]
 [52.45622 ]
 [51.074318]
 [51.998505]
 [51.17404 ]
 [51.29215 ]
 [51.27743 ]
 [52.356525]
 [51.385777]
 [50.30362 ]
 [47.409622]
 [47.792465]
 [46.515842]
 [45.928795]
 [46.70157 ]
 [45.684975]
 [45.841465]
 [45.96475 ]
 [46.596886]
 [47.96443 ]
 [48.82783 ]
 [49.7952  ]
 [52.102795]
 [52.288246]
 [51.620445]
 [50.486286]
 [51.339916]
 [51.919037]
 [51.861904]
 [53.57274 ]
 [52.576294]
 [52.400208]
 [52.87032 ]
 [53.535675]
 [52.031544]
 [52.77177 ]
 [54.109623]
 [54.438393]
 [55.593662]
 [54.627   ]
 [54.04857 ]
 [53.942852]
 [52.67409 ]
 [52.428246]
 [52.50245 ]
 [53.260548]
 [53.894287]
 [54.147507]
 [55.48733 ]
 [56.233437]
 [57.01377 ]
 [56.95147 ]
 [57.017376]
 [55.531403]
 [55.411896]
 [56.657948]
 [57.248703]
 [55.941437]
 [56.380356]
 [56.668343]
 [56.352283]
 [56.46548 ]
 [55.745163]
 [56.74254 ]
 [56.833355]
 [58.07151 ]
 [58.598923]
 [58.545567]
 [59.10646 ]
 [59.193886]
 [60.017666]
 [59.98897 ]
 [58.91558 ]
 [58.574974]
 [59.646896]
 [59.315132]
 [59.11332 ]
 [60.04007 ]
 [61.536564]
 [62.619484]
 [62.648003]
 [62.2091  ]
 [63.061085]
 [64.28708 ]
 [64.21095 ]
 [64.67514 ]
 [63.743267]
 [63.61719 ]
 [63.75974 ]
 [63.772247]
 [63.689743]
 [63.962734]
 [65.360954]
 [66.12012 ]
 [65.806564]
 [65.21888 ]
 [63.345623]
 [63.073586]
 [63.670383]
 [63.51023 ]
 [61.9549  ]
 [61.779827]
 [62.067516]
 [61.323586]
 [61.67886 ]
 [61.26892 ]
 [61.38146 ]
 [60.88204 ]
 [61.634243]
 [62.01211 ]
 [62.82745 ]
 [62.779842]
 [62.88452 ]
 [62.747025]
 [61.26509 ]
 [57.69397 ]
 [57.846573]
 [58.436493]
 [58.56556 ]
 [56.543854]
 [53.632046]
 [52.82014 ]
 [52.825504]
 [51.83796 ]
 [52.498135]
 [53.48017 ]
 [53.269295]
 [53.217953]
 [51.522903]
 [52.210094]
 [52.483635]
 [52.36081 ]
 [53.5697  ]
 [53.96376 ]
 [56.2115  ]
 [57.094025]
 [57.627487]
 [57.42912 ]
 [58.889114]
 [59.17797 ]
 [58.224773]
 [58.755302]
 [56.139503]
 [56.587776]
 [56.985455]
 [57.220253]
 [59.931793]
 [59.93725 ]
 [59.868454]
 [59.250267]
 [57.528324]
 [56.45647 ]
 [54.971775]
 [55.11737 ]
 [55.753437]
 [56.644897]
 [56.109802]
 [55.833443]
 [55.831245]
 [56.612236]
 [57.732098]
 [58.25618 ]
 [54.17686 ]
 [55.06093 ]
 [54.414936]
 [53.36215 ]
 [51.473537]
 [52.132816]
 [53.470207]
 [54.646793]
 [56.62225 ]
 [55.251087]
 [54.32038 ]
 [54.779865]
 [56.11594 ]
 [55.98806 ]
 [55.606304]
 [55.12176 ]
 [54.015945]
 [53.414795]
 [54.541428]]"
