,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,glorot_uniform,9,2000,64,0.2,1.2658261918162474,1.2496851222733578,1.2080216828102213,"[[55.82256 ]
 [56.641148]
 [55.54833 ]
 [54.11428 ]
 [56.322132]
 [56.235554]
 [56.25446 ]
 [57.83941 ]
 [57.425766]
 [55.92311 ]
 [55.305378]
 [55.090565]
 [61.593334]
 [60.175163]
 [58.69163 ]
 [58.64608 ]
 [58.1723  ]
 [58.18472 ]
 [56.876423]
 [55.981133]
 [56.052742]
 [55.733097]
 [54.09773 ]
 [53.22654 ]
 [52.52883 ]
 [52.19568 ]
 [52.670643]
 [52.90963 ]
 [52.783302]
 [52.702164]
 [53.59201 ]
 [54.805084]
 [54.047375]
 [52.768654]
 [52.937607]
 [53.254173]
 [53.640182]
 [53.73864 ]
 [54.420795]
 [55.894077]
 [56.216236]
 [56.472683]
 [55.90583 ]
 [55.518517]
 [54.99633 ]
 [54.146973]
 [55.827206]
 [56.843193]
 [57.269207]
 [56.46069 ]
 [56.837772]
 [56.871582]
 [56.88924 ]
 [57.01876 ]
 [57.307785]
 [56.778748]
 [57.468647]
 [56.930885]
 [55.250717]
 [56.633373]
 [58.38872 ]
 [57.911945]
 [57.96171 ]
 [58.36752 ]
 [58.196777]
 [56.218914]
 [55.860725]
 [57.810055]
 [58.534645]
 [59.453472]
 [59.424976]
 [59.219917]
 [58.72815 ]
 [59.05557 ]
 [59.94477 ]
 [59.937515]
 [60.662548]
 [60.72762 ]
 [61.17934 ]
 [60.602543]
 [60.76291 ]
 [61.22434 ]
 [61.55987 ]
 [61.713543]
 [61.609726]
 [61.06514 ]
 [61.176525]
 [62.548515]
 [63.1238  ]
 [62.752277]
 [60.3643  ]
 [59.661274]
 [58.951595]
 [57.94933 ]
 [58.01346 ]
 [57.732227]
 [58.416744]
 [58.49109 ]
 [58.025593]
 [56.8102  ]
 [55.801704]
 [54.61085 ]
 [53.3874  ]
 [53.235268]
 [53.317173]
 [52.755295]
 [52.061687]
 [50.686817]
 [49.574978]
 [50.224674]
 [51.051178]]","[[55.784622]
 [56.653275]
 [55.553677]
 [54.07485 ]
 [56.230762]
 [56.55356 ]
 [56.537216]
 [57.909447]
 [57.527706]
 [55.910404]
 [55.16085 ]
 [54.88091 ]
 [61.52773 ]
 [59.747593]
 [58.42533 ]
 [58.113773]
 [57.813904]
 [58.28692 ]
 [57.140972]
 [56.26697 ]
 [56.2259  ]
 [55.747856]
 [54.238953]
 [53.370853]
 [52.554398]
 [52.13589 ]
 [52.616905]
 [52.78207 ]
 [52.512115]
 [52.584023]
 [53.699944]
 [54.922836]
 [54.298634]
 [53.127434]
 [53.354244]
 [53.62072 ]
 [53.88737 ]
 [53.852657]
 [54.29038 ]
 [55.748898]
 [56.331577]
 [56.631126]
 [55.910698]
 [55.51144 ]
 [54.93877 ]
 [54.139275]
 [55.772305]
 [56.63624 ]
 [57.236023]
 [56.404366]
 [56.787476]
 [56.74067 ]
 [56.68678 ]
 [56.815193]
 [56.984653]
 [56.6436  ]
 [57.40969 ]
 [56.91198 ]
 [55.128517]
 [56.39677 ]
 [58.123344]
 [57.83328 ]
 [57.915028]
 [58.242603]
 [58.164173]
 [56.406704]
 [55.845043]
 [57.655724]
 [58.336617]
 [59.24573 ]
 [59.16293 ]
 [59.116974]
 [58.76235 ]
 [59.265354]
 [60.094086]
 [60.195713]
 [60.770412]
 [60.727104]
 [60.963047]
 [60.446693]
 [60.45288 ]
 [60.97611 ]
 [61.455696]
 [61.74888 ]
 [61.505302]
 [60.911587]
 [60.981182]
 [62.31725 ]
 [62.685093]
 [62.467587]
 [59.91294 ]
 [59.22448 ]
 [58.744423]
 [58.05719 ]
 [58.224026]
 [57.88144 ]
 [58.46289 ]
 [58.552902]
 [58.03231 ]
 [56.572956]
 [55.4713  ]
 [54.167572]
 [52.712368]
 [52.869827]
 [53.00123 ]
 [52.38694 ]
 [51.712585]
 [50.10851 ]
 [49.43666 ]
 [50.477074]
 [51.15961 ]]","[[58.107853]
 [57.545113]
 [57.691742]
 [56.305256]
 [56.741734]
 [57.475105]
 [57.89625 ]
 [57.198208]
 [56.680653]
 [57.119125]
 [57.365387]
 [57.601257]
 [57.840622]
 [58.389717]
 [58.555363]
 [58.50093 ]
 [59.44732 ]
 [59.810852]
 [59.934097]
 [60.61711 ]
 [60.353027]
 [61.512444]
 [61.95317 ]
 [61.48791 ]
 [61.757748]
 [62.758743]
 [63.334618]
 [63.587833]
 [64.25602 ]
 [63.761982]
 [63.7344  ]
 [63.839947]
 [63.0551  ]
 [63.396065]
 [64.165504]
 [65.33712 ]
 [65.24992 ]
 [65.93409 ]
 [65.62722 ]
 [64.690956]
 [64.54584 ]
 [65.412636]
 [65.12595 ]
 [64.00225 ]
 [63.370388]
 [61.81522 ]
 [61.153854]
 [59.142708]
 [59.146072]
 [59.19627 ]
 [60.46717 ]
 [61.39256 ]
 [61.924248]
 [62.03198 ]
 [61.74711 ]
 [62.545986]
 [63.247223]
 [63.472275]
 [62.969387]
 [61.476543]
 [60.886066]
 [61.03902 ]
 [62.208614]
 [62.36445 ]
 [61.206993]
 [60.30281 ]
 [61.95185 ]
 [61.109783]
 [60.432068]
 [60.774395]
 [61.062084]
 [62.203857]
 [62.073505]
 [63.237957]
 [64.851105]
 [64.027275]
 [65.55878 ]
 [65.09846 ]
 [64.90144 ]
 [64.27827 ]
 [64.4524  ]
 [62.808094]
 [63.024994]
 [63.078644]
 [63.157684]
 [61.96672 ]
 [63.175217]
 [65.09425 ]
 [66.27174 ]
 [66.70635 ]
 [66.90068 ]
 [66.431755]
 [66.21107 ]
 [67.72971 ]
 [67.5357  ]
 [67.89686 ]
 [67.07987 ]
 [67.18541 ]
 [67.748695]
 [66.90099 ]
 [67.8261  ]
 [68.02068 ]
 [66.647255]
 [67.64217 ]
 [67.98272 ]
 [68.78748 ]
 [69.84584 ]
 [68.53807 ]
 [70.61442 ]
 [70.61376 ]
 [69.784966]
 [70.60352 ]
 [70.43818 ]
 [70.53096 ]
 [70.49792 ]
 [70.40612 ]
 [71.54844 ]
 [71.18096 ]
 [71.338875]
 [69.9116  ]
 [67.457436]
 [66.29226 ]
 [67.31733 ]
 [66.04665 ]
 [65.09181 ]
 [64.62998 ]
 [65.01795 ]
 [64.115074]
 [65.46539 ]
 [65.369385]
 [65.57891 ]
 [66.2104  ]
 [66.32615 ]
 [66.538795]
 [64.78497 ]
 [65.605804]
 [64.81539 ]
 [65.32579 ]
 [65.307755]
 [68.402664]
 [69.2163  ]
 [74.289986]
 [76.08462 ]
 [72.49373 ]
 [74.3275  ]
 [73.65424 ]
 [72.37288 ]
 [72.60602 ]
 [72.2857  ]
 [72.44484 ]
 [72.731445]
 [70.69211 ]
 [69.60578 ]
 [70.03307 ]
 [66.86279 ]
 [67.42877 ]
 [67.9804  ]
 [68.42344 ]
 [69.27869 ]
 [67.43035 ]
 [70.27546 ]
 [70.21685 ]
 [70.441246]
 [68.25035 ]
 [71.06437 ]
 [68.79586 ]
 [68.007614]
 [68.55149 ]
 [67.59695 ]
 [68.43817 ]
 [68.13725 ]
 [66.54574 ]
 [66.46948 ]
 [67.18761 ]
 [66.42028 ]
 [66.41901 ]
 [65.00771 ]
 [64.91308 ]
 [65.59818 ]
 [65.84162 ]
 [66.62337 ]
 [67.3999  ]
 [68.692085]
 [68.97712 ]
 [69.16417 ]
 [68.412125]
 [69.335236]
 [69.33283 ]
 [69.122055]
 [69.27626 ]
 [68.006325]
 [67.49776 ]
 [67.12584 ]
 [66.77263 ]
 [68.55688 ]
 [69.605644]
 [67.87384 ]
 [68.52683 ]
 [68.51885 ]
 [69.08161 ]
 [70.311905]
 [69.738884]
 [70.337654]
 [72.49592 ]
 [72.26531 ]
 [71.11325 ]
 [71.861206]
 [72.28843 ]
 [73.879776]
 [74.151245]
 [75.02204 ]
 [73.534004]
 [73.49278 ]
 [73.57316 ]
 [73.37172 ]
 [72.05757 ]
 [70.673676]
 [70.373604]
 [70.716324]
 [70.47337 ]
 [68.69998 ]
 [68.19982 ]
 [68.74106 ]
 [68.393074]
 [65.94004 ]
 [65.98285 ]
 [66.61142 ]
 [66.814896]
 [66.42414 ]
 [65.69041 ]
 [65.16175 ]
 [63.482716]
 [62.765636]
 [62.613842]
 [61.71032 ]
 [61.415947]
 [60.678127]
 [60.01553 ]
 [59.65113 ]
 [56.27182 ]
 [55.751286]
 [56.40032 ]
 [56.386246]
 [57.128807]
 [54.270824]
 [54.00494 ]
 [52.11682 ]
 [51.183258]
 [50.23795 ]
 [51.085644]
 [51.372307]
 [53.343796]
 [53.564156]
 [53.036663]
 [51.962746]
 [52.440018]
 [51.654694]
 [51.54323 ]
 [51.27007 ]
 [52.429306]
 [51.508392]
 [50.02407 ]
 [47.44239 ]
 [46.730206]
 [46.224274]
 [45.74356 ]
 [46.29544 ]
 [46.10222 ]
 [46.061752]
 [46.773052]
 [47.308456]
 [48.797363]
 [50.244087]
 [51.149536]
 [52.647236]
 [52.220303]
 [51.325405]
 [50.57288 ]
 [51.849865]
 [52.721317]
 [52.33651 ]
 [53.849323]
 [53.13941 ]
 [52.752186]
 [53.130238]
 [53.69816 ]
 [52.45562 ]
 [52.880165]
 [54.320705]
 [54.53774 ]
 [55.816257]
 [54.618675]
 [53.632088]
 [53.665596]
 [52.807095]
 [52.746296]
 [52.890408]
 [54.038307]
 [54.806885]
 [54.748684]
 [55.44487 ]
 [56.174694]
 [57.180645]
 [57.24237 ]
 [57.259724]
 [55.57477 ]
 [55.292713]
 [56.744877]
 [57.471905]
 [56.405552]
 [56.907288]
 [57.04877 ]
 [56.397087]
 [56.485943]
 [55.813515]
 [56.85861 ]
 [57.24796 ]
 [58.37858 ]
 [58.748116]
 [58.66102 ]
 [59.1365  ]
 [59.12297 ]
 [59.834835]
 [59.782   ]
 [58.815056]
 [58.593685]
 [59.662193]
 [59.367676]
 [59.207592]
 [60.043064]
 [61.40696 ]
 [62.152103]
 [62.114742]
 [61.947266]
 [62.80846 ]
 [63.963074]
 [63.774635]
 [64.37234 ]
 [63.586914]
 [63.576233]
 [63.40561 ]
 [63.57922 ]
 [63.3089  ]
 [63.696255]
 [65.21028 ]
 [65.78131 ]
 [65.57819 ]
 [65.28081 ]
 [63.372135]
 [63.14961 ]
 [63.41393 ]
 [63.015587]
 [61.614895]
 [61.771454]
 [62.14594 ]
 [61.2651  ]
 [61.772614]
 [61.416744]
 [61.529808]
 [60.963387]
 [61.511288]
 [61.757824]
 [62.608418]
 [62.500134]
 [62.643616]
 [62.60785 ]
 [61.178272]
 [57.922367]
 [57.597363]
 [58.39245 ]
 [58.513695]
 [56.707066]
 [54.02694 ]
 [53.06476 ]
 [53.203762]
 [51.84106 ]
 [52.42315 ]
 [54.24315 ]
 [53.98961 ]
 [53.611637]
 [51.68958 ]
 [51.773994]
 [52.257614]
 [52.368034]
 [54.095634]
 [54.599854]
 [56.455627]
 [57.117874]
 [57.492577]
 [57.439384]
 [58.79358 ]
 [58.832832]
 [57.890762]
 [58.527336]
 [56.039272]
 [56.34969 ]
 [56.930267]
 [57.482994]
 [60.136456]
 [60.17612 ]
 [59.980362]
 [59.361088]
 [57.55187 ]
 [56.213615]
 [54.784042]
 [54.830532]
 [55.483494]
 [56.57452 ]
 [56.377476]
 [56.390434]
 [56.25302 ]
 [56.548542]
 [57.77674 ]
 [58.277138]
 [54.663918]
 [55.31341 ]
 [55.00563 ]
 [53.856087]
 [51.85405 ]
 [52.532368]
 [54.20931 ]
 [55.511375]
 [56.97784 ]
 [55.730385]
 [54.615444]
 [54.547005]
 [55.864723]
 [55.75684 ]
 [55.42929 ]
 [55.1321  ]
 [54.162193]
 [53.494938]
 [54.562233]]"
1,adam,glorot_uniform,2,2000,64,0.1,1.2515909408619774,1.2468773676520877,1.2283000202072163,"[[56.06286 ]
 [56.701965]
 [55.544106]
 [54.00839 ]
 [56.833637]
 [56.685642]
 [56.728256]
 [58.36329 ]
 [57.595043]
 [55.98018 ]
 [55.332012]
 [55.270443]
 [61.880207]
 [60.231056]
 [58.06114 ]
 [57.782574]
 [57.747738]
 [58.394627]
 [57.285107]
 [56.258873]
 [56.294746]
 [55.80549 ]
 [54.399033]
 [53.528656]
 [52.81121 ]
 [52.42568 ]
 [52.790817]
 [52.882923]
 [52.7107  ]
 [52.609917]
 [53.60905 ]
 [54.86671 ]
 [54.389664]
 [53.08777 ]
 [53.553158]
 [53.867214]
 [54.133167]
 [54.137756]
 [54.352875]
 [56.00913 ]
 [56.623455]
 [56.65431 ]
 [55.975826]
 [55.585125]
 [55.07428 ]
 [54.3563  ]
 [56.09934 ]
 [57.22575 ]
 [57.38167 ]
 [56.51271 ]
 [56.969204]
 [56.918232]
 [57.021122]
 [56.88863 ]
 [57.15093 ]
 [56.74077 ]
 [57.65761 ]
 [57.038948]
 [55.164467]
 [56.64343 ]
 [58.415146]
 [57.959576]
 [57.985943]
 [58.24896 ]
 [58.335983]
 [56.50103 ]
 [55.869453]
 [58.028835]
 [58.718338]
 [59.347015]
 [59.09942 ]
 [59.034008]
 [59.021046]
 [59.48003 ]
 [60.368824]
 [60.462585]
 [61.053936]
 [60.796677]
 [61.333588]
 [60.57278 ]
 [60.55674 ]
 [61.15528 ]
 [61.943542]
 [61.833725]
 [61.565216]
 [61.134716]
 [61.20381 ]
 [62.505375]
 [63.185425]
 [62.62691 ]
 [59.69726 ]
 [59.16446 ]
 [58.893265]
 [58.334244]
 [58.4768  ]
 [58.135857]
 [58.84715 ]
 [58.803246]
 [58.127533]
 [56.750843]
 [55.637413]
 [54.303055]
 [53.143726]
 [53.166245]
 [53.225777]
 [52.527893]
 [51.796402]
 [50.731735]
 [49.82444 ]
 [50.492565]
 [51.155766]]","[[55.965454]
 [56.645027]
 [55.60784 ]
 [54.124424]
 [56.864056]
 [56.67816 ]
 [56.746128]
 [58.328285]
 [57.633698]
 [56.093826]
 [55.4274  ]
 [55.28518 ]
 [61.413486]
 [60.303123]
 [58.4218  ]
 [57.984077]
 [57.771427]
 [58.316044]
 [57.29667 ]
 [56.41487 ]
 [56.392204]
 [55.78609 ]
 [54.483917]
 [53.5834  ]
 [52.831112]
 [52.368027]
 [52.743134]
 [52.812504]
 [52.48895 ]
 [52.524292]
 [53.637123]
 [54.807114]
 [54.344532]
 [53.18293 ]
 [53.598156]
 [53.77786 ]
 [54.087193]
 [54.098145]
 [54.385784]
 [55.944218]
 [56.544178]
 [56.670128]
 [56.02364 ]
 [55.646744]
 [55.12697 ]
 [54.410965]
 [56.08364 ]
 [57.07472 ]
 [57.37984 ]
 [56.568737]
 [57.00704 ]
 [56.8896  ]
 [57.010647]
 [56.92579 ]
 [57.163345]
 [56.778244]
 [57.65677 ]
 [57.068913]
 [55.297157]
 [56.68846 ]
 [58.323765]
 [57.96554 ]
 [58.029118]
 [58.278286]
 [58.343277]
 [56.559475]
 [55.951717]
 [57.876183]
 [58.645077]
 [59.36622 ]
 [59.148956]
 [59.07103 ]
 [59.0269  ]
 [59.466312]
 [60.35072 ]
 [60.42786 ]
 [61.040802]
 [60.826385]
 [61.339455]
 [60.57943 ]
 [60.58172 ]
 [61.164093]
 [61.855137]
 [61.8123  ]
 [61.59804 ]
 [61.160328]
 [61.21154 ]
 [62.308247]
 [63.138477]
 [62.77101 ]
 [59.975967]
 [59.31608 ]
 [58.923992]
 [58.36653 ]
 [58.503387]
 [58.150562]
 [58.83826 ]
 [58.806564]
 [58.180794]
 [56.829853]
 [55.756413]
 [54.424248]
 [53.059002]
 [53.166416]
 [53.1332  ]
 [52.50294 ]
 [51.81193 ]
 [50.444748]
 [49.75912 ]
 [50.517654]
 [51.08656 ]]","[[58.251503]
 [57.803856]
 [57.726757]
 [56.08918 ]
 [56.822636]
 [57.732883]
 [58.26026 ]
 [57.633827]
 [56.842903]
 [57.196953]
 [57.37489 ]
 [57.74952 ]
 [57.677555]
 [58.250523]
 [58.66402 ]
 [58.64922 ]
 [59.37648 ]
 [60.100533]
 [60.01907 ]
 [60.555668]
 [60.417984]
 [61.69332 ]
 [62.077255]
 [61.58302 ]
 [61.6703  ]
 [62.80029 ]
 [63.482418]
 [63.67512 ]
 [64.05033 ]
 [63.666992]
 [63.764   ]
 [63.80191 ]
 [63.247356]
 [63.519367]
 [64.2496  ]
 [65.41944 ]
 [65.321785]
 [65.86199 ]
 [65.408585]
 [64.47577 ]
 [64.51331 ]
 [65.540245]
 [65.278305]
 [64.00597 ]
 [63.261642]
 [61.879253]
 [61.11935 ]
 [59.187763]
 [59.459354]
 [59.316322]
 [60.643597]
 [61.54661 ]
 [61.946564]
 [61.854942]
 [61.657852]
 [62.641415]
 [63.44187 ]
 [63.68184 ]
 [62.851013]
 [61.311543]
 [60.7894  ]
 [61.073612]
 [62.38278 ]
 [62.549644]
 [61.10523 ]
 [60.142414]
 [62.063896]
 [61.408432]
 [60.700993]
 [60.73754 ]
 [61.035812]
 [62.270443]
 [61.984467]
 [63.162224]
 [64.89974 ]
 [64.115166]
 [65.499016]
 [65.11502 ]
 [64.94932 ]
 [64.12792 ]
 [64.58939 ]
 [62.947853]
 [63.174507]
 [63.20871 ]
 [63.390747]
 [62.006428]
 [63.161163]
 [65.239655]
 [66.56273 ]
 [66.71134 ]
 [66.67626 ]
 [65.99744 ]
 [66.10112 ]
 [67.73446 ]
 [67.75004 ]
 [67.95921 ]
 [66.9949  ]
 [67.114555]
 [67.708115]
 [67.158295]
 [67.67056 ]
 [67.98728 ]
 [66.66197 ]
 [67.5172  ]
 [68.079254]
 [69.12694 ]
 [69.93    ]
 [68.49956 ]
 [70.409996]
 [70.47692 ]
 [69.926   ]
 [70.331375]
 [70.38966 ]
 [70.53242 ]
 [70.361046]
 [70.23994 ]
 [71.36292 ]
 [71.141594]
 [71.429344]
 [70.04722 ]
 [67.56585 ]
 [66.4061  ]
 [67.58262 ]
 [66.566536]
 [65.43339 ]
 [64.548096]
 [65.19359 ]
 [64.46608 ]
 [65.6552  ]
 [65.48489 ]
 [65.710236]
 [66.0427  ]
 [66.31071 ]
 [66.586685]
 [64.771126]
 [65.563896]
 [64.87326 ]
 [65.58594 ]
 [65.415215]
 [68.53359 ]
 [69.4033  ]
 [74.09571 ]
 [75.598976]
 [72.227554]
 [73.27049 ]
 [73.13354 ]
 [72.68601 ]
 [72.59854 ]
 [72.633125]
 [72.426094]
 [72.626724]
 [70.474075]
 [69.67613 ]
 [70.17856 ]
 [67.56521 ]
 [67.70042 ]
 [68.14239 ]
 [68.898056]
 [69.438   ]
 [67.37798 ]
 [70.03177 ]
 [70.0931  ]
 [70.52143 ]
 [67.84164 ]
 [70.7566  ]
 [68.88755 ]
 [68.28622 ]
 [68.429146]
 [67.886635]
 [68.69545 ]
 [68.35845 ]
 [66.63662 ]
 [66.43525 ]
 [67.266815]
 [66.83396 ]
 [66.65918 ]
 [64.93685 ]
 [65.02805 ]
 [65.67992 ]
 [66.21223 ]
 [66.93295 ]
 [67.479706]
 [68.73716 ]
 [68.98474 ]
 [69.02973 ]
 [68.13981 ]
 [69.21454 ]
 [69.42602 ]
 [69.378395]
 [69.39748 ]
 [68.09453 ]
 [67.543304]
 [67.25576 ]
 [67.02587 ]
 [68.79724 ]
 [69.88829 ]
 [68.04196 ]
 [68.31988 ]
 [68.289665]
 [69.22137 ]
 [70.35032 ]
 [69.85705 ]
 [70.21396 ]
 [72.25383 ]
 [72.283   ]
 [71.008675]
 [71.36603 ]
 [72.10148 ]
 [73.64386 ]
 [73.99511 ]
 [74.68231 ]
 [73.11507 ]
 [73.28071 ]
 [73.350464]
 [73.644775]
 [72.28322 ]
 [70.931465]
 [70.706474]
 [71.28102 ]
 [71.181335]
 [68.973976]
 [68.17621 ]
 [68.73832 ]
 [68.78871 ]
 [66.26335 ]
 [66.18106 ]
 [66.81378 ]
 [67.24974 ]
 [66.671646]
 [65.747856]
 [65.062675]
 [63.48008 ]
 [62.916824]
 [62.847008]
 [62.05919 ]
 [61.6018  ]
 [60.57326 ]
 [59.938477]
 [59.63836 ]
 [56.102688]
 [55.57141 ]
 [56.467472]
 [56.494644]
 [57.212955]
 [54.14806 ]
 [53.924995]
 [52.29651 ]
 [51.413525]
 [50.79532 ]
 [51.36333 ]
 [51.515278]
 [53.31618 ]
 [53.307705]
 [52.82253 ]
 [51.82358 ]
 [52.411423]
 [51.603725]
 [51.599575]
 [51.522243]
 [52.78128 ]
 [51.916134]
 [50.43672 ]
 [48.54146 ]
 [47.705112]
 [46.954372]
 [46.4974  ]
 [46.78975 ]
 [46.282104]
 [46.247074]
 [47.23535 ]
 [47.343063]
 [48.502052]
 [49.6778  ]
 [50.880318]
 [52.911392]
 [52.845146]
 [52.106586]
 [51.088837]
 [52.00568 ]
 [52.857727]
 [52.29528 ]
 [54.0089  ]
 [53.071884]
 [52.701828]
 [53.175087]
 [53.704792]
 [52.410908]
 [52.842926]
 [54.41402 ]
 [54.824783]
 [56.209805]
 [54.802814]
 [54.438396]
 [54.170258]
 [52.990032]
 [52.773808]
 [52.66122 ]
 [53.95174 ]
 [54.746086]
 [54.64206 ]
 [55.724865]
 [56.63639 ]
 [57.45885 ]
 [57.279358]
 [57.56812 ]
 [55.669395]
 [55.45114 ]
 [56.932358]
 [57.54051 ]
 [56.278015]
 [56.571133]
 [57.132076]
 [56.600452]
 [56.582928]
 [55.880005]
 [56.959465]
 [57.095886]
 [58.205143]
 [58.702232]
 [58.638577]
 [59.132156]
 [59.2119  ]
 [60.010674]
 [59.968285]
 [58.82229 ]
 [58.49728 ]
 [59.651745]
 [59.416344]
 [59.28044 ]
 [60.11713 ]
 [61.688713]
 [62.485054]
 [62.45933 ]
 [62.049664]
 [62.874084]
 [64.20225 ]
 [63.92734 ]
 [64.36728 ]
 [63.458927]
 [63.662453]
 [63.291096]
 [63.807358]
 [63.59165 ]
 [63.825413]
 [65.37161 ]
 [65.976776]
 [65.60717 ]
 [65.014854]
 [63.130707]
 [63.133644]
 [63.6451  ]
 [63.416462]
 [61.675827]
 [61.766342]
 [62.216316]
 [61.31763 ]
 [61.832867]
 [61.41056 ]
 [61.48171 ]
 [60.770927]
 [61.45046 ]
 [61.866432]
 [62.80509 ]
 [62.64345 ]
 [62.854855]
 [62.87982 ]
 [61.377544]
 [57.79837 ]
 [57.64206 ]
 [58.759716]
 [58.884872]
 [56.678146]
 [53.81207 ]
 [53.05189 ]
 [53.458   ]
 [52.16534 ]
 [52.78017 ]
 [54.27334 ]
 [53.84837 ]
 [53.629917]
 [51.79322 ]
 [52.011013]
 [52.427586]
 [52.27171 ]
 [53.806545]
 [54.34184 ]
 [56.390697]
 [57.432888]
 [57.883583]
 [57.615746]
 [59.03182 ]
 [59.287697]
 [58.490005]
 [58.984776]
 [56.265755]
 [56.674652]
 [57.192047]
 [57.570786]
 [60.09956 ]
 [59.994446]
 [59.80262 ]
 [59.3468  ]
 [57.6149  ]
 [56.372425]
 [55.128872]
 [55.31645 ]
 [55.805836]
 [56.66292 ]
 [56.36227 ]
 [56.4983  ]
 [56.43575 ]
 [56.99798 ]
 [58.40967 ]
 [58.553493]
 [54.520878]
 [55.020954]
 [54.801003]
 [53.744816]
 [51.715664]
 [52.50597 ]
 [54.01912 ]
 [55.36956 ]
 [56.82614 ]
 [55.54598 ]
 [54.47308 ]
 [54.768726]
 [56.400223]
 [56.27552 ]
 [55.82979 ]
 [55.31967 ]
 [54.29488 ]
 [53.65612 ]
 [54.80485 ]]"
