,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,RMSprop,normal,7,2000,64,0.2,1.2042722582748335,1.2352878409208945,1.2387059233302191,"[[56.11892 ]
 [56.412888]
 [55.217182]
 [54.33932 ]
 [56.4851  ]
 [56.546753]
 [56.536102]
 [57.948837]
 [57.336376]
 [55.83601 ]
 [55.276283]
 [55.45223 ]
 [61.957253]
 [59.688152]
 [58.11028 ]
 [57.941845]
 [57.82542 ]
 [58.430485]
 [57.293674]
 [56.815613]
 [56.203392]
 [56.01584 ]
 [54.50429 ]
 [53.60703 ]
 [53.17641 ]
 [52.731888]
 [52.56241 ]
 [52.42198 ]
 [52.77369 ]
 [52.58605 ]
 [53.895157]
 [55.009766]
 [53.83121 ]
 [52.926006]
 [53.484314]
 [53.986816]
 [53.735485]
 [53.917038]
 [54.233406]
 [55.782604]
 [56.051334]
 [56.27257 ]
 [55.585537]
 [55.336433]
 [54.950665]
 [54.382877]
 [56.26243 ]
 [56.95054 ]
 [56.970127]
 [56.188766]
 [56.795277]
 [56.61533 ]
 [56.712776]
 [56.7627  ]
 [56.940216]
 [56.821003]
 [57.383778]
 [56.624283]
 [54.994114]
 [56.73206 ]
 [58.079044]
 [57.12413 ]
 [57.490368]
 [58.09863 ]
 [58.27396 ]
 [55.941437]
 [55.774475]
 [57.86734 ]
 [58.023693]
 [59.009624]
 [58.78493 ]
 [58.772465]
 [58.554028]
 [59.026012]
 [60.100147]
 [60.080376]
 [61.016647]
 [60.383442]
 [61.018593]
 [60.029266]
 [60.574657]
 [61.012115]
 [61.490196]
 [61.65736 ]
 [61.281445]
 [60.874866]
 [61.076588]
 [62.59133 ]
 [62.793182]
 [62.05111 ]
 [59.720737]
 [59.045696]
 [58.93034 ]
 [58.111965]
 [58.31107 ]
 [58.029385]
 [58.682835]
 [58.570637]
 [58.157654]
 [56.869972]
 [55.7164  ]
 [54.19991 ]
 [53.066803]
 [52.651737]
 [52.629345]
 [52.541256]
 [51.462578]
 [50.459446]
 [49.30011 ]
 [50.45908 ]
 [50.967644]]","[[56.39639 ]
 [56.53021 ]
 [55.026924]
 [54.185963]
 [56.325935]
 [56.500954]
 [56.483185]
 [57.78133 ]
 [57.152588]
 [55.684082]
 [55.105396]
 [55.345524]
 [61.919704]
 [60.017075]
 [58.16093 ]
 [57.860176]
 [57.936596]
 [58.539482]
 [57.278694]
 [56.73326 ]
 [56.026012]
 [55.81993 ]
 [54.465286]
 [53.50428 ]
 [53.094456]
 [52.83572 ]
 [52.47157 ]
 [52.406578]
 [52.939247]
 [52.64322 ]
 [54.0409  ]
 [55.120884]
 [54.001503]
 [52.607742]
 [53.42651 ]
 [54.166462]
 [53.528942]
 [53.958267]
 [54.108757]
 [55.71456 ]
 [56.119675]
 [56.111588]
 [55.489197]
 [55.25516 ]
 [54.87404 ]
 [54.37676 ]
 [56.16075 ]
 [56.973236]
 [56.71512 ]
 [55.91939 ]
 [56.701305]
 [56.636234]
 [56.62819 ]
 [56.63979 ]
 [56.88344 ]
 [56.664467]
 [57.459393]
 [56.466755]
 [54.705986]
 [56.693626]
 [58.19187 ]
 [57.053833]
 [57.31264 ]
 [58.013012]
 [58.26125 ]
 [55.72361 ]
 [55.515835]
 [57.908794]
 [58.173725]
 [58.871624]
 [58.689407]
 [58.542007]
 [58.601337]
 [58.849514]
 [59.91382 ]
 [59.908615]
 [60.792492]
 [60.200523]
 [60.887928]
 [60.009148]
 [60.24154 ]
 [60.925976]
 [61.368755]
 [61.405594]
 [61.18417 ]
 [60.845745]
 [61.010048]
 [62.41255 ]
 [62.878883]
 [62.212284]
 [59.76248 ]
 [59.024178]
 [59.00398 ]
 [58.205727]
 [58.252365]
 [58.050686]
 [58.59934 ]
 [58.47634 ]
 [57.986786]
 [56.730255]
 [55.69265 ]
 [54.148537]
 [52.94877 ]
 [52.48168 ]
 [52.572914]
 [52.687466]
 [51.46522 ]
 [50.477634]
 [49.136375]
 [50.441376]
 [51.309402]]","[[58.9452  ]
 [57.69996 ]
 [57.5833  ]
 [57.364243]
 [57.572193]
 [58.118618]
 [57.38068 ]
 [57.421974]
 [56.007004]
 [56.85585 ]
 [57.521374]
 [58.24104 ]
 [57.42837 ]
 [56.683464]
 [57.161392]
 [57.137363]
 [57.45519 ]
 [57.69555 ]
 [58.20848 ]
 [58.43866 ]
 [58.378338]
 [59.306885]
 [59.64183 ]
 [59.68231 ]
 [60.292816]
 [60.087585]
 [61.52224 ]
 [61.81578 ]
 [61.273922]
 [61.48046 ]
 [62.540035]
 [63.126556]
 [63.24655 ]
 [63.65522 ]
 [63.42424 ]
 [63.777554]
 [63.66676 ]
 [62.81395 ]
 [63.320763]
 [64.08039 ]
 [65.18496 ]
 [64.917465]
 [65.68158 ]
 [65.20421 ]
 [64.23324 ]
 [64.07159 ]
 [65.31464 ]
 [64.8604  ]
 [64.02684 ]
 [62.87265 ]
 [61.448788]
 [60.972466]
 [59.083965]
 [59.34438 ]
 [59.058372]
 [60.24146 ]
 [61.11738 ]
 [61.587925]
 [61.64861 ]
 [61.487057]
 [62.433582]
 [63.265293]
 [63.266747]
 [62.39996 ]
 [61.2398  ]
 [60.760277]
 [60.92262 ]
 [62.039326]
 [62.174446]
 [60.928997]
 [60.042015]
 [62.17595 ]
 [61.30187 ]
 [60.748425]
 [60.751305]
 [61.040237]
 [62.183582]
 [61.72572 ]
 [62.84968 ]
 [64.61052 ]
 [63.896255]
 [65.24118 ]
 [65.08697 ]
 [64.649055]
 [64.075874]
 [64.53845 ]
 [62.96563 ]
 [62.99082 ]
 [63.136547]
 [63.140827]
 [61.88428 ]
 [63.252525]
 [65.308716]
 [66.50548 ]
 [66.25464 ]
 [66.43442 ]
 [65.941925]
 [65.86903 ]
 [67.74132 ]
 [67.42586 ]
 [67.45097 ]
 [66.651596]
 [66.990555]
 [67.56689 ]
 [67.06426 ]
 [67.30902 ]
 [67.65914 ]
 [66.411   ]
 [67.355   ]
 [67.73979 ]
 [68.70261 ]
 [69.70065 ]
 [68.0905  ]
 [70.18411 ]
 [70.26357 ]
 [69.58139 ]
 [70.074135]
 [70.24897 ]
 [70.639275]
 [70.33654 ]
 [70.0745  ]
 [71.54941 ]
 [71.02728 ]
 [71.23028 ]
 [69.69925 ]
 [67.09987 ]
 [66.31795 ]
 [67.63257 ]
 [66.27358 ]
 [65.39742 ]
 [64.47488 ]
 [65.24902 ]
 [64.433   ]
 [65.708015]
 [65.413315]
 [65.46184 ]
 [65.942764]
 [66.09822 ]
 [66.15673 ]
 [64.86754 ]
 [65.58618 ]
 [64.789   ]
 [65.42427 ]
 [65.070274]
 [68.45597 ]
 [69.16828 ]
 [74.101585]
 [75.78016 ]
 [72.022835]
 [72.953964]
 [73.2123  ]
 [72.714096]
 [72.66801 ]
 [72.5849  ]
 [72.68823 ]
 [72.82199 ]
 [70.357315]
 [69.758415]
 [69.94002 ]
 [67.44188 ]
 [67.58271 ]
 [67.984924]
 [68.8274  ]
 [69.309166]
 [67.49659 ]
 [70.0179  ]
 [70.19802 ]
 [70.39785 ]
 [67.72035 ]
 [70.69782 ]
 [68.519684]
 [68.04518 ]
 [68.28294 ]
 [67.757164]
 [68.654785]
 [68.11449 ]
 [66.45964 ]
 [66.23953 ]
 [67.14903 ]
 [66.60191 ]
 [66.456085]
 [64.94922 ]
 [64.70614 ]
 [65.57037 ]
 [66.017136]
 [66.53438 ]
 [67.19916 ]
 [68.480736]
 [68.731804]
 [69.03815 ]
 [68.18603 ]
 [69.06558 ]
 [69.33377 ]
 [69.116135]
 [69.388504]
 [67.74739 ]
 [67.454926]
 [67.03279 ]
 [66.586136]
 [68.94692 ]
 [69.4028  ]
 [67.84548 ]
 [68.11877 ]
 [68.14254 ]
 [68.875725]
 [70.35323 ]
 [69.39983 ]
 [69.95795 ]
 [72.31545 ]
 [72.14928 ]
 [70.55916 ]
 [71.54534 ]
 [72.22827 ]
 [74.040855]
 [74.23188 ]
 [74.906845]
 [73.06142 ]
 [73.323204]
 [73.11157 ]
 [73.96674 ]
 [72.13602 ]
 [70.99627 ]
 [70.65454 ]
 [71.10873 ]
 [71.0407  ]
 [68.663185]
 [68.24148 ]
 [68.89042 ]
 [68.7038  ]
 [66.51681 ]
 [65.93839 ]
 [66.47055 ]
 [66.93359 ]
 [66.35689 ]
 [65.27258 ]
 [64.84284 ]
 [63.201378]
 [62.785652]
 [62.65115 ]
 [61.916885]
 [61.539185]
 [60.394398]
 [59.752308]
 [59.197002]
 [55.519135]
 [55.82726 ]
 [56.39636 ]
 [56.185436]
 [56.97191 ]
 [54.503494]
 [53.653   ]
 [51.951256]
 [51.387302]
 [50.316326]
 [51.01859 ]
 [51.05504 ]
 [53.354576]
 [53.443874]
 [52.3903  ]
 [52.36064 ]
 [51.741005]
 [51.064293]
 [51.366352]
 [51.490005]
 [52.786762]
 [51.394855]
 [50.005966]
 [47.9249  ]
 [47.708775]
 [46.312904]
 [46.02774 ]
 [46.29104 ]
 [45.750614]
 [45.555042]
 [46.537952]
 [47.09017 ]
 [47.994823]
 [49.429813]
 [50.48545 ]
 [52.383816]
 [52.102604]
 [51.373253]
 [50.81572 ]
 [51.486145]
 [52.62477 ]
 [52.150227]
 [53.615204]
 [52.869755]
 [52.44046 ]
 [53.045116]
 [53.498272]
 [52.134857]
 [52.87309 ]
 [54.541477]
 [54.698345]
 [55.962788]
 [54.68876 ]
 [54.305134]
 [54.137623]
 [52.97076 ]
 [52.66894 ]
 [52.43687 ]
 [54.021343]
 [54.52153 ]
 [54.574852]
 [55.546013]
 [56.175613]
 [56.9882  ]
 [56.99218 ]
 [57.277653]
 [55.362007]
 [55.465866]
 [57.038353]
 [57.430767]
 [55.977844]
 [56.50712 ]
 [56.94115 ]
 [56.262306]
 [56.641323]
 [56.01688 ]
 [56.795692]
 [56.941986]
 [58.078403]
 [58.180122]
 [58.163483]
 [58.921104]
 [59.140762]
 [59.90773 ]
 [59.684467]
 [58.673954]
 [58.43264 ]
 [59.469086]
 [59.172874]
 [59.106064]
 [59.861984]
 [61.536575]
 [62.308525]
 [62.22067 ]
 [61.89389 ]
 [62.762825]
 [63.92002 ]
 [63.537945]
 [64.02376 ]
 [63.10871 ]
 [63.255665]
 [63.28274 ]
 [63.501537]
 [63.288578]
 [63.57439 ]
 [64.92795 ]
 [65.47317 ]
 [65.03363 ]
 [64.83859 ]
 [62.68028 ]
 [63.02726 ]
 [63.507217]
 [63.20099 ]
 [61.69635 ]
 [61.62006 ]
 [62.054718]
 [61.251812]
 [61.67112 ]
 [61.01227 ]
 [61.220592]
 [60.878815]
 [61.38742 ]
 [61.605915]
 [62.394276]
 [62.375965]
 [62.512863]
 [62.564198]
 [61.187943]
 [57.97777 ]
 [58.061035]
 [58.739372]
 [58.66126 ]
 [56.8668  ]
 [54.203217]
 [53.301815]
 [53.500355]
 [51.53914 ]
 [52.695377]
 [54.260845]
 [53.489   ]
 [53.444313]
 [51.80756 ]
 [52.51849 ]
 [52.728638]
 [52.183315]
 [54.06692 ]
 [54.193855]
 [56.30197 ]
 [57.017212]
 [57.416065]
 [57.510166]
 [58.83051 ]
 [58.73396 ]
 [58.156082]
 [58.756954]
 [56.281216]
 [56.895298]
 [57.323013]
 [57.367363]
 [59.698776]
 [59.665596]
 [59.508217]
 [58.897144]
 [57.27793 ]
 [56.5191  ]
 [55.419476]
 [55.585434]
 [55.82753 ]
 [56.536385]
 [56.21022 ]
 [56.333107]
 [56.064785]
 [56.705723]
 [58.281055]
 [58.427868]
 [54.361305]
 [55.62519 ]
 [55.03406 ]
 [53.6399  ]
 [52.090378]
 [52.542553]
 [53.725037]
 [54.867874]
 [56.606823]
 [55.694534]
 [54.64248 ]
 [54.607708]
 [56.48091 ]
 [56.089592]
 [55.4914  ]
 [55.55267 ]
 [54.44252 ]
 [53.592068]
 [54.69549 ]]"
1,RMSprop,glorot_uniform,9,2000,64,0.0,1.244640868720145,1.296434378046298,1.207145974133932,"[[55.86417 ]
 [56.297905]
 [55.316242]
 [54.003345]
 [55.406334]
 [56.34933 ]
 [56.232887]
 [57.31336 ]
 [57.445312]
 [56.009857]
 [55.14614 ]
 [54.940765]
 [60.992737]
 [59.573803]
 [58.204334]
 [57.97082 ]
 [57.808464]
 [58.276062]
 [57.136745]
 [56.309345]
 [56.243404]
 [56.046375]
 [54.748943]
 [53.53114 ]
 [52.721195]
 [52.162384]
 [52.176144]
 [52.3224  ]
 [52.29742 ]
 [52.373276]
 [53.451443]
 [54.60492 ]
 [53.493767]
 [52.72319 ]
 [52.99864 ]
 [53.56815 ]
 [53.618004]
 [53.73231 ]
 [54.18813 ]
 [55.533062]
 [55.905266]
 [56.346172]
 [55.544865]
 [55.208366]
 [54.764515]
 [54.293358]
 [56.020298]
 [56.781597]
 [56.902424]
 [56.47647 ]
 [56.783295]
 [56.523125]
 [56.66848 ]
 [56.87632 ]
 [56.998203]
 [57.004936]
 [56.48078 ]
 [56.42933 ]
 [55.148293]
 [56.434143]
 [58.030228]
 [57.300583]
 [57.405006]
 [57.722702]
 [58.434696]
 [56.453495]
 [55.85368 ]
 [57.20883 ]
 [57.774376]
 [59.31621 ]
 [59.19048 ]
 [58.955616]
 [58.519054]
 [58.576023]
 [59.772915]
 [59.797157]
 [60.96249 ]
 [60.55141 ]
 [60.946903]
 [60.133766]
 [60.759777]
 [61.17923 ]
 [61.093327]
 [61.72485 ]
 [61.369686]
 [60.914898]
 [60.93096 ]
 [62.229538]
 [62.36019 ]
 [62.086212]
 [59.582386]
 [59.183422]
 [58.665363]
 [58.01008 ]
 [58.07743 ]
 [57.96848 ]
 [58.469955]
 [58.624886]
 [58.21949 ]
 [56.59741 ]
 [55.37385 ]
 [53.864635]
 [52.425888]
 [52.18998 ]
 [52.42443 ]
 [52.055466]
 [51.369385]
 [49.92674 ]
 [49.1717  ]
 [49.928947]
 [50.35494 ]]","[[55.961243]
 [56.423874]
 [55.31356 ]
 [53.789177]
 [55.432636]
 [56.051617]
 [56.412415]
 [57.17081 ]
 [56.9494  ]
 [55.83912 ]
 [55.151047]
 [55.28135 ]
 [60.94831 ]
 [59.58395 ]
 [58.288082]
 [58.045853]
 [58.177063]
 [58.83284 ]
 [57.934845]
 [57.174946]
 [56.661434]
 [56.143524]
 [55.001717]
 [53.773376]
 [53.052856]
 [52.52741 ]
 [52.355118]
 [52.311115]
 [52.434826]
 [52.81984 ]
 [54.007843]
 [55.394703]
 [54.59578 ]
 [53.032024]
 [53.372795]
 [53.54739 ]
 [53.699223]
 [53.967148]
 [54.001865]
 [55.301483]
 [55.812904]
 [56.109764]
 [55.50382 ]
 [55.194122]
 [54.721832]
 [54.054283]
 [55.713394]
 [56.53372 ]
 [56.301727]
 [55.987484]
 [56.31    ]
 [56.046448]
 [56.471176]
 [56.688156]
 [56.824905]
 [56.798504]
 [56.873394]
 [56.473648]
 [54.92875 ]
 [56.194878]
 [57.226933]
 [57.01353 ]
 [57.365364]
 [57.81351 ]
 [58.09897 ]
 [56.425488]
 [55.514618]
 [57.031643]
 [57.515923]
 [59.036865]
 [59.120537]
 [58.994812]
 [58.57705 ]
 [58.64699 ]
 [59.457336]
 [59.681065]
 [60.120777]
 [59.99584 ]
 [60.562134]
 [59.734364]
 [60.40903 ]
 [61.07454 ]
 [60.765915]
 [61.017715]
 [61.168495]
 [61.028675]
 [61.047688]
 [62.424873]
 [62.77692 ]
 [62.2877  ]
 [59.685635]
 [59.27342 ]
 [59.144302]
 [58.58317 ]
 [58.91215 ]
 [58.343616]
 [58.680218]
 [58.406776]
 [58.125687]
 [56.8621  ]
 [55.727432]
 [54.179344]
 [52.293133]
 [51.869034]
 [51.94527 ]
 [51.764557]
 [51.346874]
 [50.10352 ]
 [49.47269 ]
 [50.160507]
 [50.709404]]","[[58.637314]
 [57.94546 ]
 [57.367607]
 [57.28964 ]
 [57.39304 ]
 [57.954037]
 [57.517773]
 [57.465763]
 [56.124413]
 [56.30694 ]
 [56.749386]
 [57.937454]
 [57.28416 ]
 [56.40634 ]
 [56.873592]
 [56.970955]
 [57.18814 ]
 [57.809902]
 [58.118656]
 [58.273907]
 [57.91839 ]
 [59.119102]
 [59.51831 ]
 [59.704983]
 [60.166008]
 [60.11152 ]
 [60.877968]
 [61.571102]
 [61.43573 ]
 [61.24805 ]
 [62.358067]
 [63.18941 ]
 [63.44381 ]
 [63.74243 ]
 [63.641388]
 [64.00703 ]
 [64.01015 ]
 [63.11964 ]
 [63.080296]
 [63.921486]
 [64.935394]
 [65.183136]
 [65.62369 ]
 [65.50674 ]
 [64.57811 ]
 [64.12815 ]
 [64.87627 ]
 [65.14162 ]
 [64.453064]
 [63.071735]
 [61.671955]
 [60.96934 ]
 [59.01964 ]
 [58.85589 ]
 [58.786945]
 [59.736473]
 [60.903553]
 [61.534042]
 [61.80486 ]
 [61.709362]
 [62.292046]
 [63.288197]
 [63.288853]
 [62.718742]
 [61.505947]
 [60.655247]
 [60.829285]
 [61.630928]
 [62.09071 ]
 [61.43617 ]
 [60.331066]
 [61.45609 ]
 [61.211033]
 [60.973557]
 [60.821674]
 [61.05369 ]
 [61.942413]
 [62.046307]
 [62.743374]
 [64.60764 ]
 [64.54154 ]
 [65.53364 ]
 [65.51668 ]
 [64.93157 ]
 [64.262276]
 [64.49832 ]
 [63.253647]
 [63.006065]
 [63.24829 ]
 [63.049885]
 [62.197567]
 [63.06029 ]
 [65.22757 ]
 [66.89289 ]
 [66.90221 ]
 [66.69717 ]
 [66.1405  ]
 [66.207596]
 [67.541756]
 [67.834274]
 [67.7248  ]
 [67.140594]
 [67.09117 ]
 [67.785934]
 [67.52047 ]
 [67.53082 ]
 [67.64806 ]
 [67.0529  ]
 [67.53408 ]
 [67.987915]
 [68.84006 ]
 [69.93323 ]
 [68.91413 ]
 [70.22672 ]
 [70.69973 ]
 [70.312294]
 [70.42218 ]
 [70.75917 ]
 [71.155464]
 [71.0061  ]
 [70.602554]
 [71.60735 ]
 [71.70065 ]
 [71.56562 ]
 [70.23233 ]
 [67.64781 ]
 [66.69974 ]
 [67.12015 ]
 [66.77043 ]
 [65.652695]
 [64.7283  ]
 [65.09224 ]
 [64.67847 ]
 [65.62727 ]
 [65.93493 ]
 [65.725044]
 [66.20458 ]
 [66.07281 ]
 [66.10617 ]
 [65.43767 ]
 [65.75583 ]
 [65.05635 ]
 [65.406105]
 [65.40087 ]
 [68.17984 ]
 [69.344765]
 [73.239586]
 [75.47722 ]
 [73.41291 ]
 [73.34353 ]
 [73.378944]
 [72.94837 ]
 [72.93813 ]
 [72.84863 ]
 [73.0051  ]
 [73.2016  ]
 [70.95148 ]
 [69.778114]
 [69.9621  ]
 [68.25908 ]
 [67.969124]
 [68.097626]
 [69.00015 ]
 [69.76479 ]
 [68.43532 ]
 [69.90524 ]
 [70.50038 ]
 [70.68545 ]
 [68.85837 ]
 [70.436485]
 [69.325455]
 [68.657074]
 [68.65282 ]
 [68.267456]
 [68.77887 ]
 [68.393654]
 [66.9722  ]
 [66.47    ]
 [67.09825 ]
 [66.72437 ]
 [66.92885 ]
 [65.30927 ]
 [64.63855 ]
 [65.405426]
 [65.933304]
 [66.70909 ]
 [67.47464 ]
 [68.54418 ]
 [68.92556 ]
 [69.19621 ]
 [68.763565]
 [69.3652  ]
 [69.59455 ]
 [69.60102 ]
 [69.273705]
 [67.96253 ]
 [67.29149 ]
 [67.16029 ]
 [66.94739 ]
 [68.85749 ]
 [69.813484]
 [68.61965 ]
 [68.52346 ]
 [68.57945 ]
 [68.96325 ]
 [70.38118 ]
 [70.14761 ]
 [70.31578 ]
 [72.4012  ]
 [72.66739 ]
 [71.62765 ]
 [71.92011 ]
 [72.48664 ]
 [74.102135]
 [74.835335]
 [75.394325]
 [74.20579 ]
 [73.88576 ]
 [73.57654 ]
 [74.15962 ]
 [73.188675]
 [70.81733 ]
 [70.30105 ]
 [70.789604]
 [71.1588  ]
 [69.870674]
 [68.908226]
 [69.11266 ]
 [68.93863 ]
 [66.75399 ]
 [66.193214]
 [66.43473 ]
 [67.01153 ]
 [66.67535 ]
 [65.716675]
 [65.19286 ]
 [63.62108 ]
 [62.55024 ]
 [62.22474 ]
 [62.058434]
 [62.124   ]
 [60.75366 ]
 [59.573013]
 [58.58808 ]
 [55.40682 ]
 [55.47299 ]
 [55.953934]
 [56.09032 ]
 [56.912266]
 [53.686253]
 [53.489117]
 [51.861862]
 [51.102097]
 [50.00571 ]
 [50.573734]
 [50.648144]
 [52.523754]
 [52.595554]
 [52.004436]
 [50.832653]
 [51.311928]
 [51.088024]
 [51.330593]
 [51.170616]
 [52.163494]
 [51.070656]
 [49.906925]
 [47.278584]
 [47.175922]
 [46.174374]
 [45.864296]
 [46.15182 ]
 [45.390194]
 [45.501377]
 [45.728333]
 [46.29026 ]
 [47.522453]
 [48.754414]
 [49.72952 ]
 [51.310955]
 [51.804634]
 [51.242287]
 [50.592873]
 [51.198524]
 [52.159237]
 [51.91606 ]
 [52.85778 ]
 [52.52809 ]
 [52.159462]
 [52.699104]
 [52.963844]
 [51.956997]
 [52.612244]
 [54.092606]
 [54.632763]
 [55.551693]
 [54.58135 ]
 [53.727505]
 [53.819454]
 [52.58965 ]
 [52.391315]
 [52.203197]
 [53.392956]
 [54.32833 ]
 [54.675304]
 [55.36742 ]
 [55.833958]
 [56.60803 ]
 [57.008724]
 [57.103504]
 [55.42634 ]
 [54.927536]
 [56.53415 ]
 [57.45686 ]
 [56.31686 ]
 [56.233616]
 [56.589012]
 [56.27005 ]
 [56.62866 ]
 [56.056644]
 [56.336746]
 [56.78637 ]
 [57.772984]
 [58.047157]
 [58.118877]
 [58.70547 ]
 [59.24767 ]
 [60.046925]
 [59.90154 ]
 [58.814266]
 [58.5195  ]
 [59.13526 ]
 [58.9793  ]
 [59.119816]
 [59.676662]
 [61.341335]
 [62.47561 ]
 [62.515247]
 [62.43242 ]
 [62.77236 ]
 [63.827343]
 [63.785126]
 [64.12059 ]
 [63.452934]
 [62.768894]
 [63.48006 ]
 [63.485535]
 [63.685696]
 [63.893475]
 [65.06122 ]
 [65.73635 ]
 [65.53336 ]
 [65.31117 ]
 [63.15315 ]
 [62.790222]
 [63.434887]
 [63.46728 ]
 [62.193913]
 [61.75609 ]
 [62.133854]
 [61.395123]
 [61.563545]
 [60.7391  ]
 [60.937115]
 [60.82002 ]
 [61.237762]
 [61.53557 ]
 [62.555847]
 [62.52305 ]
 [62.299076]
 [62.514774]
 [61.504578]
 [58.402454]
 [57.93761 ]
 [58.22871 ]
 [58.478672]
 [56.91522 ]
 [54.197815]
 [53.181046]
 [53.25538 ]
 [51.7964  ]
 [52.4694  ]
 [53.75612 ]
 [53.538803]
 [53.333652]
 [51.50955 ]
 [52.082844]
 [52.214397]
 [51.995865]
 [53.7979  ]
 [54.24663 ]
 [56.149925]
 [56.863533]
 [57.281113]
 [57.470005]
 [58.839626]
 [58.6933  ]
 [58.319237]
 [58.5121  ]
 [56.350376]
 [56.64923 ]
 [57.01414 ]
 [57.131626]
 [59.312576]
 [59.559982]
 [59.40334 ]
 [58.91089 ]
 [57.400562]
 [56.48402 ]
 [55.126205]
 [55.299507]
 [55.6415  ]
 [56.238873]
 [56.238773]
 [56.287163]
 [56.109814]
 [56.799686]
 [58.282444]
 [58.856163]
 [54.79745 ]
 [55.13654 ]
 [54.36007 ]
 [53.23847 ]
 [52.038284]
 [52.487164]
 [53.73287 ]
 [54.666706]
 [56.353672]
 [55.20191 ]
 [54.477158]
 [54.45702 ]
 [55.81301 ]
 [55.811554]
 [55.4824  ]
 [55.348988]
 [54.348083]
 [53.678467]
 [54.53473 ]]"
