,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,RMSprop,glorot_uniform,13,2000,64,0.1,1.3275931982573932,1.2772951539272042,1.2943983780453812,"[[55.992924]
 [56.917442]
 [55.678116]
 [53.96896 ]
 [55.444748]
 [56.41324 ]
 [56.691746]
 [57.656757]
 [57.332657]
 [56.141884]
 [55.41148 ]
 [55.000034]
 [62.57518 ]
 [60.27716 ]
 [58.685196]
 [58.57501 ]
 [58.410957]
 [59.07418 ]
 [57.912834]
 [56.91023 ]
 [56.316772]
 [56.086643]
 [54.579777]
 [54.16811 ]
 [52.878662]
 [52.347652]
 [52.766003]
 [52.982258]
 [52.857048]
 [53.267323]
 [54.1865  ]
 [55.214092]
 [54.70145 ]
 [53.436516]
 [53.365353]
 [54.42914 ]
 [54.064518]
 [53.929657]
 [54.375885]
 [55.530407]
 [56.166603]
 [56.595028]
 [55.93498 ]
 [55.53673 ]
 [55.16965 ]
 [54.724995]
 [55.990025]
 [56.650574]
 [57.201553]
 [56.42624 ]
 [56.73453 ]
 [56.96729 ]
 [56.68762 ]
 [56.853333]
 [56.89098 ]
 [56.58889 ]
 [57.444424]
 [57.251724]
 [55.247726]
 [56.393536]
 [57.99721 ]
 [57.61337 ]
 [57.628174]
 [58.271393]
 [58.458443]
 [56.177853]
 [56.105846]
 [57.87356 ]
 [58.346535]
 [58.99049 ]
 [59.04138 ]
 [59.067165]
 [58.551327]
 [58.747375]
 [59.72955 ]
 [59.844482]
 [60.718925]
 [60.686104]
 [60.71427 ]
 [60.278316]
 [60.257614]
 [60.806267]
 [60.994923]
 [61.521473]
 [61.320984]
 [60.700718]
 [60.927937]
 [62.707176]
 [63.106518]
 [62.680305]
 [60.091934]
 [59.35925 ]
 [58.958115]
 [58.031532]
 [58.123386]
 [57.900322]
 [58.22399 ]
 [58.492195]
 [58.09291 ]
 [56.837814]
 [55.678474]
 [54.27315 ]
 [53.049973]
 [52.693104]
 [52.8261  ]
 [52.520668]
 [51.64746 ]
 [50.475292]
 [49.680798]
 [50.929935]
 [51.378986]]","[[55.791504]
 [56.64911 ]
 [55.496845]
 [53.89412 ]
 [55.43901 ]
 [56.53523 ]
 [56.496628]
 [57.64958 ]
 [57.589245]
 [56.12005 ]
 [55.357418]
 [55.307755]
 [61.943607]
 [59.918663]
 [58.682446]
 [58.476524]
 [58.44719 ]
 [59.1064  ]
 [57.92773 ]
 [56.79464 ]
 [56.13858 ]
 [56.049957]
 [54.50795 ]
 [53.890255]
 [52.80466 ]
 [52.187912]
 [52.453552]
 [52.72465 ]
 [52.862957]
 [52.912106]
 [53.86739 ]
 [55.172695]
 [54.39195 ]
 [53.434364]
 [53.5647  ]
 [54.063354]
 [54.02563 ]
 [53.74484 ]
 [54.182564]
 [55.49707 ]
 [56.023243]
 [56.640125]
 [56.005978]
 [55.57904 ]
 [55.322826]
 [54.560204]
 [55.855125]
 [56.448513]
 [57.176865]
 [56.315914]
 [56.864536]
 [56.980297]
 [56.677807]
 [56.849934]
 [56.868355]
 [56.683308]
 [57.381783]
 [57.09796 ]
 [55.390877]
 [56.281635]
 [57.902313]
 [57.513958]
 [57.81781 ]
 [58.425747]
 [58.28157 ]
 [56.290943]
 [56.209194]
 [57.95181 ]
 [58.25666 ]
 [59.05687 ]
 [58.993877]
 [59.092175]
 [58.721428]
 [58.937183]
 [59.93525 ]
 [60.01758 ]
 [60.79963 ]
 [60.684597]
 [60.989418]
 [60.48993 ]
 [60.45966 ]
 [60.97645 ]
 [61.10049 ]
 [61.728493]
 [61.39801 ]
 [60.99369 ]
 [61.036953]
 [62.86157 ]
 [62.980026]
 [62.645573]
 [60.209732]
 [59.557823]
 [59.18762 ]
 [58.085934]
 [58.305645]
 [57.854828]
 [58.218216]
 [58.421066]
 [58.23577 ]
 [56.800903]
 [55.636425]
 [54.162594]
 [52.855408]
 [52.330685]
 [52.73929 ]
 [52.211044]
 [51.40573 ]
 [50.262653]
 [49.587646]
 [50.762043]
 [51.25426 ]]","[[58.453175]
 [57.53592 ]
 [57.477234]
 [56.119392]
 [56.45365 ]
 [57.2645  ]
 [57.890305]
 [57.430656]
 [56.97929 ]
 [57.13131 ]
 [57.158848]
 [57.198498]
 [57.74831 ]
 [58.218636]
 [58.400665]
 [58.355362]
 [59.62812 ]
 [59.140266]
 [59.60198 ]
 [60.167057]
 [59.930405]
 [61.298897]
 [61.75133 ]
 [61.110214]
 [61.426086]
 [62.45363 ]
 [63.15311 ]
 [63.32155 ]
 [63.739967]
 [63.383904]
 [63.50635 ]
 [63.541935]
 [62.772728]
 [63.129093]
 [63.88919 ]
 [64.955986]
 [64.90281 ]
 [65.50439 ]
 [65.21651 ]
 [64.233795]
 [63.91104 ]
 [65.01524 ]
 [64.93584 ]
 [63.79986 ]
 [62.73337 ]
 [61.158463]
 [60.969448]
 [58.97923 ]
 [58.854057]
 [59.089714]
 [60.127293]
 [60.98724 ]
 [61.61215 ]
 [61.85187 ]
 [61.62273 ]
 [62.47619 ]
 [63.098694]
 [63.2677  ]
 [62.606003]
 [61.21834 ]
 [60.598774]
 [60.782486]
 [61.976593]
 [62.380825]
 [61.204205]
 [59.94766 ]
 [61.49992 ]
 [61.250305]
 [60.579094]
 [60.632114]
 [61.02243 ]
 [61.99552 ]
 [62.014202]
 [62.873512]
 [64.568405]
 [64.00731 ]
 [65.27035 ]
 [64.781586]
 [64.582596]
 [64.01954 ]
 [64.096275]
 [62.787804]
 [62.658344]
 [62.803474]
 [62.84673 ]
 [61.86438 ]
 [62.88581 ]
 [64.8618  ]
 [66.38223 ]
 [66.57758 ]
 [66.34398 ]
 [66.01847 ]
 [65.79457 ]
 [67.3801  ]
 [67.44238 ]
 [67.532135]
 [66.661804]
 [66.786514]
 [67.42233 ]
 [66.85634 ]
 [67.163025]
 [67.71257 ]
 [66.40008 ]
 [66.99366 ]
 [67.57915 ]
 [68.69742 ]
 [69.73583 ]
 [68.28953 ]
 [70.08703 ]
 [70.328026]
 [69.60941 ]
 [70.05448 ]
 [70.24943 ]
 [70.37803 ]
 [70.25827 ]
 [70.1487  ]
 [71.053345]
 [71.01052 ]
 [70.87701 ]
 [69.529976]
 [66.89859 ]
 [66.01027 ]
 [66.96874 ]
 [65.82041 ]
 [65.03973 ]
 [64.00021 ]
 [64.668564]
 [63.93055 ]
 [65.39468 ]
 [65.17312 ]
 [65.13114 ]
 [65.907845]
 [66.06569 ]
 [66.41414 ]
 [64.80542 ]
 [65.28271 ]
 [64.600296]
 [65.26809 ]
 [65.364395]
 [68.233345]
 [69.20168 ]
 [73.905655]
 [76.06929 ]
 [72.6912  ]
 [73.1359  ]
 [72.9947  ]
 [72.24969 ]
 [72.02112 ]
 [72.07592 ]
 [72.040474]
 [72.62476 ]
 [69.68697 ]
 [69.127014]
 [69.198616]
 [67.20693 ]
 [67.12732 ]
 [67.42331 ]
 [68.33551 ]
 [69.208916]
 [67.14087 ]
 [69.562996]
 [70.19484 ]
 [70.10072 ]
 [68.050674]
 [70.232346]
 [68.56231 ]
 [68.0274  ]
 [67.88609 ]
 [67.403725]
 [68.171486]
 [67.885506]
 [66.286316]
 [66.10581 ]
 [66.803116]
 [66.348785]
 [66.31526 ]
 [64.78467 ]
 [64.42282 ]
 [65.347466]
 [65.712456]
 [66.216896]
 [67.187515]
 [68.44873 ]
 [68.67214 ]
 [69.29278 ]
 [68.03687 ]
 [68.8645  ]
 [69.10554 ]
 [69.12475 ]
 [68.98333 ]
 [67.399826]
 [66.97724 ]
 [66.62778 ]
 [66.40954 ]
 [68.563736]
 [69.29784 ]
 [67.98626 ]
 [67.778046]
 [68.18041 ]
 [68.640976]
 [70.11896 ]
 [69.5814  ]
 [69.63856 ]
 [72.23332 ]
 [72.01836 ]
 [70.69022 ]
 [71.52392 ]
 [71.83292 ]
 [73.95417 ]
 [73.81571 ]
 [74.878654]
 [72.89956 ]
 [73.37128 ]
 [72.61164 ]
 [73.35137 ]
 [71.85958 ]
 [70.023705]
 [69.472626]
 [70.24784 ]
 [70.31554 ]
 [68.31922 ]
 [67.997406]
 [68.05074 ]
 [68.07006 ]
 [66.021835]
 [65.49178 ]
 [66.18844 ]
 [66.71092 ]
 [66.195786]
 [65.14687 ]
 [64.47955 ]
 [63.180027]
 [62.413   ]
 [62.27672 ]
 [61.320976]
 [61.35332 ]
 [60.47299 ]
 [59.58437 ]
 [58.95747 ]
 [55.718876]
 [55.587734]
 [55.944866]
 [56.089115]
 [56.62096 ]
 [53.935802]
 [53.71682 ]
 [52.051712]
 [51.172367]
 [50.273045]
 [51.008205]
 [51.04378 ]
 [53.153107]
 [53.426273]
 [53.002632]
 [51.6327  ]
 [52.251125]
 [51.709064]
 [51.66137 ]
 [51.836243]
 [53.08623 ]
 [51.722263]
 [50.55842 ]
 [47.680702]
 [47.683125]
 [46.349243]
 [45.722748]
 [46.7073  ]
 [46.045498]
 [45.838364]
 [46.613995]
 [47.3278  ]
 [48.234085]
 [49.736588]
 [50.577656]
 [52.70709 ]
 [52.852997]
 [51.974754]
 [50.89915 ]
 [51.235405]
 [52.28605 ]
 [52.858635]
 [53.773968]
 [53.067936]
 [52.859425]
 [53.2297  ]
 [54.117905]
 [52.603336]
 [53.234867]
 [54.591625]
 [54.936596]
 [55.640778]
 [54.699738]
 [54.415577]
 [54.194443]
 [53.0369  ]
 [52.736046]
 [52.66806 ]
 [53.728844]
 [54.355648]
 [54.666218]
 [55.66422 ]
 [56.46527 ]
 [56.897167]
 [57.07438 ]
 [57.022694]
 [55.65293 ]
 [55.668674]
 [56.79282 ]
 [57.332077]
 [56.21507 ]
 [56.53873 ]
 [56.94262 ]
 [56.46193 ]
 [56.685837]
 [56.128483]
 [56.635777]
 [56.993187]
 [58.217327]
 [58.740055]
 [58.442997]
 [59.099697]
 [59.276306]
 [60.032635]
 [59.88993 ]
 [59.059345]
 [58.63004 ]
 [59.659214]
 [59.36989 ]
 [59.135647]
 [59.865627]
 [61.395844]
 [62.346138]
 [62.4109  ]
 [62.120132]
 [62.645023]
 [63.9801  ]
 [63.96717 ]
 [64.40986 ]
 [63.580135]
 [63.219463]
 [63.518932]
 [63.253986]
 [63.367138]
 [63.600197]
 [64.80681 ]
 [65.55799 ]
 [65.354866]
 [64.86713 ]
 [63.119503]
 [62.680313]
 [63.322006]
 [63.088734]
 [61.708305]
 [61.45094 ]
 [61.743324]
 [61.056595]
 [61.410465]
 [61.104893]
 [61.20094 ]
 [60.795185]
 [61.422497]
 [61.82373 ]
 [62.435635]
 [62.506706]
 [62.6217  ]
 [62.588535]
 [61.330353]
 [58.072563]
 [57.72161 ]
 [58.207024]
 [58.370632]
 [56.626507]
 [53.83664 ]
 [52.844624]
 [52.82769 ]
 [51.75617 ]
 [52.434868]
 [53.897343]
 [53.521606]
 [53.386047]
 [51.923084]
 [52.577908]
 [53.168213]
 [52.94763 ]
 [54.380653]
 [54.309452]
 [56.713287]
 [57.4462  ]
 [57.93078 ]
 [57.853085]
 [59.066338]
 [59.325684]
 [58.462326]
 [58.68108 ]
 [56.457905]
 [56.61538 ]
 [57.074226]
 [57.38207 ]
 [59.71482 ]
 [59.89137 ]
 [60.077034]
 [59.35727 ]
 [57.652252]
 [56.641743]
 [55.162163]
 [55.104057]
 [55.83476 ]
 [56.820415]
 [56.357143]
 [56.137962]
 [55.979435]
 [56.585476]
 [57.82837 ]
 [58.37908 ]
 [54.714317]
 [55.270123]
 [54.693226]
 [53.718815]
 [51.581333]
 [52.63802 ]
 [53.77032 ]
 [55.040516]
 [56.990772]
 [56.075645]
 [54.7603  ]
 [54.848164]
 [56.343998]
 [56.5538  ]
 [55.76892 ]
 [55.431988]
 [54.41213 ]
 [53.7944  ]
 [54.578136]]"
1,adam,glorot_uniform,7,2000,64,0.0,1.3184384793587351,1.331992232617334,1.165655447575349,"[[55.705322]
 [56.678078]
 [55.334007]
 [53.838173]
 [55.193966]
 [56.106213]
 [56.33108 ]
 [57.592663]
 [57.40936 ]
 [55.98047 ]
 [55.219093]
 [55.26633 ]
 [62.429077]
 [60.478626]
 [59.02353 ]
 [58.571835]
 [58.411922]
 [59.31248 ]
 [58.101772]
 [57.340515]
 [56.13216 ]
 [56.210655]
 [54.28959 ]
 [53.681316]
 [52.958668]
 [52.4479  ]
 [52.41091 ]
 [52.42582 ]
 [52.644524]
 [52.580074]
 [53.502583]
 [54.99888 ]
 [54.208935]
 [53.03935 ]
 [53.447903]
 [53.95187 ]
 [54.054165]
 [53.711235]
 [54.28097 ]
 [55.6078  ]
 [56.16898 ]
 [56.62513 ]
 [55.839954]
 [55.517303]
 [55.22603 ]
 [54.510715]
 [55.99015 ]
 [56.723198]
 [57.248764]
 [56.489582]
 [56.87172 ]
 [57.031567]
 [56.746037]
 [56.846107]
 [56.9846  ]
 [56.84085 ]
 [57.64189 ]
 [57.120056]
 [55.382847]
 [56.42709 ]
 [58.09238 ]
 [57.680477]
 [57.869606]
 [58.540813]
 [58.37275 ]
 [56.29109 ]
 [56.089466]
 [58.08884 ]
 [58.490284]
 [59.26515 ]
 [59.226627]
 [59.26541 ]
 [58.77573 ]
 [59.055077]
 [59.994957]
 [60.297028]
 [60.840282]
 [60.86643 ]
 [61.2405  ]
 [60.574825]
 [60.564304]
 [61.23549 ]
 [61.655365]
 [61.65696 ]
 [61.524567]
 [61.229603]
 [61.442753]
 [63.138775]
 [63.708054]
 [63.163097]
 [60.471554]
 [59.77714 ]
 [59.498795]
 [58.3305  ]
 [58.580406]
 [58.188473]
 [58.51843 ]
 [58.64576 ]
 [58.297527]
 [56.97377 ]
 [55.73865 ]
 [54.22539 ]
 [53.32454 ]
 [52.76353 ]
 [53.007355]
 [52.365604]
 [51.413826]
 [49.97858 ]
 [49.287476]
 [50.488823]
 [50.9554  ]]","[[55.873486]
 [56.859688]
 [55.548374]
 [53.83397 ]
 [55.36884 ]
 [56.525204]
 [56.5691  ]
 [57.944073]
 [57.539967]
 [55.736   ]
 [55.061886]
 [54.653908]
 [63.13146 ]
 [60.131096]
 [58.36985 ]
 [58.24994 ]
 [58.131927]
 [59.0001  ]
 [57.53203 ]
 [56.69723 ]
 [55.99775 ]
 [56.075264]
 [54.08021 ]
 [53.8784  ]
 [52.78311 ]
 [52.231487]
 [52.595848]
 [52.68316 ]
 [52.64294 ]
 [52.60489 ]
 [53.737286]
 [54.980206]
 [54.15539 ]
 [53.159546]
 [53.237198]
 [54.185886]
 [53.96372 ]
 [53.722675]
 [54.456203]
 [56.00245 ]
 [56.367935]
 [56.824863]
 [55.869984]
 [55.371265]
 [54.893894]
 [54.271313]
 [55.901722]
 [56.66436 ]
 [57.431545]
 [56.465134]
 [57.02838 ]
 [57.136215]
 [56.678833]
 [56.91525 ]
 [56.975636]
 [56.745373]
 [57.44798 ]
 [57.218098]
 [55.076923]
 [56.446533]
 [58.42822 ]
 [57.8752  ]
 [57.946503]
 [58.375206]
 [58.337933]
 [56.025833]
 [56.138874]
 [58.264397]
 [58.63257 ]
 [59.362663]
 [59.229687]
 [59.35644 ]
 [58.864025]
 [59.143433]
 [60.195217]
 [60.229675]
 [60.983345]
 [60.9219  ]
 [61.252254]
 [60.499287]
 [60.488205]
 [61.155453]
 [61.556335]
 [61.917946]
 [61.593063]
 [61.066574]
 [61.117172]
 [63.16179 ]
 [63.332684]
 [62.89265 ]
 [59.920124]
 [59.362144]
 [59.08828 ]
 [58.111607]
 [58.31506 ]
 [58.017113]
 [58.43066 ]
 [58.715504]
 [58.348244]
 [56.69536 ]
 [55.521904]
 [54.07657 ]
 [53.141476]
 [52.796227]
 [52.921543]
 [52.422924]
 [51.344875]
 [50.07716 ]
 [49.21398 ]
 [50.572235]
 [50.947315]]","[[58.47327 ]
 [57.766415]
 [57.862892]
 [56.28675 ]
 [56.76329 ]
 [57.552486]
 [58.033386]
 [57.713596]
 [57.055283]
 [57.159016]
 [57.353947]
 [57.60577 ]
 [57.923927]
 [58.509502]
 [58.753242]
 [58.825935]
 [59.615974]
 [59.79524 ]
 [59.89215 ]
 [60.209225]
 [60.395077]
 [61.702774]
 [62.118717]
 [61.56045 ]
 [61.69995 ]
 [62.74239 ]
 [63.50618 ]
 [63.9883  ]
 [64.24896 ]
 [64.00986 ]
 [64.06151 ]
 [64.01733 ]
 [63.399864]
 [63.702904]
 [64.52557 ]
 [65.67351 ]
 [65.55139 ]
 [65.99599 ]
 [65.73827 ]
 [64.84622 ]
 [64.55095 ]
 [65.59713 ]
 [65.51422 ]
 [64.50425 ]
 [63.35448 ]
 [61.655228]
 [61.507248]
 [59.538902]
 [59.21939 ]
 [59.454258]
 [60.527424]
 [61.42761 ]
 [62.046547]
 [62.196793]
 [62.100624]
 [62.96997 ]
 [63.727142]
 [63.88837 ]
 [62.973015]
 [61.650684]
 [61.142395]
 [61.293182]
 [62.564957]
 [63.032642]
 [61.71384 ]
 [60.476727]
 [61.96081 ]
 [61.640873]
 [61.033455]
 [61.052265]
 [61.518425]
 [62.572453]
 [62.523064]
 [63.49397 ]
 [65.28802 ]
 [64.68249 ]
 [65.80143 ]
 [65.439445]
 [65.22287 ]
 [64.47681 ]
 [64.70421 ]
 [63.398033]
 [63.194942]
 [63.44055 ]
 [63.558376]
 [62.49138 ]
 [63.56773 ]
 [65.63985 ]
 [67.20069 ]
 [67.334145]
 [67.09276 ]
 [66.47881 ]
 [66.43386 ]
 [68.10246 ]
 [68.31142 ]
 [68.32071 ]
 [67.54418 ]
 [67.57143 ]
 [68.16478 ]
 [67.92938 ]
 [67.75483 ]
 [68.34294 ]
 [67.328804]
 [67.7591  ]
 [68.46183 ]
 [69.7082  ]
 [70.80304 ]
 [69.23558 ]
 [70.92392 ]
 [71.416   ]
 [70.72863 ]
 [71.01114 ]
 [71.44596 ]
 [71.477974]
 [71.35289 ]
 [71.280945]
 [72.16964 ]
 [72.155495]
 [71.84763 ]
 [70.49017 ]
 [67.84142 ]
 [67.051   ]
 [68.12813 ]
 [67.12338 ]
 [65.8763  ]
 [64.79586 ]
 [65.49046 ]
 [64.79474 ]
 [66.09501 ]
 [66.030396]
 [65.98502 ]
 [66.62217 ]
 [66.932144]
 [67.30437 ]
 [65.60355 ]
 [66.01149 ]
 [65.29273 ]
 [65.93065 ]
 [66.21398 ]
 [69.09657 ]
 [70.18924 ]
 [74.43465 ]
 [76.68581 ]
 [73.05039 ]
 [73.5627  ]
 [73.397354]
 [73.2563  ]
 [72.655205]
 [72.96277 ]
 [73.32149 ]
 [73.92739 ]
 [70.86254 ]
 [69.67741 ]
 [70.64057 ]
 [68.481155]
 [68.224396]
 [68.59192 ]
 [69.45021 ]
 [70.35285 ]
 [68.15424 ]
 [70.48155 ]
 [71.30176 ]
 [71.18648 ]
 [68.868935]
 [71.0314  ]
 [69.88857 ]
 [68.94043 ]
 [68.90268 ]
 [68.4518  ]
 [69.21501 ]
 [68.96357 ]
 [67.28613 ]
 [66.93898 ]
 [67.865265]
 [67.0948  ]
 [67.05398 ]
 [65.75736 ]
 [64.88649 ]
 [66.15557 ]
 [66.62106 ]
 [66.92559 ]
 [67.88318 ]
 [69.138954]
 [69.428375]
 [70.048386]
 [68.84034 ]
 [69.6721  ]
 [70.04551 ]
 [69.96008 ]
 [69.86578 ]
 [68.22614 ]
 [67.70541 ]
 [67.25329 ]
 [67.39975 ]
 [69.42417 ]
 [70.39737 ]
 [68.67764 ]
 [68.52797 ]
 [68.91817 ]
 [69.50268 ]
 [70.96728 ]
 [70.66759 ]
 [70.56766 ]
 [73.05237 ]
 [73.13773 ]
 [71.9776  ]
 [72.270515]
 [72.99574 ]
 [75.15386 ]
 [74.98625 ]
 [75.9443  ]
 [74.28569 ]
 [74.09541 ]
 [73.927986]
 [74.46044 ]
 [73.05971 ]
 [70.8218  ]
 [70.33104 ]
 [71.28308 ]
 [71.22124 ]
 [69.520546]
 [68.83812 ]
 [69.018875]
 [69.14823 ]
 [66.761086]
 [66.20933 ]
 [67.099106]
 [67.73868 ]
 [67.08956 ]
 [65.926254]
 [65.07973 ]
 [63.658   ]
 [62.972404]
 [63.22781 ]
 [61.72795 ]
 [61.73564 ]
 [60.90032 ]
 [60.29403 ]
 [59.482674]
 [55.73453 ]
 [55.901173]
 [55.796497]
 [56.163147]
 [56.84289 ]
 [53.80785 ]
 [53.154266]
 [51.35718 ]
 [50.984653]
 [49.739735]
 [50.81445 ]
 [50.74138 ]
 [52.907043]
 [52.60907 ]
 [52.29957 ]
 [51.79483 ]
 [51.726627]
 [50.971478]
 [51.46204 ]
 [51.19316 ]
 [52.259304]
 [51.259113]
 [49.747337]
 [47.1238  ]
 [47.23897 ]
 [46.249058]
 [45.77086 ]
 [46.57766 ]
 [45.590683]
 [45.860134]
 [46.147278]
 [46.683815]
 [48.220848]
 [49.26148 ]
 [50.399906]
 [52.77223 ]
 [52.367184]
 [51.72583 ]
 [50.50086 ]
 [51.5226  ]
 [52.365967]
 [52.264954]
 [53.910923]
 [52.891125]
 [52.660248]
 [53.084183]
 [53.702717]
 [52.38867 ]
 [53.051037]
 [54.379856]
 [54.491962]
 [55.722656]
 [54.808434]
 [54.28846 ]
 [54.019157]
 [52.9595  ]
 [52.639385]
 [52.5292  ]
 [53.47675 ]
 [54.267853]
 [54.526993]
 [55.647602]
 [56.290115]
 [57.099342]
 [57.062332]
 [57.257435]
 [55.873405]
 [55.60257 ]
 [56.80794 ]
 [57.425453]
 [56.284885]
 [56.857994]
 [56.974533]
 [56.709694]
 [56.952087]
 [56.175327]
 [56.76883 ]
 [57.107906]
 [58.394135]
 [58.774677]
 [58.80582 ]
 [59.434513]
 [59.489445]
 [60.25808 ]
 [60.238014]
 [59.30144 ]
 [58.89533 ]
 [59.978817]
 [59.86889 ]
 [59.412037]
 [60.213577]
 [61.700314]
 [62.787033]
 [62.869663]
 [62.382088]
 [63.30614 ]
 [64.49132 ]
 [64.53848 ]
 [65.01653 ]
 [64.147995]
 [63.826748]
 [64.14923 ]
 [63.794197]
 [63.856525]
 [64.1186  ]
 [65.37947 ]
 [66.27697 ]
 [66.08012 ]
 [65.45874 ]
 [63.70848 ]
 [63.25015 ]
 [64.04407 ]
 [63.867542]
 [62.417126]
 [62.01297 ]
 [62.363518]
 [61.990078]
 [61.917732]
 [61.6141  ]
 [61.610657]
 [61.298252]
 [61.466675]
 [62.00717 ]
 [62.511833]
 [62.88009 ]
 [62.75868 ]
 [62.52804 ]
 [61.27222 ]
 [58.00203 ]
 [57.828094]
 [58.433678]
 [58.466557]
 [56.40942 ]
 [53.40642 ]
 [52.498856]
 [52.593674]
 [50.75875 ]
 [51.854996]
 [53.230247]
 [52.927944]
 [52.930557]
 [51.411484]
 [52.110252]
 [52.600533]
 [52.3578  ]
 [53.91617 ]
 [54.078514]
 [56.61665 ]
 [57.432163]
 [57.875126]
 [57.888123]
 [58.91661 ]
 [59.338566]
 [58.50171 ]
 [58.674427]
 [56.542805]
 [56.69944 ]
 [57.222073]
 [57.40232 ]
 [59.616913]
 [60.256153]
 [60.187366]
 [59.293247]
 [57.57695 ]
 [56.59603 ]
 [55.296444]
 [55.087795]
 [55.74166 ]
 [56.68539 ]
 [56.269367]
 [56.000397]
 [55.9376  ]
 [56.6222  ]
 [57.828587]
 [58.44999 ]
 [54.55171 ]
 [55.418964]
 [54.706272]
 [53.79569 ]
 [51.396652]
 [51.939415]
 [53.829567]
 [54.623802]
 [56.668   ]
 [55.350716]
 [54.218067]
 [54.151066]
 [55.968494]
 [56.221714]
 [55.616882]
 [55.43723 ]
 [54.139046]
 [53.205086]
 [54.471478]]"
