,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,normal,6,2000,64,0.4,1.2379683174796623,1.229400358877576,1.3615963448901791,"[[55.873283]
 [56.828335]
 [55.514935]
 [54.607502]
 [56.147488]
 [56.889084]
 [56.880184]
 [57.883156]
 [57.761204]
 [56.15315 ]
 [55.56541 ]
 [55.42193 ]
 [61.56429 ]
 [59.636322]
 [58.27363 ]
 [57.99461 ]
 [57.810524]
 [58.421406]
 [57.486546]
 [56.64827 ]
 [56.237408]
 [56.152866]
 [54.75598 ]
 [53.978218]
 [53.301067]
 [52.886303]
 [52.818523]
 [53.060345]
 [53.115128]
 [52.81775 ]
 [53.927025]
 [54.9648  ]
 [53.99072 ]
 [53.482887]
 [53.864952]
 [54.45238 ]
 [53.965126]
 [53.967796]
 [54.744713]
 [56.056774]
 [56.390247]
 [56.917625]
 [55.910286]
 [55.72166 ]
 [55.27888 ]
 [54.618835]
 [56.279984]
 [56.72492 ]
 [57.328636]
 [56.70484 ]
 [57.02502 ]
 [57.260468]
 [56.91794 ]
 [56.860744]
 [57.054592]
 [56.92628 ]
 [57.727848]
 [57.190716]
 [55.6237  ]
 [56.738194]
 [58.285862]
 [57.923813]
 [58.002533]
 [58.378777]
 [58.3294  ]
 [56.32773 ]
 [56.564674]
 [58.44277 ]
 [58.395195]
 [59.242542]
 [59.06251 ]
 [59.19622 ]
 [58.781555]
 [59.267605]
 [60.237465]
 [60.182343]
 [60.902153]
 [60.84155 ]
 [61.135254]
 [60.27143 ]
 [60.61623 ]
 [61.001656]
 [61.347183]
 [61.650658]
 [61.48781 ]
 [60.960945]
 [60.980446]
 [62.531574]
 [62.736645]
 [62.146587]
 [60.025898]
 [59.279243]
 [58.920795]
 [58.192303]
 [58.27482 ]
 [57.985992]
 [58.5714  ]
 [58.61049 ]
 [58.44067 ]
 [57.138065]
 [55.849396]
 [54.639675]
 [53.616512]
 [53.583874]
 [53.73346 ]
 [52.80275 ]
 [52.131462]
 [50.998558]
 [50.318195]
 [51.082336]
 [51.52287 ]]","[[55.763588]
 [56.65269 ]
 [55.383614]
 [54.53861 ]
 [55.9111  ]
 [56.70262 ]
 [56.722084]
 [57.747013]
 [57.53112 ]
 [55.99552 ]
 [55.422062]
 [55.234497]
 [61.51847 ]
 [59.737087]
 [58.281315]
 [57.94553 ]
 [57.73471 ]
 [58.369953]
 [57.42696 ]
 [56.60597 ]
 [56.10977 ]
 [56.098305]
 [54.66679 ]
 [53.854397]
 [53.294067]
 [52.835506]
 [52.588383]
 [52.86009 ]
 [53.061745]
 [52.664993]
 [53.727924]
 [54.849632]
 [53.76141 ]
 [53.273373]
 [53.554577]
 [54.295364]
 [53.77222 ]
 [53.732094]
 [54.556038]
 [55.873035]
 [56.19457 ]
 [56.712234]
 [55.736973]
 [55.506386]
 [55.07057 ]
 [54.40466 ]
 [56.083122]
 [56.51908 ]
 [57.124977]
 [56.456684]
 [56.831505]
 [57.094143]
 [56.7662  ]
 [56.722576]
 [56.905632]
 [56.80231 ]
 [57.54334 ]
 [56.999626]
 [55.44397 ]
 [56.564556]
 [58.146976]
 [57.749866]
 [57.84782 ]
 [58.236454]
 [58.168964]
 [56.206524]
 [56.396137]
 [58.284588]
 [58.283367]
 [59.108154]
 [58.962654]
 [59.15473 ]
 [58.682007]
 [59.16263 ]
 [60.072   ]
 [60.07944 ]
 [60.773605]
 [60.77238 ]
 [61.12467 ]
 [60.181164]
 [60.551624]
 [60.921234]
 [61.27883 ]
 [61.496307]
 [61.44641 ]
 [60.93291 ]
 [60.927082]
 [62.50275 ]
 [62.806324]
 [62.22693 ]
 [60.04933 ]
 [59.194214]
 [58.867958]
 [58.09723 ]
 [58.178207]
 [57.85746 ]
 [58.426388]
 [58.499256]
 [58.333878]
 [57.0947  ]
 [55.73587 ]
 [54.508553]
 [53.52836 ]
 [53.382133]
 [53.579403]
 [52.741985]
 [51.918404]
 [50.995644]
 [50.15901 ]
 [50.90563 ]
 [51.284737]]","[[58.97945 ]
 [58.292862]
 [57.97141 ]
 [57.52593 ]
 [57.61632 ]
 [58.45563 ]
 [57.692158]
 [57.802616]
 [56.253212]
 [56.732056]
 [57.372448]
 [58.181095]
 [57.3005  ]
 [56.8547  ]
 [57.350258]
 [57.5749  ]
 [57.413635]
 [57.731514]
 [58.23334 ]
 [58.407513]
 [58.396038]
 [59.668716]
 [59.572285]
 [59.870872]
 [60.363255]
 [60.357162]
 [61.376377]
 [61.762367]
 [61.343506]
 [61.46077 ]
 [62.58374 ]
 [63.127243]
 [63.221775]
 [63.6961  ]
 [63.3764  ]
 [63.511364]
 [63.48519 ]
 [62.844727]
 [63.192608]
 [63.937805]
 [65.09814 ]
 [64.950226]
 [65.51952 ]
 [65.00578 ]
 [64.18259 ]
 [64.17841 ]
 [65.2357  ]
 [64.874275]
 [63.952393]
 [62.887054]
 [61.55746 ]
 [61.076138]
 [59.294407]
 [59.338184]
 [59.32313 ]
 [60.54017 ]
 [61.315365]
 [61.60801 ]
 [61.675632]
 [61.508793]
 [62.38591 ]
 [63.1453  ]
 [63.237343]
 [62.69991 ]
 [61.412655]
 [60.77436 ]
 [60.895744]
 [62.0826  ]
 [62.1529  ]
 [61.043484]
 [60.05957 ]
 [61.858753]
 [61.18324 ]
 [60.679913]
 [60.720936]
 [61.002148]
 [61.941517]
 [61.777676]
 [62.97776 ]
 [64.63675 ]
 [63.855453]
 [65.15432 ]
 [64.88357 ]
 [64.44561 ]
 [63.911846]
 [64.33584 ]
 [62.77961 ]
 [62.93263 ]
 [62.943195]
 [63.03197 ]
 [61.806957]
 [63.02237 ]
 [64.920815]
 [66.099525]
 [66.13722 ]
 [66.310646]
 [65.61869 ]
 [65.720245]
 [67.411   ]
 [67.20416 ]
 [67.31698 ]
 [66.60854 ]
 [66.71033 ]
 [67.15403 ]
 [66.951584]
 [67.081955]
 [67.47754 ]
 [66.35728 ]
 [67.05435 ]
 [67.45681 ]
 [68.53573 ]
 [69.46127 ]
 [67.761696]
 [69.9327  ]
 [69.84547 ]
 [69.39874 ]
 [69.60866 ]
 [69.94408 ]
 [70.17257 ]
 [69.896614]
 [69.63921 ]
 [71.03369 ]
 [70.48265 ]
 [70.57433 ]
 [69.36477 ]
 [66.84747 ]
 [66.120125]
 [67.23354 ]
 [66.10278 ]
 [65.11236 ]
 [64.25644 ]
 [64.96222 ]
 [64.14885 ]
 [65.33088 ]
 [65.19202 ]
 [65.307   ]
 [65.68889 ]
 [65.80098 ]
 [66.05799 ]
 [64.71506 ]
 [65.301414]
 [64.56083 ]
 [65.14039 ]
 [64.906555]
 [68.10533 ]
 [68.85315 ]
 [73.600914]
 [75.33681 ]
 [71.51911 ]
 [72.57752 ]
 [72.27008 ]
 [72.42059 ]
 [71.74171 ]
 [72.094795]
 [72.22629 ]
 [72.199844]
 [69.61952 ]
 [69.13551 ]
 [69.59216 ]
 [67.01522 ]
 [67.14854 ]
 [67.69371 ]
 [68.45556 ]
 [68.991135]
 [67.14533 ]
 [69.56393 ]
 [69.67865 ]
 [70.17379 ]
 [67.39005 ]
 [70.08547 ]
 [68.33018 ]
 [67.74413 ]
 [67.958855]
 [67.50779 ]
 [68.18649 ]
 [67.78417 ]
 [66.10505 ]
 [65.9438  ]
 [66.79506 ]
 [66.3189  ]
 [66.23314 ]
 [64.7848  ]
 [64.5343  ]
 [65.35091 ]
 [65.82381 ]
 [66.39249 ]
 [66.94329 ]
 [68.11828 ]
 [68.5068  ]
 [68.63599 ]
 [67.70632 ]
 [68.61764 ]
 [69.02325 ]
 [68.68032 ]
 [68.9754  ]
 [67.58644 ]
 [67.091805]
 [66.67134 ]
 [66.46596 ]
 [68.36906 ]
 [69.08658 ]
 [67.55733 ]
 [67.93561 ]
 [67.71139 ]
 [68.61607 ]
 [69.94472 ]
 [69.22015 ]
 [69.60028 ]
 [71.78844 ]
 [71.60274 ]
 [70.508644]
 [70.80637 ]
 [71.6343  ]
 [73.55335 ]
 [73.35295 ]
 [74.34512 ]
 [72.47125 ]
 [72.45649 ]
 [72.46765 ]
 [73.35751 ]
 [71.4787  ]
 [70.239456]
 [70.14285 ]
 [70.574814]
 [70.51035 ]
 [68.41313 ]
 [67.71121 ]
 [68.29591 ]
 [68.31808 ]
 [66.126755]
 [65.72059 ]
 [66.223366]
 [66.799095]
 [66.21158 ]
 [65.22778 ]
 [64.77298 ]
 [63.14275 ]
 [62.65036 ]
 [62.75135 ]
 [62.048965]
 [61.478096]
 [60.50382 ]
 [60.155373]
 [59.75605 ]
 [56.17804 ]
 [56.330997]
 [56.560875]
 [56.536007]
 [57.148678]
 [54.656002]
 [54.39301 ]
 [52.216427]
 [51.97527 ]
 [50.84715 ]
 [52.046005]
 [51.562366]
 [53.553394]
 [53.78881 ]
 [53.030586]
 [52.218163]
 [52.909733]
 [51.839794]
 [51.944405]
 [51.800095]
 [52.899956]
 [52.061123]
 [50.537727]
 [48.15732 ]
 [48.84627 ]
 [47.29777 ]
 [46.695545]
 [46.704224]
 [45.907734]
 [46.17525 ]
 [46.995735]
 [47.545467]
 [48.634968]
 [49.24884 ]
 [50.630077]
 [52.898144]
 [53.185062]
 [52.46397 ]
 [51.407997]
 [52.14321 ]
 [52.719444]
 [52.594246]
 [53.9747  ]
 [53.435013]
 [53.02322 ]
 [53.38856 ]
 [54.0439  ]
 [52.656574]
 [53.378384]
 [54.400078]
 [54.352005]
 [55.741245]
 [55.22304 ]
 [54.313152]
 [54.429462]
 [53.445248]
 [53.339848]
 [53.139606]
 [53.748802]
 [54.365566]
 [54.942318]
 [55.80509 ]
 [56.29925 ]
 [57.272667]
 [57.306244]
 [57.218117]
 [55.903854]
 [55.67403 ]
 [57.095894]
 [57.483788]
 [56.05649 ]
 [56.772915]
 [56.912506]
 [56.50759 ]
 [56.766365]
 [56.28954 ]
 [56.927425]
 [57.127117]
 [58.253597]
 [58.59581 ]
 [58.630974]
 [59.12452 ]
 [59.174824]
 [59.90574 ]
 [59.89601 ]
 [58.99737 ]
 [58.655914]
 [59.64609 ]
 [59.346832]
 [59.212414]
 [59.99377 ]
 [61.307686]
 [62.188457]
 [62.05121 ]
 [61.896923]
 [62.69873 ]
 [63.7924  ]
 [63.513004]
 [64.0386  ]
 [63.15267 ]
 [63.133835]
 [63.147064]
 [63.471622]
 [63.234577]
 [63.559002]
 [64.93354 ]
 [65.41701 ]
 [65.094574]
 [64.75301 ]
 [62.668457]
 [63.034122]
 [63.334194]
 [63.0724  ]
 [61.66357 ]
 [61.655403]
 [61.9414  ]
 [61.274166]
 [61.819237]
 [61.303715]
 [61.29727 ]
 [60.965626]
 [61.41354 ]
 [61.59142 ]
 [62.316216]
 [62.379097]
 [62.60326 ]
 [62.5778  ]
 [61.217644]
 [58.135086]
 [58.246796]
 [58.765602]
 [58.717117]
 [57.02498 ]
 [54.331654]
 [53.46771 ]
 [53.70556 ]
 [52.330555]
 [52.881046]
 [54.32036 ]
 [53.99278 ]
 [54.014046]
 [52.283817]
 [52.674732]
 [52.651886]
 [52.284   ]
 [53.951385]
 [54.264843]
 [56.856606]
 [57.414852]
 [57.631207]
 [57.703518]
 [58.931656]
 [59.00996 ]
 [58.38917 ]
 [59.055996]
 [56.79851 ]
 [57.0089  ]
 [57.346897]
 [57.5537  ]
 [60.042095]
 [59.88721 ]
 [59.806   ]
 [59.086357]
 [57.647465]
 [56.956158]
 [55.637417]
 [55.54244 ]
 [55.949436]
 [56.68236 ]
 [56.232685]
 [56.27711 ]
 [56.626778]
 [57.106262]
 [58.24326 ]
 [58.606056]
 [54.75454 ]
 [55.65097 ]
 [54.92188 ]
 [53.75621 ]
 [52.359444]
 [52.426544]
 [54.33469 ]
 [55.0391  ]
 [57.1009  ]
 [55.768612]
 [54.732956]
 [54.99016 ]
 [56.46523 ]
 [56.435184]
 [55.939793]
 [55.655094]
 [54.605244]
 [53.830135]
 [55.037342]]"
1,RMSprop,glorot_uniform,12,2000,64,0.0,1.23307127957337,1.2197004143699004,1.1843833117363551,"[[55.350494]
 [56.63594 ]
 [55.445667]
 [53.801025]
 [55.62249 ]
 [56.668667]
 [56.96536 ]
 [57.86566 ]
 [57.74077 ]
 [55.986336]
 [55.299335]
 [55.091724]
 [61.21346 ]
 [59.09154 ]
 [57.79901 ]
 [57.30941 ]
 [57.125492]
 [58.108578]
 [57.23448 ]
 [56.04282 ]
 [55.9059  ]
 [55.525837]
 [54.13737 ]
 [53.58781 ]
 [52.422756]
 [51.797565]
 [52.10034 ]
 [52.38988 ]
 [52.029087]
 [51.969776]
 [53.342937]
 [54.518337]
 [53.699467]
 [52.71897 ]
 [53.14591 ]
 [53.879135]
 [53.84401 ]
 [53.60906 ]
 [54.426327]
 [55.811493]
 [56.457302]
 [57.060387]
 [55.884426]
 [55.42842 ]
 [54.90798 ]
 [54.130497]
 [55.981976]
 [56.64344 ]
 [57.268234]
 [56.436546]
 [56.77837 ]
 [57.20568 ]
 [56.931484]
 [56.714672]
 [56.93508 ]
 [56.678295]
 [57.443066]
 [57.03305 ]
 [55.184925]
 [56.43802 ]
 [58.269043]
 [58.035183]
 [58.006847]
 [58.291965]
 [58.327976]
 [56.262943]
 [56.229195]
 [58.28198 ]
 [58.49119 ]
 [59.484566]
 [59.31108 ]
 [59.319286]
 [58.9256  ]
 [59.118576]
 [59.994877]
 [60.10724 ]
 [60.940746]
 [61.114517]
 [61.357483]
 [60.39846 ]
 [60.60979 ]
 [61.303547]
 [61.522236]
 [61.74891 ]
 [61.620506]
 [61.18526 ]
 [61.280373]
 [62.307953]
 [62.350838]
 [62.065285]
 [59.138916]
 [58.83176 ]
 [58.485832]
 [58.052856]
 [58.259132]
 [57.856323]
 [58.436058]
 [58.565605]
 [58.370045]
 [56.589832]
 [55.419685]
 [54.27608 ]
 [52.87644 ]
 [52.94189 ]
 [53.09524 ]
 [51.967346]
 [51.539967]
 [50.067253]
 [49.537876]
 [50.387676]
 [50.896526]]","[[55.273586]
 [56.527626]
 [55.44592 ]
 [53.925503]
 [55.422077]
 [56.299355]
 [56.719803]
 [57.82292 ]
 [57.46873 ]
 [56.162014]
 [55.462914]
 [55.00167 ]
 [60.107353]
 [58.766216]
 [57.583805]
 [57.309628]
 [57.48814 ]
 [58.21923 ]
 [57.48996 ]
 [56.370674]
 [55.821568]
 [55.54425 ]
 [54.27067 ]
 [53.576843]
 [52.578968]
 [52.077503]
 [52.10712 ]
 [52.337906]
 [52.272606]
 [52.037117]
 [53.026043]
 [54.293922]
 [53.855484]
 [52.711376]
 [53.291702]
 [53.61325 ]
 [53.726635]
 [53.53644 ]
 [54.175465]
 [55.527626]
 [56.287098]
 [56.696045]
 [55.94228 ]
 [55.50247 ]
 [55.04526 ]
 [54.30319 ]
 [55.780636]
 [56.527576]
 [57.134422]
 [56.129276]
 [56.94772 ]
 [57.173866]
 [56.818947]
 [56.65797 ]
 [56.890705]
 [56.460308]
 [57.359287]
 [56.739822]
 [55.23969 ]
 [56.422054]
 [58.135326]
 [57.9347  ]
 [57.94252 ]
 [58.205544]
 [58.204273]
 [56.46775 ]
 [56.21379 ]
 [58.05772 ]
 [58.484673]
 [59.202805]
 [59.17081 ]
 [59.11451 ]
 [58.770798]
 [58.91448 ]
 [59.68414 ]
 [59.966427]
 [60.83383 ]
 [61.08037 ]
 [61.456417]
 [60.410336]
 [60.29275 ]
 [61.11686 ]
 [61.446354]
 [61.50167 ]
 [61.60956 ]
 [61.27064 ]
 [61.191532]
 [62.002655]
 [62.085804]
 [61.781673]
 [59.743393]
 [59.029755]
 [58.702915]
 [58.17178 ]
 [58.446926]
 [57.96133 ]
 [58.45823 ]
 [58.524574]
 [58.193115]
 [56.60899 ]
 [55.272533]
 [54.195305]
 [53.14543 ]
 [52.994976]
 [53.008217]
 [52.058014]
 [51.478283]
 [50.192814]
 [49.52838 ]
 [50.19913 ]
 [50.70808 ]]","[[59.00447 ]
 [58.534355]
 [57.93759 ]
 [57.264515]
 [57.32575 ]
 [58.318512]
 [57.73068 ]
 [57.735   ]
 [55.879562]
 [56.399853]
 [57.118916]
 [58.046032]
 [57.364647]
 [56.74839 ]
 [57.08884 ]
 [57.365597]
 [57.44287 ]
 [57.762478]
 [58.30456 ]
 [58.58935 ]
 [58.402336]
 [59.653088]
 [59.765842]
 [60.141514]
 [60.564465]
 [60.534584]
 [61.59701 ]
 [62.02951 ]
 [61.69881 ]
 [61.694798]
 [62.953495]
 [63.741844]
 [63.7403  ]
 [64.01149 ]
 [63.735954]
 [63.903893]
 [64.02945 ]
 [63.403873]
 [63.445312]
 [64.14308 ]
 [65.47085 ]
 [65.604965]
 [66.06223 ]
 [65.69988 ]
 [64.75557 ]
 [64.594315]
 [65.3346  ]
 [65.48758 ]
 [64.54348 ]
 [63.343864]
 [61.816204]
 [61.020626]
 [59.08436 ]
 [59.067955]
 [59.18961 ]
 [60.468395]
 [61.57034 ]
 [61.98016 ]
 [62.04594 ]
 [61.798637]
 [62.56262 ]
 [63.560062]
 [63.458046]
 [63.044773]
 [61.488186]
 [60.723072]
 [60.955227]
 [62.16296 ]
 [62.466824]
 [61.27224 ]
 [60.102646]
 [61.778675]
 [61.470264]
 [60.916794]
 [60.956112]
 [61.329327]
 [62.378796]
 [62.376534]
 [63.43265 ]
 [65.37658 ]
 [64.853325]
 [66.11745 ]
 [65.883   ]
 [65.1893  ]
 [64.66898 ]
 [64.987465]
 [63.453793]
 [63.343945]
 [63.42855 ]
 [63.458134]
 [62.314682]
 [63.352844]
 [65.64426 ]
 [67.21535 ]
 [67.25821 ]
 [67.22531 ]
 [66.60688 ]
 [66.62422 ]
 [68.03865 ]
 [68.14914 ]
 [68.12497 ]
 [67.42811 ]
 [67.32197 ]
 [68.155655]
 [67.70682 ]
 [67.67774 ]
 [67.934906]
 [67.11027 ]
 [67.77139 ]
 [68.30384 ]
 [69.407166]
 [70.493416]
 [69.00254 ]
 [70.695175]
 [70.96643 ]
 [70.56143 ]
 [70.50364 ]
 [70.85993 ]
 [71.31126 ]
 [70.93325 ]
 [70.33406 ]
 [72.10824 ]
 [71.73551 ]
 [71.683624]
 [70.41037 ]
 [67.77552 ]
 [66.75525 ]
 [67.36708 ]
 [67.01598 ]
 [65.62613 ]
 [64.73881 ]
 [65.41836 ]
 [64.89084 ]
 [65.99417 ]
 [66.01811 ]
 [66.06533 ]
 [66.58001 ]
 [66.51146 ]
 [66.706856]
 [65.40349 ]
 [65.89129 ]
 [65.2162  ]
 [65.57874 ]
 [65.609924]
 [68.97183 ]
 [70.07353 ]
 [74.25438 ]
 [76.46386 ]
 [73.07538 ]
 [73.39644 ]
 [73.51535 ]
 [73.29794 ]
 [72.99174 ]
 [72.8506  ]
 [73.07063 ]
 [73.08628 ]
 [71.103806]
 [69.763626]
 [70.02891 ]
 [67.93708 ]
 [67.95938 ]
 [68.383224]
 [69.40431 ]
 [70.009926]
 [68.30927 ]
 [70.13983 ]
 [70.694084]
 [71.261444]
 [68.85631 ]
 [70.87168 ]
 [69.27534 ]
 [68.576965]
 [68.78702 ]
 [68.329575]
 [68.92196 ]
 [68.51448 ]
 [67.05704 ]
 [66.696976]
 [67.6285  ]
 [66.935196]
 [66.92152 ]
 [65.213646]
 [64.887085]
 [65.99189 ]
 [66.40186 ]
 [67.05938 ]
 [67.72485 ]
 [69.02219 ]
 [69.558556]
 [69.55464 ]
 [69.08647 ]
 [69.80613 ]
 [70.07687 ]
 [69.882256]
 [69.73587 ]
 [68.154945]
 [67.46249 ]
 [67.01853 ]
 [67.181206]
 [69.186714]
 [69.99371 ]
 [68.525   ]
 [68.5554  ]
 [68.5794  ]
 [69.34008 ]
 [71.14954 ]
 [70.406555]
 [70.597916]
 [72.74081 ]
 [72.607086]
 [71.471214]
 [71.96069 ]
 [72.64747 ]
 [74.26673 ]
 [74.931915]
 [75.26732 ]
 [73.894135]
 [73.54887 ]
 [73.314316]
 [74.3686  ]
 [72.89399 ]
 [70.991844]
 [70.42485 ]
 [70.728386]
 [70.72166 ]
 [69.34133 ]
 [68.55848 ]
 [68.83769 ]
 [68.51648 ]
 [66.032715]
 [65.76271 ]
 [66.49531 ]
 [67.59802 ]
 [67.114914]
 [65.91925 ]
 [65.46483 ]
 [63.742012]
 [62.914238]
 [62.882877]
 [62.30776 ]
 [61.82418 ]
 [60.794144]
 [60.22126 ]
 [59.69393 ]
 [55.84123 ]
 [55.76122 ]
 [56.015377]
 [56.181694]
 [56.92587 ]
 [53.47869 ]
 [53.732674]
 [51.58883 ]
 [51.076485]
 [50.150543]
 [51.386936]
 [51.150925]
 [53.051746]
 [53.27937 ]
 [52.514236]
 [51.215027]
 [52.208015]
 [50.90809 ]
 [51.12186 ]
 [51.085968]
 [52.391296]
 [51.192665]
 [50.01694 ]
 [47.127495]
 [48.16747 ]
 [46.580963]
 [46.211346]
 [46.42592 ]
 [45.57754 ]
 [45.784836]
 [46.40898 ]
 [47.104717]
 [48.111378]
 [48.62369 ]
 [49.90178 ]
 [52.355022]
 [52.92687 ]
 [52.247787]
 [51.17521 ]
 [51.878056]
 [52.30235 ]
 [52.258083]
 [53.56354 ]
 [52.93288 ]
 [52.595215]
 [53.013577]
 [53.6757  ]
 [52.101116]
 [52.860783]
 [53.975346]
 [54.12957 ]
 [55.423153]
 [54.822304]
 [54.044342]
 [54.220093]
 [53.083546]
 [52.98285 ]
 [52.88053 ]
 [53.444164]
 [54.117664]
 [54.705635]
 [55.7175  ]
 [56.28039 ]
 [57.1144  ]
 [57.119755]
 [57.137672]
 [55.847385]
 [55.429005]
 [56.7688  ]
 [57.49529 ]
 [56.208282]
 [56.70325 ]
 [56.631927]
 [56.246964]
 [56.524998]
 [56.02669 ]
 [56.922764]
 [57.223835]
 [58.33947 ]
 [58.708035]
 [58.76289 ]
 [59.194633]
 [59.289356]
 [60.126083]
 [60.169052]
 [58.981712]
 [58.391006]
 [59.625595]
 [59.50107 ]
 [59.246895]
 [60.14908 ]
 [61.642193]
 [62.791702]
 [62.67527 ]
 [62.3346  ]
 [63.178024]
 [64.48122 ]
 [64.342804]
 [64.65169 ]
 [63.689526]
 [63.11876 ]
 [63.46732 ]
 [63.85399 ]
 [63.80229 ]
 [64.155716]
 [65.49812 ]
 [66.15591 ]
 [65.698296]
 [65.39665 ]
 [63.179478]
 [63.310474]
 [63.706104]
 [63.60198 ]
 [61.91014 ]
 [61.836227]
 [62.136288]
 [61.490837]
 [61.98006 ]
 [61.607006]
 [61.643143]
 [60.8591  ]
 [61.13765 ]
 [61.24797 ]
 [62.276924]
 [62.21401 ]
 [62.49026 ]
 [62.457245]
 [61.26557 ]
 [57.917023]
 [57.607822]
 [58.391365]
 [58.704147]
 [56.369255]
 [53.186485]
 [52.502514]
 [52.83919 ]
 [51.669796]
 [52.354126]
 [53.820282]
 [53.664684]
 [53.842617]
 [51.91104 ]
 [52.02035 ]
 [51.871117]
 [51.789886]
 [53.308193]
 [53.699326]
 [56.686863]
 [57.396454]
 [57.7264  ]
 [57.617706]
 [58.767128]
 [59.087288]
 [58.49155 ]
 [58.94671 ]
 [56.3506  ]
 [56.769783]
 [56.905872]
 [57.350883]
 [60.110905]
 [59.89654 ]
 [59.901363]
 [59.256508]
 [57.551464]
 [56.659073]
 [55.155075]
 [55.050827]
 [55.589348]
 [56.43526 ]
 [56.05801 ]
 [56.010456]
 [56.248444]
 [56.841515]
 [58.234135]
 [58.938282]
 [54.49443 ]
 [55.158367]
 [53.918694]
 [52.873314]
 [50.77281 ]
 [51.60394 ]
 [53.386562]
 [54.58392 ]
 [56.730816]
 [55.168354]
 [54.001064]
 [54.538998]
 [56.033432]
 [56.298283]
 [55.82068 ]
 [55.066998]
 [53.910492]
 [53.265995]
 [54.541042]]"
