,optimizer,init,layer_out,patience,batch_size,dropout,rmse,rmse_hypermodel_retrained,rmse_train,y_hat,y_hat_hypermodel_retrained,y_hat_train
0,adam,normal,2,2000,64,0.1,1.2781484382353123,1.2851506265424697,1.2537804697529085,"[[55.82039 ]
 [56.71972 ]
 [55.517635]
 [54.34233 ]
 [56.030235]
 [56.44947 ]
 [56.602894]
 [57.81766 ]
 [57.535183]
 [56.056923]
 [55.375587]
 [54.980373]
 [62.32291 ]
 [59.70951 ]
 [58.41109 ]
 [58.21432 ]
 [57.95153 ]
 [58.61946 ]
 [57.469505]
 [56.596928]
 [56.362247]
 [56.10803 ]
 [54.586323]
 [53.922253]
 [53.098076]
 [52.750782]
 [53.047634]
 [53.06773 ]
 [52.978363]
 [52.947197]
 [53.68408 ]
 [54.80692 ]
 [54.04953 ]
 [53.265957]
 [53.582848]
 [54.04878 ]
 [54.039715]
 [53.651714]
 [54.306232]
 [55.837837]
 [56.271008]
 [56.645344]
 [55.912407]
 [55.55541 ]
 [55.107494]
 [54.371532]
 [55.90756 ]
 [56.440372]
 [57.099636]
 [56.43536 ]
 [56.932648]
 [57.110374]
 [56.78588 ]
 [56.783493]
 [56.957924]
 [56.72908 ]
 [57.511322]
 [57.021935]
 [55.386997]
 [56.58312 ]
 [58.2211  ]
 [57.86453 ]
 [57.87623 ]
 [58.246887]
 [58.180744]
 [56.380745]
 [56.242306]
 [58.221466]
 [58.482964]
 [59.16796 ]
 [59.041004]
 [59.19572 ]
 [58.799164]
 [59.122807]
 [59.97942 ]
 [60.157448]
 [60.751476]
 [60.839806]
 [61.158916]
 [60.41952 ]
 [60.406036]
 [60.993603]
 [61.54133 ]
 [61.622265]
 [61.526974]
 [61.050716]
 [61.030853]
 [62.672478]
 [63.044697]
 [62.545128]
 [59.838097]
 [59.469685]
 [59.004272]
 [58.25451 ]
 [58.32901 ]
 [57.946133]
 [58.46829 ]
 [58.57343 ]
 [58.323254]
 [57.03525 ]
 [55.814987]
 [54.496033]
 [53.497105]
 [53.52889 ]
 [53.547413]
 [52.709976]
 [52.058434]
 [50.79333 ]
 [50.150043]
 [50.97708 ]
 [51.284073]]","[[55.9117  ]
 [56.771942]
 [55.52543 ]
 [54.427063]
 [56.213234]
 [56.52264 ]
 [56.649784]
 [57.893295]
 [57.5729  ]
 [56.099827]
 [55.498333]
 [55.124382]
 [62.48319 ]
 [59.518734]
 [58.405743]
 [58.32555 ]
 [58.090584]
 [58.73495 ]
 [57.520996]
 [56.697144]
 [56.496395]
 [56.2315  ]
 [54.666573]
 [54.062565]
 [53.237034]
 [52.901146]
 [53.19098 ]
 [53.17475 ]
 [53.072987]
 [53.049088]
 [53.804142]
 [54.8984  ]
 [54.07296 ]
 [53.341274]
 [53.72551 ]
 [54.17089 ]
 [54.11692 ]
 [53.72703 ]
 [54.42808 ]
 [55.942448]
 [56.300804]
 [56.6846  ]
 [55.954784]
 [55.655247]
 [55.215588]
 [54.48007 ]
 [56.065403]
 [56.504375]
 [57.151745]
 [56.464077]
 [57.03763 ]
 [57.193092]
 [56.858288]
 [56.874424]
 [57.05682 ]
 [56.81128 ]
 [57.616383]
 [57.078827]
 [55.44677 ]
 [56.754898]
 [58.330452]
 [57.875885]
 [57.92867 ]
 [58.33618 ]
 [58.258507]
 [56.427967]
 [56.388664]
 [58.383366]
 [58.522354]
 [59.21222 ]
 [59.081738]
 [59.275303]
 [58.870434]
 [59.225758]
 [60.07341 ]
 [60.215084]
 [60.820126]
 [60.898125]
 [61.233833]
 [60.476723]
 [60.507362]
 [61.098804]
 [61.62167 ]
 [61.680244]
 [61.59355 ]
 [61.125416]
 [61.130516]
 [62.787296]
 [63.08836 ]
 [62.581432]
 [59.867928]
 [59.63405 ]
 [59.146206]
 [58.370674]
 [58.45351 ]
 [58.045647]
 [58.582424]
 [58.65198 ]
 [58.3963  ]
 [57.101616]
 [55.928642]
 [54.630512]
 [53.652668]
 [53.70185 ]
 [53.67931 ]
 [52.797672]
 [52.17449 ]
 [50.910442]
 [50.31275 ]
 [51.172626]
 [51.403606]]","[[58.881912]
 [58.270325]
 [58.03881 ]
 [57.40293 ]
 [57.442543]
 [58.27937 ]
 [57.658684]
 [57.712894]
 [56.170177]
 [56.510494]
 [57.149834]
 [57.83842 ]
 [57.32323 ]
 [56.778816]
 [57.039402]
 [57.336025]
 [57.28377 ]
 [57.540344]
 [58.0834  ]
 [58.365837]
 [58.314415]
 [59.419853]
 [59.649483]
 [59.804237]
 [60.349777]
 [60.314526]
 [61.397526]
 [61.818886]
 [61.402756]
 [61.563873]
 [62.635643]
 [63.327747]
 [63.551346]
 [63.91654 ]
 [63.56341 ]
 [63.62279 ]
 [63.661884]
 [63.144314]
 [63.36268 ]
 [64.09486 ]
 [65.26752 ]
 [65.25166 ]
 [65.82651 ]
 [65.32728 ]
 [64.33035 ]
 [64.44092 ]
 [65.45717 ]
 [65.12863 ]
 [63.921894]
 [63.22014 ]
 [61.79112 ]
 [61.155926]
 [59.310677]
 [59.30622 ]
 [59.277973]
 [60.49424 ]
 [61.32287 ]
 [61.742287]
 [61.773636]
 [61.5951  ]
 [62.454994]
 [63.239754]
 [63.54491 ]
 [62.77123 ]
 [61.368164]
 [60.8535  ]
 [61.01198 ]
 [62.20814 ]
 [62.359997]
 [61.08006 ]
 [60.1136  ]
 [61.69557 ]
 [61.267853]
 [60.646618]
 [60.75767 ]
 [61.007114]
 [62.04503 ]
 [61.880917]
 [63.06994 ]
 [64.71578 ]
 [64.01665 ]
 [65.36425 ]
 [65.128204]
 [64.84944 ]
 [64.01194 ]
 [64.47666 ]
 [62.885235]
 [63.10318 ]
 [63.08085 ]
 [63.24806 ]
 [61.935562]
 [63.05437 ]
 [65.04037 ]
 [66.35405 ]
 [66.61839 ]
 [66.849594]
 [65.81611 ]
 [66.015434]
 [67.81237 ]
 [67.72651 ]
 [67.68272 ]
 [67.07529 ]
 [67.09874 ]
 [67.41464 ]
 [67.59053 ]
 [67.53084 ]
 [67.94004 ]
 [66.777756]
 [67.321724]
 [67.834045]
 [69.008705]
 [69.97023 ]
 [68.21803 ]
 [70.340126]
 [70.52073 ]
 [69.907875]
 [70.196304]
 [70.49311 ]
 [70.57726 ]
 [70.61399 ]
 [70.39128 ]
 [71.34111 ]
 [71.17696 ]
 [70.95927 ]
 [69.96653 ]
 [67.36988 ]
 [66.296165]
 [67.59612 ]
 [66.49667 ]
 [65.40979 ]
 [64.4187  ]
 [65.05703 ]
 [64.41977 ]
 [65.49547 ]
 [65.37416 ]
 [65.66242 ]
 [65.92606 ]
 [66.15701 ]
 [66.4182  ]
 [64.70501 ]
 [65.43812 ]
 [64.73681 ]
 [65.46358 ]
 [65.28475 ]
 [68.357735]
 [69.234856]
 [74.172966]
 [76.035866]
 [72.385864]
 [73.06461 ]
 [72.80098 ]
 [73.08789 ]
 [72.0334  ]
 [72.72047 ]
 [72.84245 ]
 [73.00997 ]
 [69.69438 ]
 [69.51287 ]
 [70.19869 ]
 [67.64925 ]
 [67.43173 ]
 [68.1198  ]
 [68.73202 ]
 [69.565765]
 [67.368744]
 [69.97242 ]
 [70.315216]
 [70.742355]
 [68.06386 ]
 [70.35526 ]
 [69.157974]
 [68.16892 ]
 [68.28807 ]
 [67.8685  ]
 [68.34657 ]
 [68.50451 ]
 [66.46051 ]
 [66.29792 ]
 [67.032364]
 [66.73536 ]
 [66.53971 ]
 [64.75077 ]
 [65.00233 ]
 [65.475586]
 [66.026794]
 [66.80119 ]
 [67.30115 ]
 [68.48222 ]
 [69.02369 ]
 [69.25745 ]
 [67.94107 ]
 [68.961815]
 [69.49828 ]
 [69.1279  ]
 [69.10442 ]
 [68.06405 ]
 [67.24317 ]
 [67.154564]
 [66.996155]
 [68.60481 ]
 [69.62822 ]
 [68.01114 ]
 [68.32399 ]
 [68.21148 ]
 [69.14475 ]
 [70.27344 ]
 [69.98571 ]
 [70.00777 ]
 [72.24906 ]
 [72.374435]
 [71.29511 ]
 [71.260185]
 [72.15665 ]
 [74.18365 ]
 [73.94494 ]
 [75.0923  ]
 [73.26913 ]
 [73.148926]
 [73.14867 ]
 [73.7742  ]
 [72.14303 ]
 [70.14912 ]
 [70.54877 ]
 [70.944595]
 [71.03244 ]
 [68.93181 ]
 [67.99675 ]
 [68.46886 ]
 [68.56909 ]
 [66.074135]
 [66.05549 ]
 [66.69604 ]
 [67.032005]
 [66.51729 ]
 [65.74938 ]
 [64.930275]
 [63.42845 ]
 [62.85757 ]
 [62.84045 ]
 [62.007236]
 [61.537872]
 [60.65016 ]
 [60.12371 ]
 [59.794662]
 [56.26878 ]
 [56.172394]
 [56.472332]
 [56.59021 ]
 [57.19185 ]
 [54.23284 ]
 [54.470314]
 [52.296707]
 [51.707207]
 [50.716534]
 [51.532097]
 [51.28264 ]
 [52.902542]
 [53.46577 ]
 [53.084618]
 [52.13213 ]
 [52.84576 ]
 [51.749393]
 [51.91652 ]
 [51.526066]
 [52.700935]
 [51.897175]
 [50.586884]
 [47.746075]
 [48.11773 ]
 [46.835228]
 [46.223488]
 [46.500725]
 [45.629295]
 [45.721043]
 [46.559967]
 [47.279095]
 [48.075287]
 [48.650097]
 [49.735947]
 [52.020435]
 [52.72534 ]
 [52.050323]
 [50.99723 ]
 [51.859062]
 [52.333874]
 [52.241188]
 [53.595776]
 [53.079693]
 [52.816467]
 [53.15201 ]
 [53.69545 ]
 [52.460926]
 [53.157948]
 [54.229885]
 [54.16446 ]
 [55.309036]
 [54.91275 ]
 [54.105328]
 [54.14658 ]
 [53.177967]
 [53.03829 ]
 [52.787476]
 [53.298763]
 [53.98516 ]
 [54.56378 ]
 [55.62448 ]
 [56.23563 ]
 [56.957806]
 [57.084507]
 [57.125805]
 [55.727264]
 [55.550243]
 [56.81944 ]
 [57.28252 ]
 [56.134434]
 [56.620895]
 [56.66754 ]
 [56.401905]
 [56.67922 ]
 [56.0335  ]
 [56.776237]
 [56.99025 ]
 [58.187355]
 [58.61997 ]
 [58.574654]
 [59.04949 ]
 [59.120827]
 [59.992287]
 [59.960175]
 [58.98181 ]
 [58.719986]
 [59.704636]
 [59.41554 ]
 [59.289127]
 [60.054184]
 [61.373165]
 [62.326653]
 [62.31398 ]
 [61.9807  ]
 [62.81424 ]
 [64.021484]
 [63.798492]
 [64.28283 ]
 [63.389156]
 [63.548454]
 [63.17952 ]
 [63.67959 ]
 [63.475475]
 [63.71113 ]
 [65.2185  ]
 [65.81408 ]
 [65.56964 ]
 [64.88098 ]
 [63.102367]
 [63.08106 ]
 [63.49831 ]
 [63.2904  ]
 [61.68853 ]
 [61.75818 ]
 [62.06727 ]
 [61.320206]
 [61.89844 ]
 [61.46482 ]
 [61.486893]
 [60.896282]
 [61.592026]
 [61.8509  ]
 [62.67279 ]
 [62.585518]
 [62.87505 ]
 [62.799156]
 [61.373035]
 [58.042675]
 [58.267914]
 [58.80367 ]
 [58.84517 ]
 [56.872356]
 [54.180824]
 [53.51432 ]
 [53.656   ]
 [52.249653]
 [52.727703]
 [53.95671 ]
 [53.717712]
 [53.61914 ]
 [51.91939 ]
 [52.476677]
 [52.73533 ]
 [52.382442]
 [53.81849 ]
 [54.02276 ]
 [56.64101 ]
 [57.45881 ]
 [57.829327]
 [57.755527]
 [59.03495 ]
 [59.200424]
 [58.35754 ]
 [58.84355 ]
 [56.478203]
 [56.999218]
 [57.371872]
 [57.619926]
 [60.021603]
 [59.969646]
 [59.973984]
 [59.352715]
 [57.688175]
 [56.690876]
 [55.409985]
 [55.503906]
 [55.93961 ]
 [56.62026 ]
 [56.16233 ]
 [56.048103]
 [56.162804]
 [56.862984]
 [57.98856 ]
 [58.549793]
 [54.62867 ]
 [55.53503 ]
 [54.92828 ]
 [54.009872]
 [51.97626 ]
 [52.630116]
 [54.31312 ]
 [55.12608 ]
 [56.97402 ]
 [55.65523 ]
 [54.849464]
 [54.9701  ]
 [56.17873 ]
 [56.35211 ]
 [55.915585]
 [55.56105 ]
 [54.49185 ]
 [53.873928]
 [54.953224]]"
1,RMSprop,normal,12,2000,64,0.1,1.3045830893999824,1.2827513747282764,1.222904580734712,"[[55.93551 ]
 [56.803497]
 [55.37253 ]
 [53.92972 ]
 [55.930973]
 [56.560905]
 [56.563427]
 [57.822464]
 [57.521847]
 [55.805145]
 [54.992363]
 [54.689034]
 [63.06458 ]
 [59.854073]
 [58.116283]
 [57.950474]
 [57.82831 ]
 [58.567596]
 [57.34451 ]
 [56.313747]
 [56.105843]
 [55.925743]
 [54.257412]
 [53.474136]
 [52.70297 ]
 [52.425404]
 [52.896576]
 [52.99928 ]
 [52.85542 ]
 [52.80529 ]
 [53.67454 ]
 [54.953575]
 [53.993664]
 [52.922325]
 [53.354057]
 [54.03715 ]
 [53.990757]
 [53.466984]
 [54.206985]
 [55.996292]
 [56.38447 ]
 [56.61463 ]
 [55.753845]
 [55.309402]
 [54.866615]
 [54.085297]
 [55.86323 ]
 [56.544468]
 [57.119957]
 [56.315468]
 [56.800743]
 [57.054256]
 [56.672222]
 [56.630505]
 [56.854607]
 [56.612907]
 [57.450817]
 [56.941235]
 [55.073544]
 [56.3807  ]
 [58.37954 ]
 [57.89721 ]
 [57.74781 ]
 [58.17493 ]
 [58.12411 ]
 [56.137604]
 [55.909126]
 [58.274208]
 [58.584026]
 [59.164726]
 [59.00054 ]
 [59.139767]
 [58.714867]
 [59.0518  ]
 [59.998203]
 [60.177387]
 [60.76559 ]
 [60.85021 ]
 [61.170113]
 [60.385246]
 [60.348045]
 [61.00006 ]
 [61.589127]
 [61.651596]
 [61.53384 ]
 [61.029484]
 [61.00567 ]
 [62.76483 ]
 [63.130688]
 [62.58263 ]
 [59.75795 ]
 [59.26216 ]
 [58.86922 ]
 [58.101788]
 [58.1843  ]
 [57.827477]
 [58.39276 ]
 [58.534176]
 [58.23754 ]
 [56.820606]
 [55.45065 ]
 [54.04086 ]
 [53.010384]
 [53.212276]
 [53.408325]
 [52.464504]
 [51.680664]
 [50.31279 ]
 [49.67352 ]
 [50.94193 ]
 [51.46506 ]]","[[55.7134  ]
 [56.667   ]
 [55.508003]
 [54.181797]
 [55.734627]
 [56.365185]
 [56.550728]
 [57.69518 ]
 [57.488804]
 [55.985683]
 [55.1587  ]
 [54.741222]
 [61.938606]
 [60.005314]
 [58.39037 ]
 [57.972233]
 [57.7263  ]
 [58.436226]
 [57.391727]
 [56.432323]
 [56.13903 ]
 [55.916035]
 [54.44339 ]
 [53.668964]
 [52.842545]
 [52.49157 ]
 [52.82697 ]
 [52.918034]
 [52.84086 ]
 [52.793255]
 [53.52491 ]
 [54.71089 ]
 [54.03222 ]
 [53.124355]
 [53.350376]
 [53.88432 ]
 [53.94359 ]
 [53.53519 ]
 [54.12887 ]
 [55.71032 ]
 [56.261272]
 [56.5986  ]
 [55.84671 ]
 [55.39501 ]
 [54.931686]
 [54.191692]
 [55.667683]
 [56.369263]
 [57.039307]
 [56.39265 ]
 [56.768703]
 [56.986343]
 [56.682735]
 [56.64097 ]
 [56.80707 ]
 [56.60795 ]
 [57.349297]
 [56.940937]
 [55.28195 ]
 [56.295994]
 [58.057156]
 [57.869335]
 [57.78867 ]
 [58.099766]
 [58.06434 ]
 [56.301346]
 [55.99447 ]
 [57.955574]
 [58.44027 ]
 [59.097992]
 [58.969635]
 [59.067772]
 [58.683567]
 [58.95492 ]
 [59.820446]
 [60.06414 ]
 [60.63094 ]
 [60.735287]
 [61.026775]
 [60.319458]
 [60.231705]
 [60.80634 ]
 [61.3991  ]
 [61.516693]
 [61.404793]
 [60.91666 ]
 [60.854683]
 [62.454926]
 [62.95418 ]
 [62.47    ]
 [59.772408]
 [59.17854 ]
 [58.755695]
 [58.067463]
 [58.124985]
 [57.789005]
 [58.287014]
 [58.450684]
 [58.212204]
 [56.92658 ]
 [55.618744]
 [54.25002 ]
 [53.209545]
 [53.23863 ]
 [53.347748]
 [52.557896]
 [51.835297]
 [50.518723]
 [49.799587]
 [50.67804 ]
 [51.146854]]","[[58.96026 ]
 [58.22734 ]
 [57.8888  ]
 [57.227875]
 [57.286785]
 [58.250755]
 [57.59005 ]
 [57.569008]
 [55.922573]
 [56.258865]
 [57.108955]
 [57.867165]
 [57.23922 ]
 [56.574696]
 [56.886215]
 [57.27717 ]
 [57.204365]
 [57.451046]
 [58.05148 ]
 [58.346096]
 [58.24993 ]
 [59.423603]
 [59.675884]
 [59.7839  ]
 [60.34679 ]
 [60.310436]
 [61.439766]
 [61.87797 ]
 [61.412292]
 [61.561005]
 [62.70758 ]
 [63.41928 ]
 [63.62596 ]
 [63.99603 ]
 [63.62659 ]
 [63.689716]
 [63.729996]
 [63.19553 ]
 [63.421314]
 [64.186584]
 [65.39303 ]
 [65.342476]
 [65.94947 ]
 [65.41961 ]
 [64.42143 ]
 [64.53101 ]
 [65.57837 ]
 [65.216125]
 [64.00159 ]
 [63.26857 ]
 [61.785385]
 [61.099796]
 [59.176563]
 [59.135338]
 [59.200127]
 [60.530052]
 [61.401226]
 [61.795227]
 [61.7972  ]
 [61.60117 ]
 [62.506878]
 [63.32829 ]
 [63.62334 ]
 [62.81023 ]
 [61.344364]
 [60.781055]
 [60.982365]
 [62.278866]
 [62.422123]
 [61.06165 ]
 [60.00534 ]
 [61.719822]
 [61.305096]
 [60.603764]
 [60.710995]
 [61.01033 ]
 [62.110332]
 [61.920708]
 [63.148758]
 [64.85496 ]
 [64.08305 ]
 [65.49553 ]
 [65.20728 ]
 [64.94936 ]
 [64.08645 ]
 [64.57042 ]
 [62.929623]
 [63.141853]
 [63.129417]
 [63.309746]
 [61.947105]
 [63.104256]
 [65.19725 ]
 [66.47961 ]
 [66.71591 ]
 [66.97311 ]
 [65.92254 ]
 [66.15407 ]
 [67.97899 ]
 [67.79599 ]
 [67.82636 ]
 [67.20105 ]
 [67.24729 ]
 [67.547935]
 [67.716576]
 [67.65929 ]
 [68.083694]
 [66.88893 ]
 [67.4946  ]
 [67.953186]
 [69.15272 ]
 [70.06625 ]
 [68.30298 ]
 [70.608604]
 [70.503296]
 [70.0342  ]
 [70.35522 ]
 [70.598885]
 [70.68507 ]
 [70.73083 ]
 [70.50725 ]
 [71.49038 ]
 [71.215935]
 [71.08914 ]
 [70.09011 ]
 [67.572525]
 [66.49874 ]
 [67.762566]
 [66.571014]
 [65.54753 ]
 [64.51584 ]
 [65.165565]
 [64.4958  ]
 [65.62653 ]
 [65.462685]
 [65.78169 ]
 [66.03859 ]
 [66.27501 ]
 [66.539665]
 [64.80103 ]
 [65.569565]
 [64.81372 ]
 [65.58851 ]
 [65.37611 ]
 [68.59779 ]
 [69.25285 ]
 [74.51251 ]
 [75.59961 ]
 [72.2595  ]
 [73.41338 ]
 [72.7427  ]
 [73.22067 ]
 [72.06884 ]
 [72.90658 ]
 [72.847404]
 [73.08908 ]
 [69.80553 ]
 [69.82471 ]
 [70.32205 ]
 [67.75813 ]
 [67.657425]
 [68.258545]
 [68.84899 ]
 [69.691795]
 [67.46892 ]
 [70.266   ]
 [70.28281 ]
 [70.873375]
 [68.17543 ]
 [70.66398 ]
 [69.13077 ]
 [68.369354]
 [68.45376 ]
 [67.99096 ]
 [68.506546]
 [68.621025]
 [66.59104 ]
 [66.46898 ]
 [67.16663 ]
 [66.837875]
 [66.67377 ]
 [64.85843 ]
 [65.11764 ]
 [65.5809  ]
 [66.14488 ]
 [66.929436]
 [67.41973 ]
 [68.627914]
 [69.118195]
 [69.37466 ]
 [68.060814]
 [69.16867 ]
 [69.58382 ]
 [69.237305]
 [69.257805]
 [68.193016]
 [67.41196 ]
 [67.30595 ]
 [67.12385 ]
 [68.78202 ]
 [69.71019 ]
 [68.09843 ]
 [68.529854]
 [68.32315 ]
 [69.30468 ]
 [70.37952 ]
 [70.04877 ]
 [70.15723 ]
 [72.4201  ]
 [72.2886  ]
 [71.393196]
 [71.428635]
 [72.266685]
 [74.25123 ]
 [73.78718 ]
 [75.191925]
 [73.123886]
 [73.388405]
 [73.187775]
 [73.86089 ]
 [72.14255 ]
 [70.38595 ]
 [70.77894 ]
 [71.033165]
 [71.13167 ]
 [69.05725 ]
 [68.225746]
 [68.635025]
 [68.68151 ]
 [66.213554]
 [66.22646 ]
 [66.81951 ]
 [67.14711 ]
 [66.63201 ]
 [65.874466]
 [65.038414]
 [63.497055]
 [62.885834]
 [62.87265 ]
 [62.018375]
 [61.517494]
 [60.593655]
 [60.034824]
 [59.707027]
 [55.96559 ]
 [55.66062 ]
 [56.299465]
 [56.527905]
 [57.138126]
 [53.88839 ]
 [53.95387 ]
 [51.80153 ]
 [51.118603]
 [50.232082]
 [51.4254  ]
 [51.30079 ]
 [53.092857]
 [53.704647]
 [53.037716]
 [51.794155]
 [52.68196 ]
 [51.573605]
 [51.669056]
 [51.356964]
 [52.77078 ]
 [51.86288 ]
 [50.135193]
 [46.70058 ]
 [47.499416]
 [46.59377 ]
 [45.931614]
 [46.621754]
 [45.737568]
 [45.863964]
 [47.199234]
 [48.077007]
 [48.740276]
 [49.16777 ]
 [50.250874]
 [52.74979 ]
 [53.215195]
 [51.999046]
 [50.58615 ]
 [51.729885]
 [52.48875 ]
 [52.245255]
 [53.68842 ]
 [53.104893]
 [52.601837]
 [53.019344]
 [53.721416]
 [52.253567]
 [52.94565 ]
 [54.357582]
 [54.21523 ]
 [55.319927]
 [54.876278]
 [53.84018 ]
 [53.882286]
 [52.905567]
 [52.7378  ]
 [52.576084]
 [53.226017]
 [54.04099 ]
 [54.627506]
 [55.709732]
 [56.307194]
 [56.98545 ]
 [57.054848]
 [57.036785]
 [55.483143]
 [55.235332]
 [56.793694]
 [57.34936 ]
 [55.972046]
 [56.41579 ]
 [56.589867]
 [56.27654 ]
 [56.550835]
 [55.874607]
 [56.664013]
 [56.96068 ]
 [58.222702]
 [58.6567  ]
 [58.531452]
 [59.002747]
 [59.091274]
 [60.003067]
 [59.961918]
 [58.880306]
 [58.56481 ]
 [59.68635 ]
 [59.406544]
 [59.211422]
 [60.037655]
 [61.466022]
 [62.425728]
 [62.3617  ]
 [61.99354 ]
 [62.869812]
 [64.13532 ]
 [63.871502]
 [64.37207 ]
 [63.443424]
 [63.611286]
 [63.229492]
 [63.754322]
 [63.538265]
 [63.784245]
 [65.35216 ]
 [65.918396]
 [65.6699  ]
 [64.978676]
 [63.1642  ]
 [63.113987]
 [63.562206]
 [63.350906]
 [61.69027 ]
 [61.729874]
 [62.093044]
 [61.319424]
 [61.908455]
 [61.47355 ]
 [61.484154]
 [60.868473]
 [61.60208 ]
 [61.892303]
 [62.74288 ]
 [62.63447 ]
 [62.926792]
 [62.845158]
 [61.362286]
 [57.832615]
 [57.930885]
 [58.740532]
 [58.824493]
 [56.648   ]
 [53.575962]
 [52.839787]
 [53.374413]
 [51.927074]
 [52.435013]
 [54.07953 ]
 [53.77433 ]
 [53.4488  ]
 [51.502388]
 [52.15942 ]
 [52.732197]
 [52.292427]
 [53.866848]
 [54.145714]
 [56.903297]
 [57.68152 ]
 [57.848118]
 [57.67117 ]
 [59.051632]
 [59.231274]
 [58.252647]
 [58.732655]
 [56.250446]
 [56.700375]
 [57.308537]
 [57.58969 ]
 [60.154285]
 [60.05254 ]
 [59.93588 ]
 [59.260315]
 [57.47567 ]
 [56.350834]
 [55.025505]
 [55.21009 ]
 [55.848953]
 [56.623383]
 [56.068058]
 [55.863083]
 [56.026234]
 [56.830395]
 [58.05429 ]
 [58.59968 ]
 [54.282963]
 [55.001106]
 [54.748882]
 [53.717346]
 [51.3599  ]
 [52.234528]
 [54.539467]
 [55.372982]
 [57.15434 ]
 [55.602417]
 [54.48922 ]
 [54.70888 ]
 [56.213192]
 [56.387474]
 [55.77382 ]
 [55.33495 ]
 [54.18386 ]
 [53.49933 ]
 [54.857353]]"
